method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PI-NSGA-II,Airy,1,0.8104989762,0.0000000000,3,17
PI-NSGA-II,Airy,1,0.8104989762,0.0000000000,3,17
PI-NSGA-II,Airy,1,0.8090002250,0.0000000000,3,5
PI-NSGA-II,Airy,1,0.8104989762,0.0000000000,3,17
PI-NSGA-II,Airy,1,0.8069073871,0.0000000000,3,2
PI-NSGA-II,Airy,1,0.8104989762,0.0000000000,3,17
PI-NSGA-II,Airy,1,0.8103891169,0.0000000000,3,15
PI-NSGA-II,Airy,1,0.8090002250,0.0000000000,3,5
PI-NSGA-II,Airy,1,0.8103188360,0.0000000000,3,12
PI-NSGA-II,Airy,1,0.8104989762,0.0000000000,3,17
PI-NSGA-II,Airy,1,0.8104362840,0.0000000000,3,16
PI-NSGA-II,Airy,1,0.8103188360,0.0000000000,3,12
PI-NSGA-II,Airy,1,0.8069073871,0.0000000000,3,2
PI-NSGA-II,Airy,1,0.8101689719,0.0000000000,3,11
PI-NSGA-II,Airy,1,0.8104989762,0.0000000000,3,17
PI-NSGA-II,Airy,1,0.8100904176,0.0000000000,3,10
PI-NSGA-II,Airy,1,0.8100904176,0.0000000000,3,10
PI-NSGA-II,Airy,1,0.8090277424,0.0000000000,3,6
PI-NSGA-II,Airy,1,0.8101689719,0.0000000000,3,11
PI-NSGA-II,Airy,1,0.8100904176,0.0000000000,3,10
PI-NSGA-II,Airy,1,0.8100904176,0.0000000000,3,10
PI-NSGA-II,Airy,1,0.8100904176,0.0000000000,3,10
PI-NSGA-II,Airy,1,0.8100904176,0.0000000000,3,10
PI-NSGA-II,Airy,1,0.8108290527,0.0000000000,3,21
PI-NSGA-II,Airy,1,0.8083726169,0.0000000000,3,3
PI-NSGA-II,Airy,1,0.8090277424,0.0000000000,3,6
PI-NSGA-II,Airy,1,0.8090277424,0.0000000000,3,6
PI-NSGA-II,Airy,1,0.8096396365,0.0000000000,3,7
PI-NSGA-II,Airy,1,0.8090277424,0.0000000000,3,6
PI-NSGA-II,Airy,1,0.8083726169,0.0000000000,3,3
PI-NSGA-II,Airy,1,0.8090277424,0.0000000000,3,6
PI-NSGA-II,Airy,1,0.8107372569,0.0000000000,3,19
PI-NSGA-II,Airy,1,0.8109419105,0.0000000000,3,22
PI-NSGA-II,Airy,1,0.8087268370,0.0000000000,3,4
PI-NSGA-II,Airy,1,0.8090277424,0.0000000000,3,6
PI-NSGA-II,Airy,1,0.8090277424,0.0000000000,3,6
PI-NSGA-II,Airy,1,0.8107372569,0.0000000000,3,19
PI-NSGA-II,Airy,1,0.8090277424,0.0000000000,3,6
