method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PISR-NSGA-II,Airy,1,0.0000121893,0.0000000000,8,1
PISR-NSGA-II,Airy,1,0.0000121893,0.0000000000,8,1
PISR-NSGA-II,Airy,1,0.0000121893,0.0000000000,8,1
PISR-NSGA-II,Airy,1,0.0000121893,0.0000000000,8,1
PISR-NSGA-II,Airy,1,0.0101301333,0.0000000000,4,1
PISR-NSGA-II,Airy,1,0.0705062098,0.0000000000,3,1
PISR-NSGA-II,Airy,1,0.0000702790,0.0000000000,5,1
PISR-NSGA-II,Airy,1,0.0834735212,0.0000000000,3,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0217400913,0.0000000000,4,2
PISR-NSGA-II,Airy,1,0.0217400913,0.0000000000,4,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
PISR-NSGA-II,Airy,1,0.0001159674,0.0000000000,5,2
