gen,best_mse_domain,best_mse_boundary,best_total_mse,best_val_mse
0,0.0872104,0,0.0872104,0.000547206
1,0.0730583,0,0.0730583,0.000547206
2,0.0731381,0,0.0731381,0.000547206
3,0.0730531,0,0.0730531,0.000547206
4,0.0108464,0,0.0108464,0.000547206
5,0.00542903,0,0.00542903,0.000547206
6,0.00450217,0,0.00450217,0.000547206
7,0.00420705,0,0.00420705,0.000547206
8,0.00402563,0,0.00402563,0.000547206
9,0.00393615,0,0.00393615,0.000547206
10,0.00304289,0,0.00304289,0.000547206
11,0.00143063,0,0.00143063,0.000547206
12,0.0013736,0,0.0013736,0.000547206
13,0.00132282,0,0.00132282,0.000547206
14,0.00127728,0,0.00127728,0.000547206
15,0.00123617,0,0.00123617,0.000547206
16,0.00119882,0,0.00119882,0.000547206
17,0.00116467,0,0.00116467,0.000547206
18,0.00113328,0,0.00113328,0.000547206
19,0.00110427,0,0.00110427,0.000547206
20,0.000891061,0,0.000891061,0.000547206
21,0.000876037,0,0.000876037,0.000547206
22,0.000861673,0,0.000861673,0.000547206
23,0.000847928,0,0.000847928,0.000547206
24,0.000834762,0,0.000834762,0.000547206
25,0.00185739,0,0.00185739,0.000547206
26,0.00178373,0,0.00178373,0.000547206
27,0.0017229,0,0.0017229,0.000547206
28,0.0016669,0,0.0016669,0.000547206
29,0.00161443,0,0.00161443,0.000547206
30,0.00122393,0,0.00122393,0.000547206
31,0.00119779,0,0.00119779,0.000547206
32,0.00117319,0,0.00117319,0.000547206
33,0.00115002,0,0.00115002,0.000547206
34,0.0011282,0,0.0011282,0.000547206
35,0.00110765,0,0.00110765,0.000547206
36,0.0010883,0,0.0010883,0.000547206
37,0.00107006,0,0.00107006,0.000547206
38,0.00105289,0,0.00105289,0.000547206
39,0.00103671,0,0.00103671,0.000547206
40,0.000914786,0,0.000914786,0.000547206
41,0.000906518,0,0.000906518,0.000547206
42,0.00089872,0,0.00089872,0.000547206
43,0.000891363,0,0.000891363,0.000547206
44,0.000884423,0,0.000884423,0.000547206
45,0.000877875,0,0.000877875,0.000547206
46,0.000871698,0,0.000871698,0.000547206
47,0.000865868,0,0.000865868,0.000547206
48,0.000860367,0,0.000860367,0.000547206
49,0.000855176,0,0.000855176,0.000547206
50,0.000963787,0,0.000963787,0.000547206
51,0.000958607,0,0.000958607,0.000547206
52,0.000953737,0,0.000953737,0.000547206
53,0.000949156,0,0.000949156,0.000547206
54,0.000944845,0,0.000944845,0.000547206
55,0.000940787,0,0.000940787,0.000547206
56,0.000936967,0,0.000936967,0.000547206
57,0.000933369,0,0.000933369,0.000547206
