method,pde,dim,gen,mse_domain,mse_boundary,tree_size,rank
PISR-NSGA-II,Airy,2,-1,0.4860743869,0.0000000000,1,23
PISR-NSGA-II,Airy,2,-1,0.4335452437,0.0000000000,5,14
PISR-NSGA-II,Airy,2,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,19
PISR-NSGA-II,Airy,2,-1,835.1062072997,0.0000000000,18,24
PISR-NSGA-II,Airy,2,-1,0.5649078359,0.0000000000,9,19
PISR-NSGA-II,Airy,2,-1,0.4314728120,0.0000000000,10,3
PISR-NSGA-II,Airy,2,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,19
PISR-NSGA-II,Airy,2,-1,0.4335452437,0.0000000000,5,14
PISR-NSGA-II,Airy,2,-1,1.2300512759,0.0000000000,9,14
PISR-NSGA-II,Airy,2,-1,1.1855870785,0.0000000000,4,14
PISR-NSGA-II,Airy,2,-1,10000.0000000000,0.0000000000,14,14
PISR-NSGA-II,Airy,2,-1,0.6529849742,0.0000000000,8,4
PISR-NSGA-II,Airy,2,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,19
PISR-NSGA-II,Airy,2,-1,0.7914847246,0.0000000000,8,5
PISR-NSGA-II,Airy,2,-1,1270.6481658382,0.0000000000,17,14
PISR-NSGA-II,Airy,2,-1,47.8423662354,0.0000000000,11,22
PISR-NSGA-II,Airy,2,-1,0.7839495751,0.0000000000,5,14
PISR-NSGA-II,Airy,2,-1,0.4884006885,0.0000000000,3,14
PISR-NSGA-II,Airy,2,-1,1.0011561051,0.0000000000,5,19
PISR-NSGA-II,Airy,2,-1,0.8271097463,0.0000000000,9,14
PISR-NSGA-II,Airy,2,-1,1.2300512759,0.0000000000,9,14
PISR-NSGA-II,Airy,2,-1,0.5993305722,0.0000000000,1,19
PISR-NSGA-II,Airy,2,-1,0.1083178608,0.0000000000,9,1
PISR-NSGA-II,Airy,2,-1,0.5649078359,0.0000000000,9,19
PISR-NSGA-II,Airy,2,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,22
PISR-NSGA-II,Airy,2,-1,0.4996642286,0.0000000000,8,3
PISR-NSGA-II,Airy,2,-1,0.8271097463,0.0000000000,9,14
PISR-NSGA-II,Airy,2,-1,4.3841465991,0.0000000000,18,17
PISR-NSGA-II,Airy,2,-1,0.5811579217,0.0000000000,35,10
PISR-NSGA-II,Airy,2,-1,0.2431612046,0.0000000000,8,1
PISR-NSGA-II,Airy,2,-1,2296.8616003238,0.0000000000,12,17
PISR-NSGA-II,Airy,2,-1,0.1083178608,0.0000000000,9,1
PISR-NSGA-II,Airy,2,-1,10000.0000000000,0.0000000000,10,14
PISR-NSGA-II,Airy,2,-1,10000.0000000000,0.0000000000,6,23
PISR-NSGA-II,Airy,2,-1,2.0258632823,0.0000000000,8,7
PISR-NSGA-II,Airy,2,-1,0.1198419864,0.0000000000,10,2
PISR-NSGA-II,Airy,2,-1,1.2262947089,0.0000000000,14,10
PISR-NSGA-II,Airy,2,-1,0.7839495751,0.0000000000,5,14
PISR-NSGA-II,Airy,2,-1,0.2484972835,0.0000000000,15,11
PISR-NSGA-II,Airy,2,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,25
PISR-NSGA-II,Airy,2,-1,0.1198419864,0.0000000000,10,2
PISR-NSGA-II,Airy,2,-1,0.9046516483,0.0000000000,8,6
PISR-NSGA-II,Airy,2,-1,8.9292624778,0.0000000000,1,19
PISR-NSGA-II,Airy,2,-1,0.1198419864,0.0000000000,10,2
PISR-NSGA-II,Airy,2,-1,0.7839495751,0.0000000000,5,14
PISR-NSGA-II,Airy,2,-1,1.6510531392,0.0000000000,7,19
PISR-NSGA-II,Airy,2,-1,0.5649078359,0.0000000000,9,19
PISR-NSGA-II,Airy,2,-1,0.5649078359,0.0000000000,9,19
PISR-NSGA-II,Airy,2,-1,0.8713145689,0.0000000000,5,14
PISR-NSGA-II,Airy,2,-1,0.1198419864,0.0000000000,10,2
PISR-NSGA-II,Airy,2,-1,1.1426980544,0.0000000000,16,11
PISR-NSGA-II,Airy,2,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,25
PISR-NSGA-II,Airy,2,-1,0.4335452437,0.0000000000,5,14
