method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PISR-NSGA-II,Duffing,1,0.0672643969,0.0000000000,4,1
PISR-NSGA-II,Duffing,1,0.0007484545,0.0000000000,10,1
PISR-NSGA-II,Duffing,1,0.0007484545,0.0000000000,10,1
PISR-NSGA-II,Duffing,1,0.0007484545,0.0000000000,10,1
PISR-NSGA-II,Duffing,1,0.0007484545,0.0000000000,10,1
PISR-NSGA-II,Duffing,1,0.0137909603,0.0000000000,5,1
PISR-NSGA-II,Duffing,1,0.0137909603,0.0000000000,5,1
PISR-NSGA-II,Duffing,1,0.0007484545,0.0000000000,10,1
PISR-NSGA-II,Duffing,1,0.0009066026,0.0000000000,6,1
PISR-NSGA-II,Duffing,1,0.0009066026,0.0000000000,6,1
PISR-NSGA-II,Duffing,1,0.3087701676,0.0000000000,3,1
PISR-NSGA-II,Duffing,1,0.0009753509,0.0000000000,6,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0672644886,0.0000000000,4,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0137909603,0.0000000000,5,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0137909603,0.0000000000,5,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
PISR-NSGA-II,Duffing,1,0.0007493818,0.0000000000,10,2
