gen,best_mse_domain,best_mse_boundary,best_total_mse,best_val_mse
0,0.00632487,0,0.00632487,5.20547e-05
1,0.00178557,0,0.00178557,5.20547e-05
2,0.00178536,0,0.00178536,5.20547e-05
3,0.00178517,0,0.00178517,5.20547e-05
4,0.00178498,0,0.00178498,5.20547e-05
5,0.00178481,0,0.00178481,5.20547e-05
6,0.00178464,0,0.00178464,5.20547e-05
7,0.00178448,0,0.00178448,5.20547e-05
8,0.00178432,0,0.00178432,5.20547e-05
9,0.00178418,0,0.00178418,5.20547e-05
10,0.00178297,0,0.00178297,5.20547e-05
11,0.00178288,0,0.00178288,5.20547e-05
12,0.00178279,0,0.00178279,5.20547e-05
13,0.00178271,0,0.00178271,5.20547e-05
14,0.00178263,0,0.00178263,5.20547e-05
15,0.00178255,0,0.00178255,5.20547e-05
16,0.00178247,0,0.00178247,5.20547e-05
17,0.00178239,0,0.00178239,5.20547e-05
18,0.00178232,0,0.00178232,5.20547e-05
19,0.00178225,0,0.00178225,5.20547e-05
20,0.00178162,0,0.00178162,5.20547e-05
21,0.00178156,0,0.00178156,5.20547e-05
22,0.00178151,0,0.00178151,5.20547e-05
23,0.00178146,0,0.00178146,5.20547e-05
24,0.00178141,0,0.00178141,5.20547e-05
25,0.00122775,0,0.00122775,5.20547e-05
26,0.00122763,0,0.00122763,5.20547e-05
27,0.00122754,0,0.00122754,5.20547e-05
28,0.00122745,0,0.00122745,5.20547e-05
29,0.00122737,0,0.00122737,5.20547e-05
30,0.00122672,0,0.00122672,5.20547e-05
31,0.00122667,0,0.00122667,5.20547e-05
32,0.00122663,0,0.00122663,5.20547e-05
33,0.00122658,0,0.00122658,5.20547e-05
34,0.00122654,0,0.00122654,5.20547e-05
35,0.00122649,0,0.00122649,5.20547e-05
36,0.00122645,0,0.00122645,5.20547e-05
37,0.00122641,0,0.00122641,5.20547e-05
38,0.00122637,0,0.00122637,5.20547e-05
39,0.00122633,0,0.00122633,5.20547e-05
40,0.00122598,0,0.00122598,5.20547e-05
41,0.00122595,0,0.00122595,5.20547e-05
42,0.00122592,0,0.00122592,5.20547e-05
43,0.0012259,0,0.0012259,5.20547e-05
44,0.00122587,0,0.00122587,5.20547e-05
45,0.00122584,0,0.00122584,5.20547e-05
46,0.00122581,0,0.00122581,5.20547e-05
47,0.00122578,0,0.00122578,5.20547e-05
48,0.00122575,0,0.00122575,5.20547e-05
49,0.00122573,0,0.00122573,5.20547e-05
50,0.00101015,0,0.00101015,5.20547e-05
51,0.00101012,0,0.00101012,5.20547e-05
52,0.0010101,0,0.0010101,5.20547e-05
53,0.00101008,0,0.00101008,5.20547e-05
54,0.00101006,0,0.00101006,5.20547e-05
55,0.00101004,0,0.00101004,5.20547e-05
56,0.00101002,0,0.00101002,5.20547e-05
57,0.00101,0,0.00101,5.20547e-05
58,0.00100998,0,0.00100998,5.20547e-05
59,0.00100996,0,0.00100996,5.20547e-05
60,0.00100976,0,0.00100976,5.20547e-05
61,0.00100975,0,0.00100975,5.20547e-05
62,0.00100973,0,0.00100973,5.20547e-05
63,0.00100971,0,0.00100971,5.20547e-05
64,0.00100969,0,0.00100969,5.20547e-05
65,0.00100967,0,0.00100967,5.20547e-05
66,0.00100966,0,0.00100966,5.20547e-05
67,0.00100964,0,0.00100964,5.20547e-05
68,0.00100962,0,0.00100962,5.20547e-05
69,0.0010096,0,0.0010096,5.20547e-05
70,0.00100943,0,0.00100943,5.20547e-05
71,0.00100941,0,0.00100941,5.20547e-05
72,0.0010094,0,0.0010094,5.20547e-05
73,0.00100938,0,0.00100938,5.20547e-05
74,0.00100936,0,0.00100936,5.20547e-05
75,0.000976075,0,0.000976075,5.20547e-05
76,0.000970571,0,0.000970571,5.20547e-05
77,0.0009696,0,0.0009696,5.20547e-05
78,0.000969423,0,0.000969423,5.20547e-05
79,0.000969384,0,0.000969384,5.20547e-05
80,0.000969288,0,0.000969288,5.20547e-05
81,0.00096928,0,0.00096928,5.20547e-05
82,0.000969272,0,0.000969272,5.20547e-05
83,0.000969264,0,0.000969264,5.20547e-05
84,0.000969256,0,0.000969256,5.20547e-05
85,0.000969248,0,0.000969248,5.20547e-05
86,0.000969241,0,0.000969241,5.20547e-05
87,0.000969233,0,0.000969233,5.20547e-05
88,0.000969225,0,0.000969225,5.20547e-05
89,0.000969218,0,0.000969218,5.20547e-05
90,0.000969142,0,0.000969142,5.20547e-05
91,0.000969135,0,0.000969135,5.20547e-05
92,0.000969128,0,0.000969128,5.20547e-05
93,0.000969121,0,0.000969121,5.20547e-05
94,0.000969114,0,0.000969114,5.20547e-05
95,0.000969107,0,0.000969107,5.20547e-05
96,0.0009691,0,0.0009691,5.20547e-05
97,0.000969093,0,0.000969093,5.20547e-05
98,0.000969086,0,0.000969086,5.20547e-05
99,0.000969079,0,0.000969079,5.20547e-05
100,0.00182925,0,0.00182925,5.20547e-05
101,0.00181723,0,0.00181723,5.20547e-05
102,0.00180532,0,0.00180532,5.20547e-05
103,0.00179356,0,0.00179356,5.20547e-05
104,0.00178199,0,0.00178199,5.20547e-05
105,0.00177066,0,0.00177066,5.20547e-05
106,0.00175963,0,0.00175963,5.20547e-05
107,0.00174894,0,0.00174894,5.20547e-05
108,0.00173864,0,0.00173864,5.20547e-05
109,0.00172879,0,0.00172879,5.20547e-05
110,0.0016608,0,0.0016608,5.20547e-05
111,0.0016577,0,0.0016577,5.20547e-05
112,0.00165506,0,0.00165506,5.20547e-05
113,0.00165285,0,0.00165285,5.20547e-05
114,0.001651,0,0.001651,5.20547e-05
115,0.00164948,0,0.00164948,5.20547e-05
116,0.00164823,0,0.00164823,5.20547e-05
117,0.00164722,0,0.00164722,5.20547e-05
118,0.0016464,0,0.0016464,5.20547e-05
119,0.00164575,0,0.00164575,5.20547e-05
120,0.00164351,0,0.00164351,5.20547e-05
121,0.00164347,0,0.00164347,5.20547e-05
122,0.00164344,0,0.00164344,5.20547e-05
123,0.00164342,0,0.00164342,5.20547e-05
124,0.00164341,0,0.00164341,5.20547e-05
125,0.00192821,0,0.00192821,5.20547e-05
126,0.00192791,0,0.00192791,5.20547e-05
127,0.00192767,0,0.00192767,5.20547e-05
128,0.00192747,0,0.00192747,5.20547e-05
129,0.0019273,0,0.0019273,5.20547e-05
130,0.00192664,0,0.00192664,5.20547e-05
131,0.00192662,0,0.00192662,5.20547e-05
132,0.0019266,0,0.0019266,5.20547e-05
133,0.00192659,0,0.00192659,5.20547e-05
134,0.00192658,0,0.00192658,5.20547e-05
135,0.00192657,0,0.00192657,5.20547e-05
136,0.00192656,0,0.00192656,5.20547e-05
137,0.00192656,0,0.00192656,5.20547e-05
138,0.00192655,0,0.00192655,5.20547e-05
139,0.00192655,0,0.00192655,5.20547e-05
140,0.00192653,0,0.00192653,5.20547e-05
