method,pde,dim,gen,mse_domain,mse_boundary,tree_size,rank
PISR-NSGA-II,Fisher,2,-1,0.0749532502,0.0000000000,5,1
PISR-NSGA-II,Fisher,2,-1,2.1042647793,0.0000000000,10,13
PISR-NSGA-II,Fisher,2,-1,0.1426536123,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,-1,0.0749532502,0.0000000000,5,1
PISR-NSGA-II,Fisher,2,-1,0.3602968517,0.0000000000,34,10
PISR-NSGA-II,Fisher,2,-1,0.2928424616,0.0000000000,9,19
PISR-NSGA-II,Fisher,2,-1,0.6469367248,0.0000000000,5,3
PISR-NSGA-II,Fisher,2,-1,2.1424805482,0.0000000000,8,11
PISR-NSGA-II,Fisher,2,-1,0.3112864386,0.0000000000,12,9
PISR-NSGA-II,Fisher,2,-1,18.8256417671,0.0000000000,5,19
PISR-NSGA-II,Fisher,2,-1,0.0749532502,0.0000000000,5,1
PISR-NSGA-II,Fisher,2,-1,0.1408158116,0.0000000000,8,2
PISR-NSGA-II,Fisher,2,-1,18.5838584790,0.0000000000,5,19
PISR-NSGA-II,Fisher,2,-1,18.5838584790,0.0000000000,5,19
PISR-NSGA-II,Fisher,2,-1,18.8256417671,0.0000000000,5,19
PISR-NSGA-II,Fisher,2,-1,0.0739106709,0.0000000000,12,15
PISR-NSGA-II,Fisher,2,-1,18.8256417671,0.0000000000,5,19
PISR-NSGA-II,Fisher,2,-1,0.4148225749,0.0000000000,8,9
PISR-NSGA-II,Fisher,2,-1,0.2928424616,0.0000000000,9,19
PISR-NSGA-II,Fisher,2,-1,18.8256417671,0.0000000000,5,19
PISR-NSGA-II,Fisher,2,-1,0.1858298029,0.0000000000,9,4
PISR-NSGA-II,Fisher,2,-1,0.1858298029,0.0000000000,9,4
PISR-NSGA-II,Fisher,2,-1,18.5838584790,0.0000000000,5,19
PISR-NSGA-II,Fisher,2,-1,0.2928424616,0.0000000000,9,19
PISR-NSGA-II,Fisher,2,-1,0.0064078637,0.0000000000,10,1
PISR-NSGA-II,Fisher,2,-1,0.0381744878,0.0000000000,10,2
PISR-NSGA-II,Fisher,2,-1,0.1434793591,0.0000000000,8,3
PISR-NSGA-II,Fisher,2,-1,18.8256417671,0.0000000000,5,19
PISR-NSGA-II,Fisher,2,-1,18.8256417671,0.0000000000,5,19
PISR-NSGA-II,Fisher,2,-1,0.1426536123,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,-1,0.8188107255,0.0000000000,9,11
PISR-NSGA-II,Fisher,2,-1,0.4852826903,0.0000000000,9,10
PISR-NSGA-II,Fisher,2,-1,0.0971038595,0.0000000000,7,19
PISR-NSGA-II,Fisher,2,-1,0.0971038595,0.0000000000,7,19
PISR-NSGA-II,Fisher,2,-1,0.4852826903,0.0000000000,9,10
PISR-NSGA-II,Fisher,2,-1,0.2773151011,0.0000000000,8,7
PISR-NSGA-II,Fisher,2,-1,0.4852826903,0.0000000000,9,10
PISR-NSGA-II,Fisher,2,-1,18.5838584790,0.0000000000,5,19
PISR-NSGA-II,Fisher,2,-1,1.4710865470,0.0000000000,10,12
PISR-NSGA-II,Fisher,2,-1,18.5838584790,0.0000000000,5,19
PISR-NSGA-II,Fisher,2,-1,0.1858298029,0.0000000000,9,4
PISR-NSGA-II,Fisher,2,-1,0.1692557216,0.0000000000,10,5
PISR-NSGA-II,Fisher,2,-1,10000.0000000000,0.0000000000,12,17
PISR-NSGA-II,Fisher,2,-1,18.5838584790,0.0000000000,5,19
PISR-NSGA-II,Fisher,2,-1,0.1541350680,0.0000000000,10,4
PISR-NSGA-II,Fisher,2,-1,0.1692557216,0.0000000000,10,5
PISR-NSGA-II,Fisher,2,-1,0.6469367248,0.0000000000,5,3
PISR-NSGA-II,Fisher,2,-1,0.5210278526,0.0000000000,8,10
PISR-NSGA-II,Fisher,2,-1,0.8265850809,0.0000000000,3,2
PISR-NSGA-II,Fisher,2,-1,18.5838584790,0.0000000000,5,19
PISR-NSGA-II,Fisher,2,-1,18.8256417671,0.0000000000,5,19
PISR-NSGA-II,Fisher,2,-1,0.1858298029,0.0000000000,9,4
PISR-NSGA-II,Fisher,2,-1,0.0971038595,0.0000000000,7,19
PISR-NSGA-II,Fisher,2,-1,7664.7280014793,0.0000000000,18,17
PISR-NSGA-II,Fisher,2,-1,0.2928424616,0.0000000000,9,19
PISR-NSGA-II,Fisher,2,-1,18.8256417671,0.0000000000,5,19
PISR-NSGA-II,Fisher,2,-1,18.8256417671,0.0000000000,5,19
PISR-NSGA-II,Fisher,2,-1,0.8188107255,0.0000000000,9,11
PISR-NSGA-II,Fisher,2,-1,18.5838584790,0.0000000000,5,19
PISR-NSGA-II,Fisher,2,-1,0.2928424616,0.0000000000,9,19
PISR-NSGA-II,Fisher,2,-1,0.4852826903,0.0000000000,9,10
PISR-NSGA-II,Fisher,2,-1,0.8265850809,0.0000000000,3,2
PISR-NSGA-II,Fisher,2,-1,0.8265850809,0.0000000000,3,2
PISR-NSGA-II,Fisher,2,-1,0.2748504687,0.0000000000,8,6
PISR-NSGA-II,Fisher,2,-1,0.4852826903,0.0000000000,9,10
PISR-NSGA-II,Fisher,2,-1,18.5838584790,0.0000000000,5,19
PISR-NSGA-II,Fisher,2,-1,18.8256417671,0.0000000000,5,19
PISR-NSGA-II,Fisher,2,-1,0.0957507822,0.0000000000,14,16
PISR-NSGA-II,Fisher,2,-1,0.1858298029,0.0000000000,9,4
PISR-NSGA-II,Fisher,2,-1,0.8265850809,0.0000000000,3,2
PISR-NSGA-II,Fisher,2,-1,0.2246428421,0.0000000000,8,4
PISR-NSGA-II,Fisher,2,-1,0.2450637840,0.0000000000,8,5
PISR-NSGA-II,Fisher,2,-1,6.6404241489,0.0000000000,10,14
PISR-NSGA-II,Fisher,2,-1,0.2827753788,0.0000000000,8,8
PISR-NSGA-II,Fisher,2,-1,0.2928424616,0.0000000000,9,19
PISR-NSGA-II,Fisher,2,-1,0.4547517222,0.0000000000,1,19
PISR-NSGA-II,Fisher,2,-1,0.0063248650,0.0000000000,1,19
PISR-NSGA-II,Fisher,2,-1,0.4784197884,0.0000000000,1,19
PISR-NSGA-II,Fisher,2,-1,0.2794772400,0.0000000000,1,19
PISR-NSGA-II,Fisher,2,-1,1.9556658174,0.0000000000,2,19
PISR-NSGA-II,Fisher,2,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,25
