gen,best_mse_domain,best_mse_boundary,best_total_mse,best_val_mse
0,0.0325691,0,0.0325691,0.0182711
1,0.0325691,0,0.0325691,0.0029623
2,0.0325691,0,0.0325691,0.0029623
3,0.0325691,0,0.0325691,0.0029623
4,0.0325691,0,0.0325691,0.0029623
5,0.0325691,0,0.0325691,0.0029623
6,0.0325691,0,0.0325691,0.0029623
7,0.0325691,0,0.0325691,0.0029623
8,0.0325691,0,0.0325691,0.0029623
9,0.0325691,0,0.0325691,0.0029623
10,0.0325691,0,0.0325691,0.0029623
11,0.0325691,0,0.0325691,0.0029623
12,0.0325691,0,0.0325691,0.0029623
13,0.0325691,0,0.0325691,0.0029623
14,0.0325691,0,0.0325691,0.0029623
15,0.0325691,0,0.0325691,0.0029623
16,0.0325691,0,0.0325691,0.0029623
17,0.0325691,0,0.0325691,0.0029623
18,0.0325691,0,0.0325691,0.0029623
19,0.0325691,0,0.0325691,0.0029623
20,0.0325691,0,0.0325691,0.0029623
21,0.0325691,0,0.0325691,0.0029623
22,0.0325691,0,0.0325691,0.0029623
23,0.0325691,0,0.0325691,0.0029623
24,0.0325691,0,0.0325691,0.0029623
25,0.0386196,0,0.0386196,0.0029623
26,0.0386196,0,0.0386196,0.00272211
27,0.0386196,0,0.0386196,0.00272211
28,0.0386196,0,0.0386196,0.00272211
29,0.0386196,0,0.0386196,0.00272211
30,0.0386196,0,0.0386196,0.00272211
31,0.0386196,0,0.0386196,0.00272211
32,0.0386196,0,0.0386196,0.00272211
33,0.0386196,0,0.0386196,0.00272211
34,0.0386196,0,0.0386196,0.00272211
35,0.0386196,0,0.0386196,0.00272211
36,0.0386196,0,0.0386196,0.00272211
37,0.0386196,0,0.0386196,0.00272211
38,0.0386196,0,0.0386196,0.00272211
39,0.0386196,0,0.0386196,0.00272211
40,0.0386196,0,0.0386196,0.00272211
41,0.0386196,0,0.0386196,0.00272211
42,0.0386196,0,0.0386196,0.00272211
43,0.0386196,0,0.0386196,0.00272211
44,0.0386196,0,0.0386196,0.00272211
45,0.0386196,0,0.0386196,0.00272211
46,0.0386196,0,0.0386196,0.00272211
47,0.0386196,0,0.0386196,0.00272211
48,0.0386196,0,0.0386196,0.00272211
49,0.0386196,0,0.0386196,0.00272211
50,0.0369323,0,0.0369323,0.00272211
51,0.0369323,0,0.0369323,0.00249114
52,0.0369323,0,0.0369323,0.00249114
53,0.0369323,0,0.0369323,0.00249114
54,0.0369323,0,0.0369323,0.00249114
55,0.0369323,0,0.0369323,0.00249114
56,0.0369323,0,0.0369323,0.00249114
57,0.0369323,0,0.0369323,0.00249114
58,0.0369323,0,0.0369323,0.00249114
59,0.0369323,0,0.0369323,0.00249114
60,0.0369323,0,0.0369323,0.00249114
61,0.0369323,0,0.0369323,0.00249114
62,0.0327469,0,0.0327469,0.00249114
63,0.0327469,0,0.0327469,0.00150752
64,0.0327469,0,0.0327469,0.00150752
65,0.0327469,0,0.0327469,0.00150752
66,0.0327469,0,0.0327469,0.00150752
67,0.0327469,0,0.0327469,0.00150752
68,0.0327469,0,0.0327469,0.00150752
69,0.0327469,0,0.0327469,0.00150752
70,0.0327469,0,0.0327469,0.00150752
