method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PI-NSGA-II,Ginzburg-Landau,1,0.0548506122,0.0284186732,1,2
PI-NSGA-II,Ginzburg-Landau,1,0.0253039507,0.0164374359,4,2
PI-NSGA-II,Ginzburg-Landau,1,0.0548506122,0.0284186732,1,2
PI-NSGA-II,Ginzburg-Landau,1,0.0548506122,0.0284186732,1,2
PI-NSGA-II,Ginzburg-Landau,1,0.0901830964,0.0000000000,2,1
PI-NSGA-II,Ginzburg-Landau,1,0.0391238838,0.0982504719,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.2139584973,nan,4,1
PI-NSGA-II,Ginzburg-Landau,1,0.0649757454,0.0137610488,5,2
PI-NSGA-II,Ginzburg-Landau,1,0.0901830964,0.0000000000,2,1
PI-NSGA-II,Ginzburg-Landau,1,0.0672032314,0.0115770535,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0494037552,0.0775056383,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0000020238,0.0118239421,4,1
PI-NSGA-II,Ginzburg-Landau,1,0.0548506122,0.0284186732,1,2
PI-NSGA-II,Ginzburg-Landau,1,0.0391238838,0.0982504719,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0494037552,0.0775056383,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0682694958,0.0106050889,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0541429824,0.0301305114,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0901830964,0.0000000000,2,1
PI-NSGA-II,Ginzburg-Landau,1,0.0901830964,0.0000000000,2,1
PI-NSGA-II,Ginzburg-Landau,1,0.0652519913,0.0134780041,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0634887127,0.0153509848,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0665862464,0.0121603245,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0679372400,0.0109032118,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0613522959,0.0178608717,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0661603303,0.0125723472,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0635804469,0.0152494807,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0822994795,0.0013624003,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0676385853,0.0111748192,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0688830494,0.0100654749,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0660226104,0.0127072642,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0667838169,0.0119718274,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0660589602,0.0126715728,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0693485851,0.0096652307,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0557240053,0.0265605096,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0669967706,0.0117704800,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0660323219,0.0126977229,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0635261309,0.0153095243,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0847818699,0.0004792114,3,1
PI-NSGA-II,Ginzburg-Landau,1,0.0737421079,0.0062477402,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0596818565,0.0200555172,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0548506122,0.0284186732,1,2
PI-NSGA-II,Ginzburg-Landau,1,0.0657240490,0.0130026513,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0661369146,0.0125952273,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0666925434,0.0120587050,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0548506122,0.0284186732,1,2
PI-NSGA-II,Ginzburg-Landau,1,0.0668240074,0.0119336832,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0630411913,0.0158530760,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0633658741,0.0154876513,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0679839441,0.0108610503,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0901830964,0.0000000000,2,1
PI-NSGA-II,Ginzburg-Landau,1,0.0662711139,0.0124644224,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0649176346,0.0138210588,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0663435378,0.0123941562,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0599715604,0.0196576231,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0707696634,0.0084904378,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0640603979,0.0147259805,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0662582760,0.0124769016,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0666151274,0.0121326671,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0672308273,0.0115513312,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0659166855,0.0128116052,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0647871090,0.0139564531,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0604528772,0.0190133592,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0636589635,0.0151629757,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0677077214,0.0111116346,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0639552009,0.0148396534,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0655085208,0.0132184017,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0772377653,0.0039617936,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0665477640,0.0121972316,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0783840393,0.0032952303,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0623762828,0.0166212394,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0649670780,0.0137699890,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0693878952,0.0096317895,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0647663346,0.0139780799,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0614838917,0.0176974502,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0673725826,0.0114196851,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0651075276,0.0136255664,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0661622487,0.0125704736,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0670031120,0.0117645130,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0739031755,0.0061341518,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0653493703,0.0133790952,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0779219581,0.0035588505,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0683090198,0.0105699046,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0651871131,0.0135441508,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0641691687,0.0146090642,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0548506122,0.0284186732,1,2
PI-NSGA-II,Ginzburg-Landau,1,0.0736288169,0.0063281155,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0656394516,0.0130870819,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0652143714,0.0135163351,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0696239486,0.0094321286,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0556332378,0.0267431634,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0707388239,0.0085152025,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0725839028,0.0070882464,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0656035514,0.0131230102,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0654005225,0.0133273181,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0727629053,0.0069556070,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0652822271,0.0134472453,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0655532156,0.0131734852,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0636409869,0.0151827511,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0651825379,0.0135488229,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0665192388,0.0122246297,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0575095466,0.0233310257,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0670242884,0.0117445987,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0672296015,0.0115524731,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0661614080,0.0125712947,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0706768149,0.0085650933,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0686082675,0.0103054160,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0642421542,0.0145309622,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0667066639,0.0120452417,3,2
PI-NSGA-II,Ginzburg-Landau,1,0.0637668644,0.0150446541,3,2
