gen,best_mse_domain,best_mse_boundary,best_total_mse,best_val_mse
0,0.432148,0,0.432148,0.00261429
1,0.00741991,0,0.00741991,7.54816e-06
2,0.00700457,0,0.00700457,4.13309e-06
3,0.00598703,0,0.00598703,4.13309e-06
4,0.00597915,0,0.00597915,4.13309e-06
5,0.00597718,0,0.00597718,4.13309e-06
6,0.00597559,0,0.00597559,4.13309e-06
7,0.00597416,0,0.00597416,4.13309e-06
8,0.00597287,0,0.00597287,4.13309e-06
9,0.0059717,0,0.0059717,4.13309e-06
10,0.00596449,0,0.00596449,4.13309e-06
11,0.00596412,0,0.00596412,4.13309e-06
12,0.00597225,0,0.00597225,4.13309e-06
13,0.0059695,0,0.0059695,4.13309e-06
14,0.00596862,0,0.00596862,4.13309e-06
15,0.00596788,0,0.00596788,4.13309e-06
16,0.00596721,0,0.00596721,4.13309e-06
17,0.00596661,0,0.00596661,4.13309e-06
18,0.00596605,0,0.00596605,4.13309e-06
19,0.00596555,0,0.00596555,4.13309e-06
20,0.00596238,0,0.00596238,4.13309e-06
21,0.00596221,0,0.00596221,4.13309e-06
22,0.00596206,0,0.00596206,4.13309e-06
23,0.00513501,0,0.00513501,4.13309e-06
24,0.00496257,0,0.00496257,4.13309e-06
25,0.0066296,0,0.0066296,4.13309e-06
26,0.0062899,0,0.0062899,4.13309e-06
27,0.00597772,0,0.00597772,4.13309e-06
28,0.00307261,0,0.00307261,4.13309e-06
29,0.0029247,0,0.0029247,4.13309e-06
30,0.000921198,0,0.000921198,4.13309e-06
31,0.000915589,0,0.000915589,4.13309e-06
32,0.000910246,0,0.000910246,4.13309e-06
33,0.000905158,0,0.000905158,4.13309e-06
34,0.000900305,0,0.000900305,4.13309e-06
35,0.000895675,0,0.000895675,4.13309e-06
36,0.000891254,0,0.000891254,4.13309e-06
37,0.000887029,0,0.000887029,4.13309e-06
38,0.000400293,0,0.000400293,4.13309e-06
39,0.000371316,0,0.000371316,4.13309e-06
40,0.000222632,0,0.000222632,4.13309e-06
41,0.000215601,0,0.000215601,4.13309e-06
42,0.00020931,0,0.00020931,4.13309e-06
43,0.000203598,0,0.000203598,4.13309e-06
44,0.000198404,0,0.000198404,4.13309e-06
45,0.000193675,0,0.000193675,4.13309e-06
46,0.000189366,0,0.000189366,4.13309e-06
47,0.000185435,0,0.000185435,4.13309e-06
48,0.000181848,0,0.000181848,4.13309e-06
49,0.000178572,0,0.000178572,4.13309e-06
50,0.000121686,0,0.000121686,4.13309e-06
51,0.000120421,0,0.000120421,4.13309e-06
52,0.000119262,0,0.000119262,4.13309e-06
53,0.000118187,0,0.000118187,4.13309e-06
54,0.00011719,0,0.00011719,4.13309e-06
55,0.000116265,0,0.000116265,4.13309e-06
56,0.000115406,0,0.000115406,4.13309e-06
57,0.000114609,0,0.000114609,4.13309e-06
58,0.000113869,0,0.000113869,4.13309e-06
59,0.000113183,0,0.000113183,4.13309e-06
60,0.000108381,0,0.000108381,4.13309e-06
61,0.000108083,0,0.000108083,4.13309e-06
62,0.000107807,0,0.000107807,4.13309e-06
63,0.000107552,0,0.000107552,4.13309e-06
64,0.000107314,0,0.000107314,4.13309e-06
65,0.000107093,0,0.000107093,4.13309e-06
66,0.000106887,0,0.000106887,4.13309e-06
67,0.000106696,0,0.000106696,4.13309e-06
68,0.000106519,0,0.000106519,4.13309e-06
69,0.000106353,0,0.000106353,4.13309e-06
70,0.000105199,0,0.000105199,4.13309e-06
71,0.000105119,0,0.000105119,4.13309e-06
72,0.000105052,0,0.000105052,4.13309e-06
73,0.00010499,0,0.00010499,4.13309e-06
74,0.000104932,0,0.000104932,4.13309e-06
75,8.06941e-05,0,8.06941e-05,4.13309e-06
76,8.04462e-05,0,8.04462e-05,4.13309e-06
77,8.02139e-05,0,8.02139e-05,4.13309e-06
78,7.99961e-05,0,7.99961e-05,4.13309e-06
79,7.97918e-05,0,7.97918e-05,4.13309e-06
80,7.85577e-05,0,7.85577e-05,4.13309e-06
81,7.83836e-05,0,7.83836e-05,4.13309e-06
82,7.82779e-05,0,7.82779e-05,4.13309e-06
83,7.81786e-05,0,7.81786e-05,4.13309e-06
84,7.80852e-05,0,7.80852e-05,4.13309e-06
85,7.79973e-05,0,7.79973e-05,4.13309e-06
86,7.79147e-05,0,7.79147e-05,4.13309e-06
87,7.7837e-05,0,7.7837e-05,4.13309e-06
88,7.7764e-05,0,7.7764e-05,4.13309e-06
89,7.76952e-05,0,7.76952e-05,4.13309e-06
90,7.72421e-05,0,7.72421e-05,4.13309e-06
91,7.71977e-05,0,7.71977e-05,4.13309e-06
92,7.71621e-05,0,7.71621e-05,4.13309e-06
93,7.71164e-05,0,7.71164e-05,4.13309e-06
94,7.70801e-05,0,7.70801e-05,4.13309e-06
95,7.70462e-05,0,7.70462e-05,4.13309e-06
96,7.70148e-05,0,7.70148e-05,4.13309e-06
97,7.69855e-05,0,7.69855e-05,4.13309e-06
98,7.69583e-05,0,7.69583e-05,4.13309e-06
99,7.6933e-05,0,7.6933e-05,4.13309e-06
100,5.59449e-05,0,5.59449e-05,4.13309e-06
101,5.58951e-05,0,5.58951e-05,4.13309e-06
102,5.58585e-05,0,5.58585e-05,4.13309e-06
103,5.58249e-05,0,5.58249e-05,4.13309e-06
104,5.57939e-05,0,5.57939e-05,4.13309e-06
105,5.57654e-05,0,5.57654e-05,4.13309e-06
106,5.57392e-05,0,5.57392e-05,4.13309e-06
107,5.5715e-05,0,5.5715e-05,4.13309e-06
108,5.56927e-05,0,5.56927e-05,4.13309e-06
109,5.56722e-05,0,5.56722e-05,4.13309e-06
110,5.55584e-05,0,5.55584e-05,4.13309e-06
111,5.55472e-05,0,5.55472e-05,4.13309e-06
112,5.55378e-05,0,5.55378e-05,4.13309e-06
113,5.55291e-05,0,5.55291e-05,4.13309e-06
114,5.55789e-05,0,5.55789e-05,4.13309e-06
115,5.55608e-05,0,5.55608e-05,4.13309e-06
116,5.55525e-05,0,5.55525e-05,4.13309e-06
117,5.55447e-05,0,5.55447e-05,4.13309e-06
118,5.55373e-05,0,5.55373e-05,4.13309e-06
119,5.55304e-05,0,5.55304e-05,4.13309e-06
120,5.54861e-05,0,5.54861e-05,4.13309e-06
121,5.54806e-05,0,5.54806e-05,4.13309e-06
122,5.5477e-05,0,5.5477e-05,4.13309e-06
123,5.54736e-05,0,5.54736e-05,4.13309e-06
124,5.54704e-05,0,5.54704e-05,4.13309e-06
125,3.92101e-05,0,3.92101e-05,4.13309e-06
126,3.91951e-05,0,3.91951e-05,4.13309e-06
127,3.91807e-05,0,3.91807e-05,4.13309e-06
128,3.94753e-05,0,3.94753e-05,4.13309e-06
129,3.94537e-05,0,3.94537e-05,4.13309e-06
130,3.9318e-05,0,3.9318e-05,4.13309e-06
131,3.92997e-05,0,3.92997e-05,4.13309e-06
132,3.92844e-05,0,3.92844e-05,4.13309e-06
133,3.92698e-05,0,3.92698e-05,4.13309e-06
134,3.92556e-05,0,3.92556e-05,4.13309e-06
135,3.9242e-05,0,3.9242e-05,4.13309e-06
136,3.90244e-05,0,3.90244e-05,4.13309e-06
137,3.90179e-05,0,3.90179e-05,4.13309e-06
138,3.90116e-05,0,3.90116e-05,4.13309e-06
139,3.90057e-05,0,3.90057e-05,4.13309e-06
140,3.89695e-05,0,3.89695e-05,4.13309e-06
141,3.89648e-05,0,3.89648e-05,4.13309e-06
142,3.89609e-05,0,3.89609e-05,4.13309e-06
143,3.89572e-05,0,3.89572e-05,4.13309e-06
144,3.89536e-05,0,3.89536e-05,4.13309e-06
145,3.89502e-05,0,3.89502e-05,4.13309e-06
146,3.89469e-05,0,3.89469e-05,4.13309e-06
147,3.89438e-05,0,3.89438e-05,4.13309e-06
148,3.89408e-05,0,3.89408e-05,4.13309e-06
149,3.8938e-05,0,3.8938e-05,4.13309e-06
150,2.68743e-05,0,2.68743e-05,4.13309e-06
151,2.68726e-05,0,2.68726e-05,4.13309e-06
152,2.6871e-05,0,2.6871e-05,4.13309e-06
153,2.68695e-05,0,2.68695e-05,4.13309e-06
154,2.6868e-05,0,2.6868e-05,4.13309e-06
155,2.68666e-05,0,2.68666e-05,4.13309e-06
156,2.68652e-05,0,2.68652e-05,4.13309e-06
157,2.68638e-05,0,2.68638e-05,4.13309e-06
158,2.68625e-05,0,2.68625e-05,4.13309e-06
159,2.68612e-05,0,2.68612e-05,4.13309e-06
160,2.68529e-05,0,2.68529e-05,4.13309e-06
161,2.68518e-05,0,2.68518e-05,4.13309e-06
162,2.68509e-05,0,2.68509e-05,4.13309e-06
163,2.68499e-05,0,2.68499e-05,4.13309e-06
164,2.6849e-05,0,2.6849e-05,4.13309e-06
165,2.68481e-05,0,2.68481e-05,4.13309e-06
166,2.68473e-05,0,2.68473e-05,4.13309e-06
167,2.68465e-05,0,2.68465e-05,4.13309e-06
168,2.68456e-05,0,2.68456e-05,4.13309e-06
169,2.68449e-05,0,2.68449e-05,4.13309e-06
170,2.68401e-05,0,2.68401e-05,4.13309e-06
171,2.68395e-05,0,2.68395e-05,4.13309e-06
172,2.68389e-05,0,2.68389e-05,4.13309e-06
173,2.68383e-05,0,2.68383e-05,4.13309e-06
174,2.68377e-05,0,2.68377e-05,4.13309e-06
175,2.01039e-05,0,2.01039e-05,4.13309e-06
176,2.00896e-05,0,2.00896e-05,4.13309e-06
177,2.00756e-05,0,2.00756e-05,4.13309e-06
178,2.0062e-05,0,2.0062e-05,4.13309e-06
179,2.00486e-05,0,2.00486e-05,4.13309e-06
180,1.99557e-05,0,1.99557e-05,4.13309e-06
181,1.99433e-05,0,1.99433e-05,4.13309e-06
182,1.99327e-05,0,1.99327e-05,4.13309e-06
183,1.99222e-05,0,1.99222e-05,4.13309e-06
184,1.99121e-05,0,1.99121e-05,4.13309e-06
185,1.99021e-05,0,1.99021e-05,4.13309e-06
186,1.98924e-05,0,1.98924e-05,4.13309e-06
187,1.98829e-05,0,1.98829e-05,4.13309e-06
188,1.98736e-05,0,1.98736e-05,4.13309e-06
189,1.98646e-05,0,1.98646e-05,4.13309e-06
190,1.98046e-05,0,1.98046e-05,4.13309e-06
191,1.9797e-05,0,1.9797e-05,4.13309e-06
192,1.97896e-05,0,1.97896e-05,4.13309e-06
193,1.97824e-05,0,1.97824e-05,4.13309e-06
194,1.97753e-05,0,1.97753e-05,4.13309e-06
195,1.97684e-05,0,1.97684e-05,4.13309e-06
196,1.97617e-05,0,1.97617e-05,4.13309e-06
197,1.97551e-05,0,1.97551e-05,4.13309e-06
198,1.97486e-05,0,1.97486e-05,4.13309e-06
199,1.97423e-05,0,1.97423e-05,4.13309e-06
