method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PISR-NSGA-II,HarmonicOscillator,1,0.0008505142,0.0000000000,5,1
PISR-NSGA-II,HarmonicOscillator,1,0.0000197423,0.0000000000,11,1
PISR-NSGA-II,HarmonicOscillator,1,0.0000197423,0.0000000000,11,1
PISR-NSGA-II,HarmonicOscillator,1,0.1038529105,0.0000000000,3,2
PISR-NSGA-II,HarmonicOscillator,1,0.0000197423,0.0000000000,11,1
PISR-NSGA-II,HarmonicOscillator,1,0.0008505142,0.0000000000,5,1
PISR-NSGA-II,HarmonicOscillator,1,0.0091469908,0.0000000000,4,1
PISR-NSGA-II,HarmonicOscillator,1,0.0091469908,0.0000000000,4,1
PISR-NSGA-II,HarmonicOscillator,1,0.0008501012,0.0000000000,7,1
PISR-NSGA-II,HarmonicOscillator,1,0.0008501012,0.0000000000,7,1
PISR-NSGA-II,HarmonicOscillator,1,0.0008501012,0.0000000000,7,1
PISR-NSGA-II,HarmonicOscillator,1,0.0008501012,0.0000000000,7,1
PISR-NSGA-II,HarmonicOscillator,1,0.0008501012,0.0000000000,7,1
PISR-NSGA-II,HarmonicOscillator,1,0.0008501012,0.0000000000,7,1
PISR-NSGA-II,HarmonicOscillator,1,0.0008501012,0.0000000000,7,1
PISR-NSGA-II,HarmonicOscillator,1,0.0008501012,0.0000000000,7,1
PISR-NSGA-II,HarmonicOscillator,1,0.0008501012,0.0000000000,7,1
PISR-NSGA-II,HarmonicOscillator,1,0.0008501012,0.0000000000,7,1
PISR-NSGA-II,HarmonicOscillator,1,0.0091469908,0.0000000000,4,1
PISR-NSGA-II,HarmonicOscillator,1,0.0091469908,0.0000000000,4,1
PISR-NSGA-II,HarmonicOscillator,1,0.0091469908,0.0000000000,4,1
PISR-NSGA-II,HarmonicOscillator,1,0.0091469908,0.0000000000,4,1
PISR-NSGA-II,HarmonicOscillator,1,0.0008501012,0.0000000000,7,1
PISR-NSGA-II,HarmonicOscillator,1,0.0091469908,0.0000000000,4,1
PISR-NSGA-II,HarmonicOscillator,1,0.0091469908,0.0000000000,4,1
PISR-NSGA-II,HarmonicOscillator,1,0.0008501012,0.0000000000,7,1
PISR-NSGA-II,HarmonicOscillator,1,0.0091469908,0.0000000000,4,1
PISR-NSGA-II,HarmonicOscillator,1,0.0091469908,0.0000000000,4,1
PISR-NSGA-II,HarmonicOscillator,1,0.0008501012,0.0000000000,7,1
PISR-NSGA-II,HarmonicOscillator,1,0.0000197423,0.0000000000,11,1
PISR-NSGA-II,HarmonicOscillator,1,0.0091469908,0.0000000000,4,1
PISR-NSGA-II,HarmonicOscillator,1,0.0091469908,0.0000000000,4,1
PISR-NSGA-II,HarmonicOscillator,1,0.0000197423,0.0000000000,11,1
PISR-NSGA-II,HarmonicOscillator,1,0.0091469908,0.0000000000,4,1
PISR-NSGA-II,HarmonicOscillator,1,0.1038529105,0.0000000000,3,3
PISR-NSGA-II,HarmonicOscillator,1,0.1038529105,0.0000000000,3,3
PISR-NSGA-II,HarmonicOscillator,1,0.0000199172,0.0000000000,13,2
PISR-NSGA-II,HarmonicOscillator,1,0.1038529105,0.0000000000,3,3
PISR-NSGA-II,HarmonicOscillator,1,0.0091469911,0.0000000000,4,2
PISR-NSGA-II,HarmonicOscillator,1,0.0000199309,0.0000000000,11,2
PISR-NSGA-II,HarmonicOscillator,1,0.0008507115,0.0000000000,5,2
PISR-NSGA-II,HarmonicOscillator,1,0.0000199309,0.0000000000,11,2
PISR-NSGA-II,HarmonicOscillator,1,0.0000199172,0.0000000000,13,2
PISR-NSGA-II,HarmonicOscillator,1,0.1038529105,0.0000000000,3,3
PISR-NSGA-II,HarmonicOscillator,1,0.0091469911,0.0000000000,4,2
