method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PISR-NSGA-II,HarmonicOscillator,1,0.0003290927,0.0000000000,5,1
PISR-NSGA-II,HarmonicOscillator,1,0.0067935310,0.0000000000,4,1
PISR-NSGA-II,HarmonicOscillator,1,0.0529519202,0.0000000000,3,1
PISR-NSGA-II,HarmonicOscillator,1,0.0067935310,0.0000000000,4,1
PISR-NSGA-II,HarmonicOscillator,1,0.0067935310,0.0000000000,4,1
PISR-NSGA-II,HarmonicOscillator,1,0.0002432175,0.0000000000,8,1
PISR-NSGA-II,HarmonicOscillator,1,0.0067935310,0.0000000000,4,1
PISR-NSGA-II,HarmonicOscillator,1,0.0003290927,0.0000000000,5,2
PISR-NSGA-II,HarmonicOscillator,1,0.0003290927,0.0000000000,5,2
PISR-NSGA-II,HarmonicOscillator,1,0.0585080668,0.0000000000,3,2
PISR-NSGA-II,HarmonicOscillator,1,0.0585080668,0.0000000000,3,2
PISR-NSGA-II,HarmonicOscillator,1,0.0585080668,0.0000000000,3,2
PISR-NSGA-II,HarmonicOscillator,1,0.0071537739,0.0000000000,4,2
PISR-NSGA-II,HarmonicOscillator,1,0.0003290927,0.0000000000,5,3
PISR-NSGA-II,HarmonicOscillator,1,0.0585080668,0.0000000000,3,3
PISR-NSGA-II,HarmonicOscillator,1,0.0082234871,0.0000000000,4,3
PISR-NSGA-II,HarmonicOscillator,1,0.0003290927,0.0000000000,5,4
PISR-NSGA-II,HarmonicOscillator,1,0.0717317125,0.0000000000,3,4
PISR-NSGA-II,HarmonicOscillator,1,0.0110083398,0.0000000000,4,4
PISR-NSGA-II,HarmonicOscillator,1,0.0003290927,0.0000000000,5,5
PISR-NSGA-II,HarmonicOscillator,1,0.1031645627,0.0000000000,3,5
PISR-NSGA-II,HarmonicOscillator,1,0.0115173841,0.0000000000,4,5
PISR-NSGA-II,HarmonicOscillator,1,0.0005739136,0.0000000000,5,6
PISR-NSGA-II,HarmonicOscillator,1,0.0005739136,0.0000000000,5,6
PISR-NSGA-II,HarmonicOscillator,1,0.0005739136,0.0000000000,5,6
PISR-NSGA-II,HarmonicOscillator,1,0.0005739136,0.0000000000,5,6
PISR-NSGA-II,HarmonicOscillator,1,0.0182349299,0.0000000000,4,6
PISR-NSGA-II,HarmonicOscillator,1,0.0182349299,0.0000000000,4,6
PISR-NSGA-II,HarmonicOscillator,1,0.0182349299,0.0000000000,4,6
PISR-NSGA-II,HarmonicOscillator,1,0.0182349299,0.0000000000,4,6
PISR-NSGA-II,HarmonicOscillator,1,0.0182349299,0.0000000000,4,6
PISR-NSGA-II,HarmonicOscillator,1,0.0182349299,0.0000000000,4,6
PISR-NSGA-II,HarmonicOscillator,1,0.0003857236,0.0000000000,8,6
PISR-NSGA-II,HarmonicOscillator,1,0.1257901744,0.0000000000,3,6
PISR-NSGA-II,HarmonicOscillator,1,0.0004553913,0.0000000000,8,7
PISR-NSGA-II,HarmonicOscillator,1,0.0004553913,0.0000000000,8,7
PISR-NSGA-II,HarmonicOscillator,1,0.0004101968,0.0000000000,11,7
PISR-NSGA-II,HarmonicOscillator,1,0.0182349299,0.0000000000,4,7
PISR-NSGA-II,HarmonicOscillator,1,0.0182349299,0.0000000000,4,7
PISR-NSGA-II,HarmonicOscillator,1,0.0182349299,0.0000000000,4,7
PISR-NSGA-II,HarmonicOscillator,1,0.0005739136,0.0000000000,5,7
PISR-NSGA-II,HarmonicOscillator,1,0.0005739136,0.0000000000,5,7
PISR-NSGA-II,HarmonicOscillator,1,0.0005739136,0.0000000000,5,7
PISR-NSGA-II,HarmonicOscillator,1,0.1360805742,0.0000000000,3,7
PISR-NSGA-II,HarmonicOscillator,1,0.0182349299,0.0000000000,4,7
PISR-NSGA-II,HarmonicOscillator,1,0.0182349299,0.0000000000,4,7
PISR-NSGA-II,HarmonicOscillator,1,0.0182349299,0.0000000000,4,7
PISR-NSGA-II,HarmonicOscillator,1,0.0182349299,0.0000000000,4,7
PISR-NSGA-II,HarmonicOscillator,1,0.0182349299,0.0000000000,4,7
PISR-NSGA-II,HarmonicOscillator,1,0.0182349299,0.0000000000,4,7
PISR-NSGA-II,HarmonicOscillator,1,0.0182349299,0.0000000000,4,7
PISR-NSGA-II,HarmonicOscillator,1,0.0182349299,0.0000000000,4,7
PISR-NSGA-II,HarmonicOscillator,1,0.0182349299,0.0000000000,4,7
PISR-NSGA-II,HarmonicOscillator,1,0.0182350945,0.0000000000,4,8
PISR-NSGA-II,HarmonicOscillator,1,0.0004553913,0.0000000000,8,8
PISR-NSGA-II,HarmonicOscillator,1,0.0004553913,0.0000000000,12,8
PISR-NSGA-II,HarmonicOscillator,1,0.1360805742,0.0000000000,3,8
