gen,best_mse_domain,best_mse_boundary,best_total_mse,best_val_mse
0,18.825,0,18.825,0.00480579
1,16.5633,0,16.5633,0.00480579
2,16.5633,0,16.5633,0.00480579
3,16.5633,0,16.5633,0.00480579
4,16.5633,0,16.5633,0.00480579
5,16.5633,0,16.5633,0.00480579
6,16.5633,0,16.5633,0.00480579
7,16.5633,0,16.5633,0.00480579
8,16.5633,0,16.5633,0.00480579
9,16.5633,0,16.5633,0.00480579
10,16.492,0,16.492,0.00480579
11,16.492,0,16.492,0.00480579
12,16.492,0,16.492,0.00480579
13,16.492,0,16.492,0.00480579
14,16.492,0,16.492,0.00480579
15,16.492,0,16.492,0.00480579
16,16.492,0,16.492,0.00480579
17,16.492,0,16.492,0.00480579
18,16.492,0,16.492,0.00480579
19,16.492,0,16.492,0.00480579
20,16.492,0,16.492,0.00480579
21,16.492,0,16.492,0.00480579
22,16.492,0,16.492,0.00480579
23,16.492,0,16.492,0.00480579
24,16.492,0,16.492,0.00480579
25,21.7641,0,21.7641,0.00480579
26,21.7641,0,21.7641,0.00480579
27,21.7641,0,21.7641,0.00480579
28,21.7641,0,21.7641,0.00480579
29,21.7641,0,21.7641,0.00480579
30,21.7641,0,21.7641,0.00480579
31,21.7641,0,21.7641,0.00480579
32,21.7641,0,21.7641,0.00480579
33,21.7641,0,21.7641,0.00480579
34,21.7641,0,21.7641,0.00480579
35,21.7641,0,21.7641,0.00480579
36,21.7641,0,21.7641,0.00480579
37,21.7641,0,21.7641,0.00480579
38,21.7641,0,21.7641,0.00480579
39,21.7641,0,21.7641,0.00480579
40,21.7641,0,21.7641,0.00480579
41,21.7641,0,21.7641,0.00480579
42,21.7641,0,21.7641,0.00480579
43,21.7641,0,21.7641,0.00480579
44,21.7641,0,21.7641,0.00480579
45,21.7641,0,21.7641,0.00480579
46,21.7641,0,21.7641,0.00480579
47,21.7641,0,21.7641,0.00480579
48,9.91919,0,9.91919,0.00480579
49,9.91919,0,9.91919,0.00452244
50,5.65125,0,5.65125,0.00452244
51,5.65125,0,5.65125,0.00452219
52,5.65125,0,5.65125,0.00452219
53,5.65125,0,5.65125,0.00452219
54,5.65125,0,5.65125,0.00452219
55,5.65125,0,5.65125,0.00452219
56,5.65125,0,5.65125,0.00452219
57,5.65125,0,5.65125,0.00452219
58,5.65125,0,5.65125,0.00452219
59,5.65125,0,5.65125,0.00452219
60,5.65125,0,5.65125,0.00452219
61,5.65125,0,5.65125,0.00452219
62,5.65125,0,5.65125,0.00452219
63,5.65125,0,5.65125,0.00452219
64,5.65125,0,5.65125,0.00452219
65,5.65125,0,5.65125,0.00452219
66,5.65125,0,5.65125,0.00452219
67,5.65125,0,5.65125,0.00452219
68,5.65125,0,5.65125,0.00452219
69,5.65125,0,5.65125,0.00452219
70,5.65125,0,5.65125,0.00452219
71,5.65125,0,5.65125,0.00452219
72,5.65125,0,5.65125,0.00452219
73,5.65125,0,5.65125,0.00452219
74,5.65125,0,5.65125,0.00452219
75,3.61843,0,3.61843,0.00452219
76,3.61843,0,3.61843,0.00452219
77,3.61843,0,3.61843,0.00452219
78,3.61843,0,3.61843,0.00452219
79,3.61843,0,3.61843,0.00452219
80,3.61843,0,3.61843,0.00452219
81,3.61843,0,3.61843,0.00452219
82,3.61843,0,3.61843,0.00452219
83,3.61843,0,3.61843,0.00452219
84,3.61843,0,3.61843,0.00452219
85,3.61843,0,3.61843,0.00452219
86,3.61843,0,3.61843,0.00452219
87,3.61843,0,3.61843,0.00452219
88,3.61843,0,3.61843,0.00452219
89,3.61843,0,3.61843,0.00452219
90,3.61843,0,3.61843,0.00452219
91,3.61843,0,3.61843,0.00452219
92,3.61843,0,3.61843,0.00452219
93,3.61843,0,3.61843,0.00452219
94,3.61843,0,3.61843,0.00452219
95,3.61843,0,3.61843,0.00452219
96,3.61843,0,3.61843,0.00452219
97,3.61843,0,3.61843,0.00452219
98,3.61843,0,3.61843,0.00452219
99,3.61843,0,3.61843,0.00452219
100,2.56292,0,2.56292,0.00452219
101,2.56292,0,2.56292,0.00452219
102,2.56292,0,2.56292,0.00452219
103,2.56292,0,2.56292,0.00452219
104,2.56292,0,2.56292,0.00452219
105,2.56292,0,2.56292,0.00452219
106,2.56292,0,2.56292,0.00452219
107,2.56292,0,2.56292,0.00452219
108,2.56292,0,2.56292,0.00452219
109,2.56292,0,2.56292,0.00452219
110,2.56292,0,2.56292,0.00452219
111,2.56292,0,2.56292,0.00452219
112,2.56292,0,2.56292,0.00452219
113,2.56292,0,2.56292,0.00452219
114,2.56292,0,2.56292,0.00452219
115,2.56292,0,2.56292,0.00452219
116,2.56292,0,2.56292,0.00452219
117,2.56292,0,2.56292,0.00452219
118,2.56292,0,2.56292,0.00452219
119,2.56292,0,2.56292,0.00452219
120,2.56292,0,2.56292,0.00452219
121,2.56292,0,2.56292,0.00452219
122,2.56292,0,2.56292,0.00452219
123,2.56292,0,2.56292,0.00452219
124,2.56292,0,2.56292,0.00452219
125,2.01066,0,2.01066,0.00452219
126,2.01066,0,2.01066,0.00452219
127,2.01066,0,2.01066,0.00452219
128,2.01066,0,2.01066,0.00452219
129,2.01066,0,2.01066,0.00452219
130,2.01066,0,2.01066,0.00452219
131,2.01066,0,2.01066,0.00452219
132,2.01066,0,2.01066,0.00452219
133,2.01066,0,2.01066,0.00452219
134,2.01066,0,2.01066,0.00452219
135,2.01066,0,2.01066,0.00452219
136,2.01066,0,2.01066,0.00452219
137,2.01066,0,2.01066,0.00452219
138,2.01066,0,2.01066,0.00452219
139,2.01066,0,2.01066,0.00452219
140,2.01066,0,2.01066,0.00452219
141,2.01066,0,2.01066,0.00452219
142,2.01066,0,2.01066,0.00452219
143,2.01066,0,2.01066,0.00452219
144,2.01066,0,2.01066,0.00452219
145,2.01066,0,2.01066,0.00452219
146,2.01066,0,2.01066,0.00452219
147,2.01066,0,2.01066,0.00452219
148,2.01066,0,2.01066,0.00452219
149,0.0554113,0,0.0554113,0.00452219
150,0.0106156,0,0.0106156,1.31139e-12
151,0.0106156,0,0.0106156,8.84549e-14
152,0.0106156,0,0.0106156,8.84549e-14
153,0.0106156,0,0.0106156,8.84549e-14
154,0.0106156,0,0.0106156,8.84549e-14
155,0.0106156,0,0.0106156,8.84549e-14
156,0.0106156,0,0.0106156,8.84549e-14
157,0.0106156,0,0.0106156,8.84549e-14
158,0.0106156,0,0.0106156,8.84549e-14
159,0.0106156,0,0.0106156,8.84549e-14
160,0.0106156,0,0.0106156,8.84549e-14
161,0.0106156,0,0.0106156,8.84549e-14
162,0.0106156,0,0.0106156,8.84549e-14
163,0.0106156,0,0.0106156,8.84549e-14
164,0.0106156,0,0.0106156,8.84549e-14
165,0.0106156,0,0.0106156,8.84549e-14
166,0.0106156,0,0.0106156,8.84549e-14
167,0.0106156,0,0.0106156,8.84549e-14
168,0.0106156,0,0.0106156,8.84549e-14
169,0.0106156,0,0.0106156,8.84549e-14
170,0.0106156,0,0.0106156,8.84549e-14
171,0.0106156,0,0.0106156,8.84549e-14
172,0.0106156,0,0.0106156,8.84549e-14
173,0.0106156,0,0.0106156,8.84549e-14
174,0.0106156,0,0.0106156,8.8344e-14
175,0.00780354,0,0.00780354,8.8344e-14
176,0.00780354,0,0.00780354,8.8344e-14
177,0.00780354,0,0.00780354,8.8344e-14
178,0.00780354,0,0.00780354,8.8344e-14
179,0.00780354,0,0.00780354,8.8344e-14
180,0.00780354,0,0.00780354,8.8344e-14
181,0.00780354,0,0.00780354,8.8344e-14
182,0.00780354,0,0.00780354,8.8344e-14
183,0.00780354,0,0.00780354,8.8344e-14
184,0.00780354,0,0.00780354,8.8344e-14
185,0.00780354,0,0.00780354,8.8344e-14
186,0.00780354,0,0.00780354,8.8344e-14
187,0.00780354,0,0.00780354,8.80646e-14
188,0.00780354,0,0.00780354,8.80646e-14
189,0.00780354,0,0.00780354,8.80646e-14
190,0.00780354,0,0.00780354,8.80646e-14
191,0.00780354,0,0.00780354,8.80646e-14
192,0.00780354,0,0.00780354,8.80646e-14
193,0.00780354,0,0.00780354,8.80646e-14
194,0.00780354,0,0.00780354,8.80646e-14
195,0.00780354,0,0.00780354,8.80646e-14
196,0.00780354,0,0.00780354,8.80646e-14
197,0.00780354,0,0.00780354,8.80646e-14
198,0.00780354,0,0.00780354,8.80646e-14
199,0.00780354,0,0.00780354,8.80646e-14
200,0.00721941,0,0.00721941,8.80646e-14
201,0.00721941,0,0.00721941,8.80646e-14
202,0.00721941,0,0.00721941,8.80646e-14
203,0.00721941,0,0.00721941,8.80646e-14
204,0.00721941,0,0.00721941,8.80646e-14
205,0.00721941,0,0.00721941,8.80646e-14
206,0.00721941,0,0.00721941,8.80646e-14
207,0.00721941,0,0.00721941,8.80646e-14
208,0.00721941,0,0.00721941,8.80646e-14
209,0.00721941,0,0.00721941,8.80646e-14
210,0.00721941,0,0.00721941,8.80646e-14
211,0.00721941,0,0.00721941,8.80646e-14
212,0.00721941,0,0.00721941,8.80646e-14
213,0.00721941,0,0.00721941,8.80646e-14
214,0.00721941,0,0.00721941,8.80646e-14
