method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PI-NSGA-II,Lane-Emden,1,0.0403132097,0.0000000000,6,1
PI-NSGA-II,Lane-Emden,1,0.0403132097,0.0000000000,6,1
PI-NSGA-II,Lane-Emden,1,0.0403132097,0.0000000000,6,1
PI-NSGA-II,Lane-Emden,1,0.0403132097,0.0000000000,6,1
PI-NSGA-II,Lane-Emden,1,0.0403132097,0.0000000000,6,1
PI-NSGA-II,Lane-Emden,1,0.0403132097,0.0000000000,6,1
PI-NSGA-II,Lane-Emden,1,0.0403132097,0.0000000000,6,1
PI-NSGA-II,Lane-Emden,1,0.0403132097,0.0000000000,6,1
PI-NSGA-II,Lane-Emden,1,0.0403132097,0.0000000000,6,1
PI-NSGA-II,Lane-Emden,1,0.0403132097,0.0000000000,6,1
PI-NSGA-II,Lane-Emden,1,0.0403132097,0.0000000000,6,1
PI-NSGA-II,Lane-Emden,1,0.0403132097,0.0000000000,6,1
PI-NSGA-II,Lane-Emden,1,0.0403132097,0.0000000000,6,1
PI-NSGA-II,Lane-Emden,1,0.0403132097,0.0000000000,6,1
PI-NSGA-II,Lane-Emden,1,0.0403132097,0.0000000000,6,1
PI-NSGA-II,Lane-Emden,1,0.0403132097,0.0000000000,6,1
PI-NSGA-II,Lane-Emden,1,0.0403132097,0.0000000000,6,1
PI-NSGA-II,Lane-Emden,1,0.0403132097,0.0000000000,6,1
PI-NSGA-II,Lane-Emden,1,0.0403132097,0.0000000000,6,1
PI-NSGA-II,Lane-Emden,1,0.0403132097,0.0000000000,6,1
PI-NSGA-II,Lane-Emden,1,0.0032777284,0.7896168765,6,1
PI-NSGA-II,Lane-Emden,1,2.8098966784,0.0257197264,2,1
PI-NSGA-II,Lane-Emden,1,2.8098966784,0.0257197264,2,1
PI-NSGA-II,Lane-Emden,1,98643.2210329690,0.5138888889,1,1
PI-NSGA-II,Lane-Emden,1,98643.2210329690,0.5138888889,1,1
PI-NSGA-II,Lane-Emden,1,98643.2210329690,0.5138888889,1,1
PI-NSGA-II,Lane-Emden,1,98643.2210329690,0.5138888889,1,1
PI-NSGA-II,Lane-Emden,1,0.0187222653,0.7763322470,4,1
PI-NSGA-II,Lane-Emden,1,98643.2210329690,0.5138888889,1,1
PI-NSGA-II,Lane-Emden,1,98643.2210329690,0.5138888889,1,1
PI-NSGA-II,Lane-Emden,1,98643.2210329690,0.5138888889,1,1
PI-NSGA-II,Lane-Emden,1,98643.2210329690,0.5138888889,1,1
PI-NSGA-II,Lane-Emden,1,98643.2210329690,0.5138888889,1,1
PI-NSGA-II,Lane-Emden,1,98643.2210329690,0.5138888889,1,1
PI-NSGA-II,Lane-Emden,1,98643.2210329690,0.5138888889,1,1
PI-NSGA-II,Lane-Emden,1,0.0403132097,0.0000000000,6,1
PI-NSGA-II,Lane-Emden,1,98643.2210329690,0.5138888889,1,1
PI-NSGA-II,Lane-Emden,1,98643.2210329690,0.5138888889,1,1
PI-NSGA-II,Lane-Emden,1,98643.2210329690,0.5138888889,1,1
PI-NSGA-II,Lane-Emden,1,98643.2210329690,0.5138888889,1,1
PI-NSGA-II,Lane-Emden,1,0.0073266061,0.7932184428,5,1
PI-NSGA-II,Lane-Emden,1,98643.2210329690,0.5138888889,1,1
PI-NSGA-II,Lane-Emden,1,0.9892248525,0.7228963012,4,1
PI-NSGA-II,Lane-Emden,1,0.8072316529,0.0115832933,5,1
PI-NSGA-II,Lane-Emden,1,0.9724203251,0.7238433293,4,1
PI-NSGA-II,Lane-Emden,1,98643.2210329690,0.5138888889,1,1
PI-NSGA-II,Lane-Emden,1,98643.2210329690,0.5138888889,1,1
PI-NSGA-II,Lane-Emden,1,98643.2210329690,0.5138888889,1,1
PI-NSGA-II,Lane-Emden,1,98643.2210329690,0.5138888889,1,1
PI-NSGA-II,Lane-Emden,1,98643.2210329690,0.5138888889,1,1
PI-NSGA-II,Lane-Emden,1,98643.2210329690,0.5138888889,1,1
PI-NSGA-II,Lane-Emden,1,98643.2210329690,0.5138888889,1,1
PI-NSGA-II,Lane-Emden,1,98643.2210329690,0.5138888889,1,1
PI-NSGA-II,Lane-Emden,1,98643.2210329690,0.5138888889,1,1
PI-NSGA-II,Lane-Emden,1,1.0293224387,0.7206942763,4,1
PI-NSGA-II,Lane-Emden,1,98643.2210329690,0.5138888889,1,1
PI-NSGA-II,Lane-Emden,1,98643.2210329690,0.5138888889,1,1
PI-NSGA-II,Lane-Emden,1,98643.2210329690,0.5138888889,1,1
PI-NSGA-II,Lane-Emden,1,98643.2210329690,0.5138888889,1,1
PI-NSGA-II,Lane-Emden,1,98643.2210329690,0.5138888889,1,1
PI-NSGA-II,Lane-Emden,1,98643.2210329690,0.5138888889,1,1
PI-NSGA-II,Lane-Emden,1,98643.2210329690,0.5138888889,1,1
PI-NSGA-II,Lane-Emden,1,98643.2210329690,0.5138888889,1,1
PI-NSGA-II,Lane-Emden,1,98643.2210329690,0.5138888889,1,1
PI-NSGA-II,Lane-Emden,1,98643.2210329690,0.5138888889,1,1
PI-NSGA-II,Lane-Emden,1,98643.2210329690,0.5138888889,1,1
PI-NSGA-II,Lane-Emden,1,98643.2210329690,0.5138888889,1,1
PI-NSGA-II,Lane-Emden,1,0.0593208675,0.0000999663,6,1
PI-NSGA-II,Lane-Emden,1,98643.2210329690,0.5138888889,1,1
PI-NSGA-II,Lane-Emden,1,98643.2210329690,0.5138888889,1,1
PI-NSGA-II,Lane-Emden,1,98643.2210329690,0.5138888889,1,1
