method,pde,dim,gen,mse_domain,mse_boundary,tree_size,rank
PISR-NSGA-II,Laplace,1,-1,8.4138373820,0.0000000000,9,6
PISR-NSGA-II,Laplace,1,-1,3.2493549397,0.0000000000,8,4
PISR-NSGA-II,Laplace,1,-1,31.3490917234,0.0000000000,4,7
PISR-NSGA-II,Laplace,1,-1,444.2654798762,0.0000000000,5,9
PISR-NSGA-II,Laplace,1,-1,8.4138373820,0.0000000000,9,6
PISR-NSGA-II,Laplace,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,15
PISR-NSGA-II,Laplace,1,-1,12.4118664449,0.0000000000,6,6
PISR-NSGA-II,Laplace,1,-1,1.2237009505,0.0000000000,7,1
PISR-NSGA-II,Laplace,1,-1,31.3490917234,0.0000000000,4,7
PISR-NSGA-II,Laplace,1,-1,444.2654798762,0.0000000000,5,9
PISR-NSGA-II,Laplace,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,15
PISR-NSGA-II,Laplace,1,-1,21.7925227876,0.0000000000,3,6
PISR-NSGA-II,Laplace,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,15
PISR-NSGA-II,Laplace,1,-1,8.4138373820,0.0000000000,9,6
PISR-NSGA-II,Laplace,1,-1,7.8372729308,0.0000000000,3,4
PISR-NSGA-II,Laplace,1,-1,3.7536882665,0.0000000000,7,4
PISR-NSGA-II,Laplace,1,-1,21.7925227876,0.0000000000,3,6
PISR-NSGA-II,Laplace,1,-1,444.2654798762,0.0000000000,5,9
PISR-NSGA-II,Laplace,1,-1,31.3490917234,0.0000000000,4,7
PISR-NSGA-II,Laplace,1,-1,21.7925227876,0.0000000000,3,6
PISR-NSGA-II,Laplace,1,-1,1.2237009505,0.0000000000,7,1
PISR-NSGA-II,Laplace,1,-1,444.2654798762,0.0000000000,5,9
PISR-NSGA-II,Laplace,1,-1,444.2654798762,0.0000000000,5,9
PISR-NSGA-II,Laplace,1,-1,3.2493549397,0.0000000000,8,4
PISR-NSGA-II,Laplace,1,-1,1.2237009505,0.0000000000,7,1
PISR-NSGA-II,Laplace,1,-1,21.7925227876,0.0000000000,3,6
PISR-NSGA-II,Laplace,1,-1,444.2654798762,0.0000000000,5,9
PISR-NSGA-II,Laplace,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,15
PISR-NSGA-II,Laplace,1,-1,31.3490917234,0.0000000000,4,7
PISR-NSGA-II,Laplace,1,-1,3.2493549397,0.0000000000,8,4
PISR-NSGA-II,Laplace,1,-1,444.2654798762,0.0000000000,5,9
PISR-NSGA-II,Laplace,1,-1,3.2493549397,0.0000000000,8,4
PISR-NSGA-II,Laplace,1,-1,31.3490917234,0.0000000000,4,7
PISR-NSGA-II,Laplace,1,-1,1.2237009505,0.0000000000,7,1
PISR-NSGA-II,Laplace,1,-1,21.7925227876,0.0000000000,3,6
PISR-NSGA-II,Laplace,1,-1,8.4138373820,0.0000000000,9,6
PISR-NSGA-II,Laplace,1,-1,3.7536882665,0.0000000000,7,4
PISR-NSGA-II,Laplace,1,-1,444.2654798762,0.0000000000,5,9
PISR-NSGA-II,Laplace,1,-1,444.2654798762,0.0000000000,5,9
PISR-NSGA-II,Laplace,1,-1,444.2654798762,0.0000000000,5,9
PISR-NSGA-II,Laplace,1,-1,12.4118664449,0.0000000000,6,6
PISR-NSGA-II,Laplace,1,-1,444.2654798762,0.0000000000,5,9
PISR-NSGA-II,Laplace,1,-1,1.8667554156,0.0000000000,4,1
PISR-NSGA-II,Laplace,1,-1,444.2654798762,0.0000000000,5,9
PISR-NSGA-II,Laplace,1,-1,444.2654798762,0.0000000000,5,9
PISR-NSGA-II,Laplace,1,-1,7.8372729308,0.0000000000,3,4
PISR-NSGA-II,Laplace,1,-1,3.2493549397,0.0000000000,8,4
PISR-NSGA-II,Laplace,1,-1,31.3490917234,0.0000000000,4,7
PISR-NSGA-II,Laplace,1,-1,1.2237009505,0.0000000000,7,1
PISR-NSGA-II,Laplace,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,15
PISR-NSGA-II,Laplace,1,-1,1.2237009505,0.0000000000,7,1
PISR-NSGA-II,Laplace,1,-1,31.3490917234,0.0000000000,4,7
PISR-NSGA-II,Laplace,1,-1,21.7925227876,0.0000000000,3,6
PISR-NSGA-II,Laplace,1,-1,3.2493549397,0.0000000000,8,4
PISR-NSGA-II,Laplace,1,-1,444.2654798762,0.0000000000,5,9
PISR-NSGA-II,Laplace,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,15
PISR-NSGA-II,Laplace,1,-1,21.7925227876,0.0000000000,3,6
PISR-NSGA-II,Laplace,1,-1,444.2654798762,0.0000000000,5,9
PISR-NSGA-II,Laplace,1,-1,31.3490917234,0.0000000000,4,7
PISR-NSGA-II,Laplace,1,-1,444.2654798762,0.0000000000,5,9
PISR-NSGA-II,Laplace,1,-1,444.2654798762,0.0000000000,5,9
PISR-NSGA-II,Laplace,1,-1,21.7925227876,0.0000000000,3,6
PISR-NSGA-II,Laplace,1,-1,7.8372729308,0.0000000000,3,4
PISR-NSGA-II,Laplace,1,-1,12.4118664449,0.0000000000,6,6
PISR-NSGA-II,Laplace,1,-1,444.2654798762,0.0000000000,5,9
PISR-NSGA-II,Laplace,1,-1,444.2654798762,0.0000000000,5,9
PISR-NSGA-II,Laplace,1,-1,444.2654798762,0.0000000000,5,9
PISR-NSGA-II,Laplace,1,-1,444.2654798762,0.0000000000,5,9
PISR-NSGA-II,Laplace,1,-1,3.2493549397,0.0000000000,8,4
PISR-NSGA-II,Laplace,1,-1,3.2493549397,0.0000000000,8,4
PISR-NSGA-II,Laplace,1,-1,1.8667554156,0.0000000000,4,1
PISR-NSGA-II,Laplace,1,-1,31.3490917234,0.0000000000,4,7
PISR-NSGA-II,Laplace,1,-1,12.4118664449,0.0000000000,6,6
PISR-NSGA-II,Laplace,1,-1,1.2237009505,0.0000000000,7,1
PISR-NSGA-II,Laplace,1,-1,1.2237009505,0.0000000000,7,1
PISR-NSGA-II,Laplace,1,-1,5.4481306969,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,16
PISR-NSGA-II,Laplace,1,-1,2.8847144374,0.0000000000,2,1
PISR-NSGA-II,Laplace,1,-1,71.1046517626,0.0000000000,3,7
PISR-NSGA-II,Laplace,1,-1,231.6560185044,0.0000000000,1,15
PISR-NSGA-II,Laplace,1,-1,2246.5418598783,0.0000000000,9,12
PISR-NSGA-II,Laplace,1,-1,5.4481306969,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,-1,2547.5855391161,0.0000000000,6,12
PISR-NSGA-II,Laplace,1,-1,0.0000000000,0.0000000000,1,16
PISR-NSGA-II,Laplace,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,17
PISR-NSGA-II,Laplace,1,-1,7.5671909917,0.0000000000,1,15
PISR-NSGA-II,Laplace,1,-1,6087.7587083777,0.0000000000,8,12
PISR-NSGA-II,Laplace,1,-1,5.4481306969,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,-1,4.0000000000,0.0000000000,1,15
PISR-NSGA-II,Laplace,1,-1,5.4481306969,0.0000000000,1,1
