method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PI-NSGA-II,Navier-Stokes,2,0.0000000268,0.0000000135,13,2
PI-NSGA-II,Navier-Stokes,2,0.0000003884,0.0000000862,13,3
PI-NSGA-II,Navier-Stokes,2,0.0000000018,0.0000435608,10,2
PI-NSGA-II,Navier-Stokes,2,0.0000000003,1.3651568271,8,2
PI-NSGA-II,Navier-Stokes,2,0.0002664894,0.6975440750,8,2
PI-NSGA-II,Navier-Stokes,2,0.0000000000,2.6191618903,6,2
PI-NSGA-II,Navier-Stokes,2,0.0000000000,3.0096603100,6,3
PI-NSGA-II,Navier-Stokes,2,0.0021418894,0.7130738528,8,3
PI-NSGA-II,Navier-Stokes,2,0.0000000000,3.0096603100,6,3
PI-NSGA-II,Navier-Stokes,2,0.0000019381,0.0000006618,13,4
PI-NSGA-II,Navier-Stokes,2,0.0000000607,0.0000737986,10,3
PI-NSGA-II,Navier-Stokes,2,0.0000000000,2.0192099717,4,1
PI-NSGA-II,Navier-Stokes,2,0.0025567371,1.1779014957,7,2
PI-NSGA-II,Navier-Stokes,2,0.0000066812,0.7459676930,8,2
PI-NSGA-II,Navier-Stokes,2,0.0003256168,15.4232043002,5,5
PI-NSGA-II,Navier-Stokes,2,0.0000000000,1.3695710864,8,1
PI-NSGA-II,Navier-Stokes,2,0.0000000000,5.6687133170,5,2
PI-NSGA-II,Navier-Stokes,2,0.0002387737,0.8903304299,11,4
PI-NSGA-II,Navier-Stokes,2,0.0000172072,0.0000003028,13,4
PI-NSGA-II,Navier-Stokes,2,0.0002367707,1.3989458063,11,4
PI-NSGA-II,Navier-Stokes,2,0.0000000000,0.0000000000,13,1
