method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PISR-NSGA-II,Navier-Stokes,2,2.5186902577,0.2466414889,5,1
PISR-NSGA-II,Navier-Stokes,2,0.0000000000,0.2366505151,11,1
PISR-NSGA-II,Navier-Stokes,2,0.9993713202,0.0000004022,16,1
PISR-NSGA-II,Navier-Stokes,2,0.0004669460,0.4169939067,5,1
PISR-NSGA-II,Navier-Stokes,2,1.7906418182,0.3317249141,5,1
PISR-NSGA-II,Navier-Stokes,2,0.9992334044,0.0000004137,16,1
PISR-NSGA-II,Navier-Stokes,2,1.7927944577,0.3303631456,5,1
PISR-NSGA-II,Navier-Stokes,2,1.7903223411,0.3320246683,5,1
PISR-NSGA-II,Navier-Stokes,2,0.9999791596,0.0000004242,8,1
PISR-NSGA-II,Navier-Stokes,2,2.5186902577,0.2466414889,5,1
PISR-NSGA-II,Navier-Stokes,2,0.6534717458,0.0045545893,15,1
PISR-NSGA-II,Navier-Stokes,2,0.0224763272,0.4118730756,5,1
PISR-NSGA-II,Navier-Stokes,2,0.0000268835,0.3328017627,6,1
PISR-NSGA-II,Navier-Stokes,2,0.0000000000,0.4131436827,9,1
PISR-NSGA-II,Navier-Stokes,2,0.9966589263,0.0000008283,13,1
PISR-NSGA-II,Navier-Stokes,2,0.5432806534,0.0259700154,6,1
PISR-NSGA-II,Navier-Stokes,2,0.1655078073,0.0543605986,7,1
PISR-NSGA-II,Navier-Stokes,2,0.0000000000,0.1685248075,11,1
PISR-NSGA-II,Navier-Stokes,2,0.9013989075,0.0000401975,15,1
PISR-NSGA-II,Navier-Stokes,2,0.0000010697,0.1666834493,8,1
PISR-NSGA-II,Navier-Stokes,2,0.0001412080,0.1243648350,6,1
PISR-NSGA-II,Navier-Stokes,2,0.0000165004,0.1041347567,8,1
PISR-NSGA-II,Navier-Stokes,2,0.0172265635,0.0451806860,12,1
PISR-NSGA-II,Navier-Stokes,2,0.0172897173,0.0451179437,12,1
PISR-NSGA-II,Navier-Stokes,2,0.0146914876,0.0488892407,13,1
PISR-NSGA-II,Navier-Stokes,2,0.3330626853,0.0102349329,7,1
PISR-NSGA-II,Navier-Stokes,2,0.2236190432,0.0434496448,6,1
PISR-NSGA-II,Navier-Stokes,2,0.9977404531,0.0000006477,6,1
PISR-NSGA-II,Navier-Stokes,2,1.7904833896,0.3318672298,5,1
PISR-NSGA-II,Navier-Stokes,2,0.0000000000,0.1668798721,11,1
PISR-NSGA-II,Navier-Stokes,2,0.0000000144,0.1668939942,10,1
PISR-NSGA-II,Navier-Stokes,2,0.1856469530,0.0157415755,7,1
PISR-NSGA-II,Navier-Stokes,2,0.1404454998,0.0226389104,8,1
PISR-NSGA-II,Navier-Stokes,2,0.9999558138,0.0000004280,8,1
PISR-NSGA-II,Navier-Stokes,2,0.9998092737,0.0000004711,10,1
PISR-NSGA-II,Navier-Stokes,2,0.0319645697,0.0423029367,8,1
PISR-NSGA-II,Navier-Stokes,2,0.0000276556,0.0842389766,8,1
PISR-NSGA-II,Navier-Stokes,2,0.7107843769,0.0077756574,6,1
PISR-NSGA-II,Navier-Stokes,2,0.0001412080,0.1243648350,6,1
PISR-NSGA-II,Navier-Stokes,2,0.8057455130,0.0026454047,6,1
PISR-NSGA-II,Navier-Stokes,2,0.0000253429,0.0843921912,8,1
PISR-NSGA-II,Navier-Stokes,2,0.1287994201,0.0172313717,12,1
PISR-NSGA-II,Navier-Stokes,2,0.6488690422,0.0049970544,15,1
PISR-NSGA-II,Navier-Stokes,2,0.8185717010,0.0022410649,6,1
PISR-NSGA-II,Navier-Stokes,2,0.2801979703,0.0050918437,12,1
PISR-NSGA-II,Navier-Stokes,2,0.1858843646,0.0155151892,7,1
PISR-NSGA-II,Navier-Stokes,2,0.9215720351,0.0016398787,6,1
PISR-NSGA-II,Navier-Stokes,2,0.3287816068,0.0083927343,8,1
PISR-NSGA-II,Navier-Stokes,2,0.9592622651,0.0000754801,6,1
PISR-NSGA-II,Navier-Stokes,2,0.1655078116,0.0543605943,7,1
PISR-NSGA-II,Navier-Stokes,2,0.2616778445,0.0110991078,7,1
PISR-NSGA-II,Navier-Stokes,2,0.2391886175,0.0084685342,8,1
PISR-NSGA-II,Navier-Stokes,2,0.2259588654,0.0116270718,7,1
PISR-NSGA-II,Navier-Stokes,2,0.2235229525,0.0435454840,6,1
PISR-NSGA-II,Navier-Stokes,2,0.0102825498,0.4140488819,5,1
PISR-NSGA-II,Navier-Stokes,2,0.0146763717,0.0489097039,13,1
PISR-NSGA-II,Navier-Stokes,2,0.1404173693,0.0226670110,8,1
PISR-NSGA-II,Navier-Stokes,2,0.0004669465,0.4169939062,5,1
PISR-NSGA-II,Navier-Stokes,2,0.1856326317,0.0157558618,7,1
PISR-NSGA-II,Navier-Stokes,2,0.1435532643,0.0198780452,8,1
PISR-NSGA-II,Navier-Stokes,2,0.1498637401,0.0157012675,8,1
PISR-NSGA-II,Navier-Stokes,2,0.1288680222,0.0168600920,12,1
PISR-NSGA-II,Navier-Stokes,2,0.9680762285,0.0000458736,13,1
PISR-NSGA-II,Navier-Stokes,2,0.9821433643,0.0000147672,6,1
PISR-NSGA-II,Navier-Stokes,2,0.0186188304,0.0439316059,10,1
PISR-NSGA-II,Navier-Stokes,2,0.9087369455,0.0022371381,6,1
PISR-NSGA-II,Navier-Stokes,2,0.9113497152,0.0000284069,15,1
PISR-NSGA-II,Navier-Stokes,2,0.1430828116,0.0202566794,8,1
PISR-NSGA-II,Navier-Stokes,2,0.1414504857,0.0216727221,8,1
PISR-NSGA-II,Navier-Stokes,2,0.0000000078,0.1668987838,8,1
PISR-NSGA-II,Navier-Stokes,2,0.9838867462,0.0000098866,13,1
PISR-NSGA-II,Navier-Stokes,2,0.9918310860,0.0000032008,6,1
PISR-NSGA-II,Navier-Stokes,2,0.2236520310,0.0434168586,6,1
PISR-NSGA-II,Navier-Stokes,2,0.0163427003,0.0474596727,13,1
PISR-NSGA-II,Navier-Stokes,2,0.9661626786,0.0000566793,6,1
PISR-NSGA-II,Navier-Stokes,2,0.0221563254,0.0465852458,8,1
PISR-NSGA-II,Navier-Stokes,2,1.7915884102,0.3310334421,5,1
PISR-NSGA-II,Navier-Stokes,2,0.6517413083,0.0048342813,15,1
PISR-NSGA-II,Navier-Stokes,2,0.0221355794,0.0466068918,8,1
PISR-NSGA-II,Navier-Stokes,2,0.0000268853,0.3328017607,6,1
PISR-NSGA-II,Navier-Stokes,2,0.0150927830,0.0484095346,13,1
PISR-NSGA-II,Navier-Stokes,2,0.9935804532,0.0000021129,6,1
PISR-NSGA-II,Navier-Stokes,2,0.1411361017,0.0219674149,8,1
PISR-NSGA-II,Navier-Stokes,2,0.0219451794,0.0479370332,8,1
PISR-NSGA-II,Navier-Stokes,2,0.0156995100,0.0478694592,13,1
PISR-NSGA-II,Navier-Stokes,2,0.1408300726,0.0222604952,8,1
PISR-NSGA-II,Navier-Stokes,2,0.1404568223,0.0226276169,8,1
PISR-NSGA-II,Navier-Stokes,2,0.9957034314,0.0000010803,6,1
PISR-NSGA-II,Navier-Stokes,2,0.1288482764,0.0170996242,12,1
PISR-NSGA-II,Navier-Stokes,2,1.7911774802,0.3313077121,5,1
PISR-NSGA-II,Navier-Stokes,2,0.1408936472,0.0221991891,8,1
PISR-NSGA-II,Navier-Stokes,2,0.0152576580,0.0482459628,13,1
PISR-NSGA-II,Navier-Stokes,2,1.7911738273,0.3313102995,5,1
PISR-NSGA-II,Navier-Stokes,2,1.7908098819,0.3315847411,5,1
PISR-NSGA-II,Navier-Stokes,2,0.1858790381,0.0155200645,7,1
PISR-NSGA-II,Navier-Stokes,2,0.0153945353,0.0481181634,13,1
PISR-NSGA-II,Navier-Stokes,2,0.9959559983,0.0000009489,13,1
PISR-NSGA-II,Navier-Stokes,2,0.9987387021,0.0000005159,16,1
PISR-NSGA-II,Navier-Stokes,2,1.7904356089,0.3319124502,5,1
PISR-NSGA-II,Navier-Stokes,2,0.0000005655,0.1667426954,8,1
PISR-NSGA-II,Navier-Stokes,2,0.9980942311,0.0000005704,13,1
PISR-NSGA-II,Navier-Stokes,2,0.0155186499,0.0480119760,13,1
PISR-NSGA-II,Navier-Stokes,2,0.0154032022,0.0481105103,13,1
PISR-NSGA-II,Navier-Stokes,2,1.7906991698,0.3316759455,5,1
PISR-NSGA-II,Navier-Stokes,2,0.0000258193,0.0843351328,8,1
PISR-NSGA-II,Navier-Stokes,2,0.2235244334,0.0435440031,6,1
PISR-NSGA-II,Navier-Stokes,2,0.0000003098,0.1668186032,16,1
PISR-NSGA-II,Navier-Stokes,2,1.7908098819,0.3315847411,5,1
PISR-NSGA-II,Navier-Stokes,2,0.0156419724,0.0479129640,13,1
PISR-NSGA-II,Navier-Stokes,2,0.9990223984,0.0000004439,16,1
PISR-NSGA-II,Navier-Stokes,2,0.1856484187,0.0157401176,7,1
PISR-NSGA-II,Navier-Stokes,2,0.0000264952,0.0842773302,8,1
PISR-NSGA-II,Navier-Stokes,2,1.7907599892,0.3316253261,5,1
PISR-NSGA-II,Navier-Stokes,2,0.9967757477,0.0000007885,13,1
PISR-NSGA-II,Navier-Stokes,2,0.9974768828,0.0000006708,13,1
PISR-NSGA-II,Navier-Stokes,2,0.9972272974,0.0000007083,6,1
