gen,best_mse_domain,best_mse_boundary,best_total_mse,best_val_mse
0,0.201513,0,0.201513,0.0036209
1,0.119597,0,0.119597,0.0036209
2,0.119597,0,0.119597,0.0036209
3,0.119597,0,0.119597,0.0036209
4,0.119597,0,0.119597,0.0036209
5,0.119597,0,0.119597,0.0036209
6,0.119597,0,0.119597,0.0036209
7,0.119597,0,0.119597,0.0036209
8,0.119597,0,0.119597,0.0036209
9,0.119597,0,0.119597,0.0036209
10,0.119597,0,0.119597,0.0036209
11,0.119597,0,0.119597,0.0036209
12,0.119597,0,0.119597,0.0036209
13,0.119597,0,0.119597,0.0036209
14,0.119597,0,0.119597,0.0036209
15,0.119597,0,0.119597,0.0036209
16,0.119597,0,0.119597,0.0036209
17,0.119597,0,0.119597,0.0036209
18,0.119597,0,0.119597,0.0036209
19,0.119597,0,0.119597,0.0036209
20,0.119597,0,0.119597,0.0036209
21,0.119597,0,0.119597,0.0036209
22,0.119597,0,0.119597,0.0036209
23,0.119597,0,0.119597,0.0036209
24,0.119597,0,0.119597,0.0036209
25,0.239578,0,0.239578,0.0036209
26,0.239578,0,0.239578,0.0034854
27,0.239578,0,0.239578,0.0034854
28,0.239578,0,0.239578,0.0034854
29,0.239578,0,0.239578,0.0034854
30,0.239578,0,0.239578,0.0034854
31,0.239578,0,0.239578,0.0034854
32,0.239578,0,0.239578,0.0034854
33,0.239578,0,0.239578,0.0034854
34,0.239578,0,0.239578,0.0034854
35,0.239578,0,0.239578,0.0034854
36,0.239578,0,0.239578,0.0034854
37,0.239578,0,0.239578,0.0034854
38,0.239578,0,0.239578,0.0034854
39,0.239578,0,0.239578,0.0034854
40,0.239578,0,0.239578,0.0034854
41,0.239578,0,0.239578,0.0034854
42,0.239578,0,0.239578,0.0034854
43,0.239578,0,0.239578,0.0034854
44,0.239578,0,0.239578,0.0034854
45,0.239578,0,0.239578,0.0034854
46,0.239578,0,0.239578,0.0034854
47,0.239578,0,0.239578,0.0034854
48,0.239578,0,0.239578,0.0034854
49,0.239578,0,0.239578,0.0034854
50,0.200101,0,0.200101,0.0034854
51,0.200101,0,0.200101,0.00297476
52,0.200101,0,0.200101,0.00297476
53,0.200101,0,0.200101,0.00297476
54,0.200101,0,0.200101,0.00297476
55,0.200101,0,0.200101,0.00297476
56,0.200101,0,0.200101,0.00297476
57,0.200101,0,0.200101,0.00297476
58,0.200101,0,0.200101,0.00297476
59,0.200101,0,0.200101,0.00297476
60,0.200101,0,0.200101,0.00297476
61,0.200101,0,0.200101,0.00297476
62,0.200101,0,0.200101,0.00297476
63,0.200101,0,0.200101,0.00297476
64,0.200101,0,0.200101,0.00297476
65,0.200101,0,0.200101,0.00297476
66,0.200101,0,0.200101,0.00297476
67,0.200101,0,0.200101,0.00297476
68,0.200101,0,0.200101,0.00297476
69,0.200101,0,0.200101,0.00297476
70,0.200101,0,0.200101,0.00297476
71,0.200101,0,0.200101,0.00297476
72,0.200101,0,0.200101,0.00297476
73,0.200101,0,0.200101,0.00297476
74,0.200101,0,0.200101,0.00297476
75,0.163021,0,0.163021,0.00297476
76,0.163021,0,0.163021,0.00273566
77,0.163021,0,0.163021,0.00273566
78,0.163021,0,0.163021,0.00273566
79,0.163021,0,0.163021,0.00273566
80,0.163021,0,0.163021,0.00273566
81,0.163021,0,0.163021,0.00273566
82,0.163021,0,0.163021,0.00273566
83,0.163021,0,0.163021,0.00273566
84,0.163021,0,0.163021,0.00273566
85,0.163021,0,0.163021,0.00273566
86,0.163021,0,0.163021,0.00273566
87,0.163021,0,0.163021,0.00273566
88,0.163021,0,0.163021,0.00273566
89,0.163021,0,0.163021,0.00273566
90,0.163021,0,0.163021,0.00273566
91,0.163021,0,0.163021,0.00273566
92,0.163021,0,0.163021,0.00273566
93,0.163021,0,0.163021,0.00273566
94,0.163021,0,0.163021,0.00273566
95,0.163021,0,0.163021,0.00273566
96,0.163021,0,0.163021,0.00273566
97,0.163021,0,0.163021,0.00273566
98,0.163021,0,0.163021,0.00273566
