method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,0.0828793814,0.0000000000,5,1
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,0.7907661419,0.0000000000,2,2
PISR-NSGA-II,Painleve-I,1,0.0828793814,0.0000000000,5,1
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,0.7907661419,0.0000000000,2,2
PISR-NSGA-II,Painleve-I,1,0.7907661419,0.0000000000,2,2
PISR-NSGA-II,Painleve-I,1,0.2069092009,0.0000000000,3,1
PISR-NSGA-II,Painleve-I,1,0.2069092009,0.0000000000,3,1
PISR-NSGA-II,Painleve-I,1,0.1052873840,0.0000000000,4,1
PISR-NSGA-II,Painleve-I,1,0.1052873840,0.0000000000,4,1
PISR-NSGA-II,Painleve-I,1,0.7907661419,0.0000000000,2,2
PISR-NSGA-II,Painleve-I,1,0.2069092009,0.0000000000,3,1
PISR-NSGA-II,Painleve-I,1,0.2069092009,0.0000000000,3,1
PISR-NSGA-II,Painleve-I,1,0.1052873840,0.0000000000,4,1
PISR-NSGA-II,Painleve-I,1,0.1052873840,0.0000000000,4,1
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
PISR-NSGA-II,Painleve-I,1,5.1170744537,0.0000000000,1,2
