gen,best_mse_domain,best_mse_boundary,best_total_mse,best_val_mse
0,38.4915,0,38.4915,0.920539
1,0.387413,0,0.387413,0.0197512
2,0.156449,0,0.156449,0.00443477
3,0.121302,0,0.121302,0.000672097
4,0.113444,0,0.113444,0.000160333
5,0.111907,0,0.111907,3.78124e-05
6,0.111562,0,0.111562,1.75374e-05
7,0.111495,0,0.111495,1.36081e-05
8,0.11148,0,0.11148,1.32444e-05
9,0.111477,0,0.111477,1.32444e-05
10,0.111476,0,0.111476,1.32444e-05
11,0.111476,0,0.111476,1.32444e-05
12,0.111476,0,0.111476,1.32444e-05
13,0.111476,0,0.111476,1.32444e-05
14,0.111476,0,0.111476,1.32444e-05
15,0.111476,0,0.111476,1.32444e-05
16,0.111476,0,0.111476,1.32444e-05
17,0.111476,0,0.111476,1.32444e-05
18,0.111476,0,0.111476,1.32444e-05
19,0.111476,0,0.111476,1.32444e-05
20,0.111476,0,0.111476,1.32444e-05
21,0.111476,0,0.111476,1.32444e-05
22,0.111476,0,0.111476,1.32444e-05
23,0.111476,0,0.111476,1.32444e-05
24,0.111476,0,0.111476,1.32444e-05
25,0.103678,0,0.103678,1.32444e-05
26,0.098037,0,0.098037,1.32444e-05
27,0.0975572,0,0.0975572,1.32444e-05
28,0.0974094,0,0.0974094,1.32444e-05
29,0.0973923,0,0.0973923,1.32444e-05
30,0.0973863,0,0.0973863,1.32444e-05
31,0.0973863,0,0.0973863,1.32444e-05
32,0.0973863,0,0.0973863,1.32444e-05
33,0.0973863,0,0.0973863,1.32444e-05
34,0.0973863,0,0.0973863,1.32444e-05
35,0.0973863,0,0.0973863,1.32444e-05
36,0.0973863,0,0.0973863,1.32444e-05
37,0.0973863,0,0.0973863,1.32444e-05
38,0.0973863,0,0.0973863,1.32444e-05
39,0.0973863,0,0.0973863,1.32444e-05
40,0.0973863,0,0.0973863,1.32444e-05
41,0.0973863,0,0.0973863,1.32444e-05
42,0.0973863,0,0.0973863,1.32444e-05
43,0.0973863,0,0.0973863,1.32444e-05
44,0.0973863,0,0.0973863,1.32444e-05
45,0.0973863,0,0.0973863,1.32444e-05
46,0.0973863,0,0.0973863,1.32444e-05
47,0.0973863,0,0.0973863,1.32444e-05
48,0.0973863,0,0.0973863,1.32444e-05
49,0.0973863,0,0.0973863,1.32444e-05
50,0.0737092,0,0.0737092,1.32444e-05
51,0.0736896,0,0.0736896,1.32444e-05
52,0.0736808,0,0.0736808,1.32444e-05
53,0.0736791,0,0.0736791,1.32444e-05
54,0.0736787,0,0.0736787,1.32444e-05
55,0.0736787,0,0.0736787,1.32444e-05
56,0.0736786,0,0.0736786,1.32444e-05
57,0.0736786,0,0.0736786,1.32444e-05
58,0.0736786,0,0.0736786,1.32444e-05
59,0.0736786,0,0.0736786,1.32444e-05
60,0.0736786,0,0.0736786,1.32444e-05
