gen,best_mse_domain,best_mse_boundary,best_total_mse,best_val_mse
0,229.678,0,229.678,0.231477
1,229.678,0,229.678,0.231477
2,229.678,0,229.678,0.231477
3,229.678,0,229.678,0.231477
4,229.678,0,229.678,0.231477
5,4.42182,0,4.42182,0.231477
6,4.42182,0,4.42182,0.231477
7,4.42182,0,4.42182,0.231477
8,4.42182,0,4.42182,0.231477
9,4.42182,0,4.42182,0.231477
10,4.42182,0,4.42182,0.231477
11,4.42182,0,4.42182,0.231477
12,4.42182,0,4.42182,0.231477
13,4.42182,0,4.42182,0.231477
14,4.42182,0,4.42182,0.231477
15,0.413092,0,0.413092,0.231477
16,0.0383885,0,0.0383885,0.231477
17,0.0356196,0,0.0356196,0.231477
18,0.0355932,0,0.0355932,0.231477
19,0.035593,0,0.035593,0.231477
20,0.0356772,0,0.0356772,0.231477
21,0.0356347,0,0.0356347,0.231477
22,0.0356266,0,0.0356266,0.231477
23,0.0356266,0,0.0356266,0.231477
24,0.0356266,0,0.0356266,0.231477
25,0.0339472,0,0.0339472,0.231477
26,0.0339136,0,0.0339136,0.231477
27,0.0339078,0,0.0339078,0.231477
28,0.0339078,0,0.0339078,0.231477
29,0.0339078,0,0.0339078,0.231477
30,0.0339078,0,0.0339078,0.231477
31,0.0339078,0,0.0339078,0.231477
32,0.0339078,0,0.0339078,0.231477
33,0.0339078,0,0.0339078,0.231477
34,0.0339078,0,0.0339078,0.231477
35,0.0339078,0,0.0339078,0.231477
36,0.0339078,0,0.0339078,0.231477
37,0.0339078,0,0.0339078,0.231477
38,0.0339078,0,0.0339078,0.231477
39,0.0339078,0,0.0339078,0.231477
40,0.0339078,0,0.0339078,0.231477
41,0.0339078,0,0.0339078,0.231477
42,0.0339078,0,0.0339078,0.231477
43,0.0339078,0,0.0339078,0.231477
44,0.0339078,0,0.0339078,0.231477
45,0.0339078,0,0.0339078,0.231477
46,0.0339078,0,0.0339078,0.231477
47,0.0339078,0,0.0339078,0.231477
48,0.0339078,0,0.0339078,0.231477
49,0.0339078,0,0.0339078,0.231477
50,0.0249018,0,0.0249018,0.231477
51,0.0249018,0,0.0249018,0.231477
52,0.0249018,0,0.0249018,0.231477
53,0.0249018,0,0.0249018,0.231477
54,0.0249018,0,0.0249018,0.231477
55,0.0249018,0,0.0249018,0.231477
56,0.0249018,0,0.0249018,0.231477
57,0.0249018,0,0.0249018,0.231477
58,0.0249018,0,0.0249018,0.231477
59,0.0249018,0,0.0249018,0.231477
60,0.0249018,0,0.0249018,0.231477
61,0.0249018,0,0.0249018,0.231477
62,0.0249018,0,0.0249018,0.231477
63,0.0249018,0,0.0249018,0.231477
64,0.0249018,0,0.0249018,0.231477
65,0.0249018,0,0.0249018,0.231477
66,0.0249018,0,0.0249018,0.231477
67,0.0249018,0,0.0249018,0.231477
68,0.0249018,0,0.0249018,0.231477
69,0.0249018,0,0.0249018,0.231477
70,0.0249018,0,0.0249018,0.231477
71,0.0249018,0,0.0249018,0.231477
72,0.0249018,0,0.0249018,0.231477
73,0.0249018,0,0.0249018,0.231477
