method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PI-NSGA-II,Thomas-Fermi,1,3967.8116698794,0.0000000000,1,2
PI-NSGA-II,Thomas-Fermi,1,3967.8116698794,0.0000000000,1,2
PI-NSGA-II,Thomas-Fermi,1,3967.8116698794,0.0000000000,1,2
PI-NSGA-II,Thomas-Fermi,1,3967.8116698794,0.0000000000,1,2
PI-NSGA-II,Thomas-Fermi,1,3967.8116698794,0.0000000000,1,2
PI-NSGA-II,Thomas-Fermi,1,3967.8116698794,0.0000000000,1,2
PI-NSGA-II,Thomas-Fermi,1,3967.8116698794,0.0000000000,1,2
PI-NSGA-II,Thomas-Fermi,1,3967.8116698794,0.0000000000,1,2
PI-NSGA-II,Thomas-Fermi,1,3967.8116698794,0.0000000000,1,2
PI-NSGA-II,Thomas-Fermi,1,3967.8116698794,0.0000000000,1,2
PI-NSGA-II,Thomas-Fermi,1,3967.8116698794,0.0000000000,1,2
PI-NSGA-II,Thomas-Fermi,1,3967.8116698794,0.0000000000,1,2
PI-NSGA-II,Thomas-Fermi,1,3967.8116698794,0.0000000000,1,2
PI-NSGA-II,Thomas-Fermi,1,3967.8116698794,0.0000000000,1,2
PI-NSGA-II,Thomas-Fermi,1,3967.8116698794,0.0000000000,1,2
PI-NSGA-II,Thomas-Fermi,1,3967.8116698794,0.0000000000,1,2
PI-NSGA-II,Thomas-Fermi,1,3967.8116698794,0.0000000000,1,2
PI-NSGA-II,Thomas-Fermi,1,3967.8116698794,0.0000000000,1,2
PI-NSGA-II,Thomas-Fermi,1,3967.8116698794,0.0000000000,1,2
PI-NSGA-II,Thomas-Fermi,1,3967.8116698794,0.0000000000,1,2
PI-NSGA-II,Thomas-Fermi,1,3967.8116698794,0.0000000000,1,2
PI-NSGA-II,Thomas-Fermi,1,3604.6919582437,0.0000000000,2,2
PI-NSGA-II,Thomas-Fermi,1,3967.8116698794,0.0000000000,1,2
PI-NSGA-II,Thomas-Fermi,1,3967.8116698794,0.0000000000,1,2
PI-NSGA-II,Thomas-Fermi,1,3967.8116698794,0.0000000000,1,2
PI-NSGA-II,Thomas-Fermi,1,3604.6919582437,0.0000000000,2,2
PI-NSGA-II,Thomas-Fermi,1,3967.8116698794,0.0000000000,1,2
PI-NSGA-II,Thomas-Fermi,1,3967.8116698794,0.0000000000,1,2
PI-NSGA-II,Thomas-Fermi,1,3604.6919582437,0.0000000000,2,2
PI-NSGA-II,Thomas-Fermi,1,3604.6919582437,0.0000000000,2,2
PI-NSGA-II,Thomas-Fermi,1,3967.8116698794,0.0000000000,1,2
PI-NSGA-II,Thomas-Fermi,1,3604.6919582437,0.0000000000,2,2
PI-NSGA-II,Thomas-Fermi,1,3967.8116698794,0.0000000000,1,2
PI-NSGA-II,Thomas-Fermi,1,3604.6919582437,0.0000000000,2,2
PI-NSGA-II,Thomas-Fermi,1,3604.6919582437,0.0000000000,2,2
PI-NSGA-II,Thomas-Fermi,1,3604.6919582437,0.0000000000,2,2
PI-NSGA-II,Thomas-Fermi,1,3604.6919582437,0.0000000000,2,2
PI-NSGA-II,Thomas-Fermi,1,3967.8116698794,0.0000000000,1,2
PI-NSGA-II,Thomas-Fermi,1,3604.6919582437,0.0000000000,2,2
PI-NSGA-II,Thomas-Fermi,1,3604.6919582437,0.0000000000,2,2
PI-NSGA-II,Thomas-Fermi,1,3604.6919582437,0.0000000000,2,2
PI-NSGA-II,Thomas-Fermi,1,3967.8116698794,0.0000000000,1,2
PI-NSGA-II,Thomas-Fermi,1,3604.6919582437,0.0000000000,2,2
PI-NSGA-II,Thomas-Fermi,1,2240.9192632983,0.0000000000,3,2
PI-NSGA-II,Thomas-Fermi,1,3967.8116698794,0.0000000000,1,2
PI-NSGA-II,Thomas-Fermi,1,2240.9192632983,0.0000000000,3,2
PI-NSGA-II,Thomas-Fermi,1,2240.9192632983,0.0000000000,3,2
PI-NSGA-II,Thomas-Fermi,1,2240.9192632983,0.0000000000,3,2
PI-NSGA-II,Thomas-Fermi,1,2240.9192632983,0.0000000000,3,2
PI-NSGA-II,Thomas-Fermi,1,3604.6919582437,0.0000000000,2,2
PI-NSGA-II,Thomas-Fermi,1,2240.9192632983,0.0000000000,3,2
PI-NSGA-II,Thomas-Fermi,1,2240.9192632983,0.0000000000,3,2
PI-NSGA-II,Thomas-Fermi,1,2240.9192632983,0.0000000000,3,2
PI-NSGA-II,Thomas-Fermi,1,3604.6919582437,0.0000000000,2,2
PI-NSGA-II,Thomas-Fermi,1,2240.9192632983,0.0000000000,3,2
PI-NSGA-II,Thomas-Fermi,1,2240.9192632983,0.0000000000,3,2
PI-NSGA-II,Thomas-Fermi,1,2240.9192632983,0.0000000000,3,2
PI-NSGA-II,Thomas-Fermi,1,2240.9192632983,0.0000000000,3,2
PI-NSGA-II,Thomas-Fermi,1,2240.9192632983,0.0000000000,3,2
PI-NSGA-II,Thomas-Fermi,1,2240.9192632983,0.0000000000,3,2
PI-NSGA-II,Thomas-Fermi,1,2240.9192632983,0.0000000000,3,2
PI-NSGA-II,Thomas-Fermi,1,2240.9192632983,0.0000000000,3,2
PI-NSGA-II,Thomas-Fermi,1,2240.9192632983,0.0000000000,3,2
PI-NSGA-II,Thomas-Fermi,1,2240.9192632983,0.0000000000,3,2
PI-NSGA-II,Thomas-Fermi,1,2240.9192632983,0.0000000000,3,2
PI-NSGA-II,Thomas-Fermi,1,2240.9192632983,0.0000000000,3,2
PI-NSGA-II,Thomas-Fermi,1,2240.9192632983,0.0000000000,3,2
PI-NSGA-II,Thomas-Fermi,1,2240.9192632983,0.0000000000,3,2
PI-NSGA-II,Thomas-Fermi,1,2240.9192632983,0.0000000000,3,2
PI-NSGA-II,Thomas-Fermi,1,2240.9192632983,0.0000000000,3,2
PI-NSGA-II,Thomas-Fermi,1,3967.8116698794,0.0000000000,1,2
PI-NSGA-II,Thomas-Fermi,1,2240.9192632983,0.0000000000,3,2
PI-NSGA-II,Thomas-Fermi,1,3967.8116698794,0.0000000000,1,2
PI-NSGA-II,Thomas-Fermi,1,2240.9192632983,0.0000000000,3,2
PI-NSGA-II,Thomas-Fermi,1,441.5642568310,0.0000000000,4,2
PI-NSGA-II,Thomas-Fermi,1,441.5642568310,0.0000000000,4,2
PI-NSGA-II,Thomas-Fermi,1,441.5642568310,0.0000000000,4,2
PI-NSGA-II,Thomas-Fermi,1,441.5642568310,0.0000000000,4,2
