gen,best_mse_domain,best_mse_boundary,best_total_mse,best_val_mse
0,13.2355,0,13.2355,0.00590007
1,3.76292,0,3.76292,0.00590007
2,3.76292,0,3.76292,0.00468168
3,3.76292,0,3.76292,0.00468149
4,3.76292,0,3.76292,0.00468149
5,3.76292,0,3.76292,0.00468149
6,3.76292,0,3.76292,0.00468149
7,3.76292,0,3.76292,0.00468149
8,3.76292,0,3.76292,0.00468149
9,3.76292,0,3.76292,0.00468149
10,3.76292,0,3.76292,0.00468149
11,3.76292,0,3.76292,0.00468149
12,3.76292,0,3.76292,0.00468149
13,3.76292,0,3.76292,0.00468149
14,3.76292,0,3.76292,0.00468149
15,3.76292,0,3.76292,0.00468149
16,3.76292,0,3.76292,0.00468149
17,3.76292,0,3.76292,0.00468149
18,3.76292,0,3.76292,0.00468149
19,3.76292,0,3.76292,0.00468149
20,3.76292,0,3.76292,0.00468149
21,3.76292,0,3.76292,0.00468149
22,3.76292,0,3.76292,0.00468149
23,3.76292,0,3.76292,0.00468149
24,3.76292,0,3.76292,0.00468149
25,3.40467,0,3.40467,0.00468149
26,3.40467,0,3.40467,0.00468149
27,3.40467,0,3.40467,0.00468149
28,3.40467,0,3.40467,0.00468149
29,3.40467,0,3.40467,0.00468149
30,3.40467,0,3.40467,0.00468149
31,3.40467,0,3.40467,0.00468149
32,3.40467,0,3.40467,0.00468149
33,3.40467,0,3.40467,0.00468149
34,3.40467,0,3.40467,0.00468149
35,3.40467,0,3.40467,0.00468149
36,3.40467,0,3.40467,0.00468149
37,3.40467,0,3.40467,0.00468149
38,3.40467,0,3.40467,0.00468149
39,3.40467,0,3.40467,0.00468149
40,3.40467,0,3.40467,0.00468149
41,3.40467,0,3.40467,0.00468149
42,3.40467,0,3.40467,0.00468149
43,3.40467,0,3.40467,0.00468149
44,3.40467,0,3.40467,0.00468149
45,3.40467,0,3.40467,0.00468149
46,3.40467,0,3.40467,0.00468149
47,3.40467,0,3.40467,0.00468149
48,3.40467,0,3.40467,0.00468149
49,3.40467,0,3.40467,0.00468149
50,2.93808,0,2.93808,0.00468149
51,2.93808,0,2.93808,0.00468149
52,2.93808,0,2.93808,0.00468149
53,2.93808,0,2.93808,0.00468149
54,2.93808,0,2.93808,0.00468149
55,2.93808,0,2.93808,0.00468149
56,2.93808,0,2.93808,0.00468149
57,2.93808,0,2.93808,0.00468149
58,2.93808,0,2.93808,0.00468149
59,2.93808,0,2.93808,0.00468149
60,2.93808,0,2.93808,0.00468149
61,2.93808,0,2.93808,0.00468149
62,2.93808,0,2.93808,0.00468149
63,2.93808,0,2.93808,0.00468149
64,2.93808,0,2.93808,0.00468149
65,2.93808,0,2.93808,0.00468149
66,2.93808,0,2.93808,0.00468149
67,2.93808,0,2.93808,0.00468149
68,2.93808,0,2.93808,0.00468149
69,2.93808,0,2.93808,0.00468149
70,2.93808,0,2.93808,0.00468149
71,2.93808,0,2.93808,0.00468149
72,2.93808,0,2.93808,0.00468149
73,2.93808,0,2.93808,0.00468149
74,2.93808,0,2.93808,0.00468149
75,2.44701,0,2.44701,0.00468149
76,2.44701,0,2.44701,0.00468149
77,2.44701,0,2.44701,0.00468149
78,2.44701,0,2.44701,0.00468149
79,2.44701,0,2.44701,0.00468149
80,2.44701,0,2.44701,0.00468149
81,2.44701,0,2.44701,0.00468149
82,2.44701,0,2.44701,0.00468149
83,2.44701,0,2.44701,0.00468149
84,2.44701,0,2.44701,0.00468149
85,2.44701,0,2.44701,0.00468149
86,2.44701,0,2.44701,0.00468149
87,2.44701,0,2.44701,0.00468149
88,2.44701,0,2.44701,0.00468149
89,2.44701,0,2.44701,0.00468149
90,2.44701,0,2.44701,0.00468149
91,2.44701,0,2.44701,0.00468149
92,2.44701,0,2.44701,0.00468149
93,2.44701,0,2.44701,0.00468149
94,2.44701,0,2.44701,0.00468149
95,2.44701,0,2.44701,0.00468149
96,2.44701,0,2.44701,0.00468149
97,2.44701,0,2.44701,0.00468149
98,2.44701,0,2.44701,0.00468149
99,2.44701,0,2.44701,0.00468149
100,2.06767,0,2.06767,0.00468149
101,2.06767,0,2.06767,0.00468149
102,2.06767,0,2.06767,0.00468149
103,2.06767,0,2.06767,0.00468149
104,2.06767,0,2.06767,0.00468149
105,2.06767,0,2.06767,0.00468149
106,2.06767,0,2.06767,0.00468149
107,2.06767,0,2.06767,0.00468149
108,2.06767,0,2.06767,0.00468149
109,2.06767,0,2.06767,0.00468149
110,2.06767,0,2.06767,0.00468149
111,2.06767,0,2.06767,0.00468149
112,2.06767,0,2.06767,0.00468149
113,2.06767,0,2.06767,0.00468149
114,2.06767,0,2.06767,0.00468149
115,2.06767,0,2.06767,0.00468149
116,2.06767,0,2.06767,0.00468149
117,2.06767,0,2.06767,0.00468149
118,2.06767,0,2.06767,0.00468149
119,2.06767,0,2.06767,0.00468149
120,2.06767,0,2.06767,0.00468149
121,2.06767,0,2.06767,0.00468149
122,2.06767,0,2.06767,0.00468149
123,2.06767,0,2.06767,0.00468149
124,2.06767,0,2.06767,0.00468149
125,1.79576,0,1.79576,0.00468149
126,1.79575,0,1.79575,0.00468149
127,1.79575,0,1.79575,0.00468149
128,1.79575,0,1.79575,0.00468149
129,1.79575,0,1.79575,0.00468149
130,1.79575,0,1.79575,0.00468149
131,1.79575,0,1.79575,0.00468149
132,1.79575,0,1.79575,0.00468149
133,1.79575,0,1.79575,0.00468149
134,1.79575,0,1.79575,0.00468149
135,1.79575,0,1.79575,0.00468149
136,1.79575,0,1.79575,0.00468149
137,1.79575,0,1.79575,0.00468149
138,1.79575,0,1.79575,0.00468149
139,1.29555,0,1.29555,0.00468149
140,1.29555,0,1.29555,0.00468149
141,1.29555,0,1.29555,0.00468149
142,1.29555,0,1.29555,0.00468149
143,1.29555,0,1.29555,0.00468149
144,1.18392,0,1.18392,0.00468149
145,1.18392,0,1.18392,0.00468149
146,1.18392,0,1.18392,0.00468149
147,1.18392,0,1.18392,0.00468149
148,1.18392,0,1.18392,0.00468149
149,1.18392,0,1.18392,0.00468149
150,1.03662,0,1.03662,0.00468149
151,1.03662,0,1.03662,0.00468149
152,1.03662,0,1.03662,0.00468149
153,1.03662,0,1.03662,0.00468149
154,1.03662,0,1.03662,0.00468149
155,1.03662,0,1.03662,0.00468149
156,1.03662,0,1.03662,0.00468149
157,1.03662,0,1.03662,0.00468149
