method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PI-NSGA-II,Troesch,1,575.1177579491,0.0000000000,1,2
PI-NSGA-II,Troesch,1,575.1177579491,0.0000000000,1,2
PI-NSGA-II,Troesch,1,575.1177579491,0.0000000000,1,2
PI-NSGA-II,Troesch,1,575.1177579491,0.0000000000,1,2
PI-NSGA-II,Troesch,1,575.1177579491,0.0000000000,1,2
PI-NSGA-II,Troesch,1,575.1177579491,0.0000000000,1,2
PI-NSGA-II,Troesch,1,575.1177579491,0.0000000000,1,2
PI-NSGA-II,Troesch,1,575.1177579491,0.0000000000,1,2
PI-NSGA-II,Troesch,1,575.1177579491,0.0000000000,1,2
PI-NSGA-II,Troesch,1,575.1177579491,0.0000000000,1,2
PI-NSGA-II,Troesch,1,575.1177579491,0.0000000000,1,2
PI-NSGA-II,Troesch,1,575.1177579491,0.0000000000,1,2
PI-NSGA-II,Troesch,1,575.1177579491,0.0000000000,1,2
PI-NSGA-II,Troesch,1,575.1177579491,0.0000000000,1,2
PI-NSGA-II,Troesch,1,575.1177579491,0.0000000000,1,2
PI-NSGA-II,Troesch,1,575.1177579491,0.0000000000,1,2
PI-NSGA-II,Troesch,1,575.1177579491,0.0000000000,1,2
PI-NSGA-II,Troesch,1,575.1177579491,0.0000000000,1,2
PI-NSGA-II,Troesch,1,575.1177579491,0.0000000000,1,2
PI-NSGA-II,Troesch,1,575.1177579491,0.0000000000,1,2
PI-NSGA-II,Troesch,1,575.1177579491,0.0000000000,1,2
PI-NSGA-II,Troesch,1,575.1177579491,0.0000000000,1,2
PI-NSGA-II,Troesch,1,575.1177579491,0.0000000000,1,2
PI-NSGA-II,Troesch,1,575.1177579491,0.0000000000,1,2
PI-NSGA-II,Troesch,1,253.1640932588,0.0000000000,2,2
PI-NSGA-II,Troesch,1,253.1640932588,0.0000000000,2,2
PI-NSGA-II,Troesch,1,253.1640932588,0.0000000000,2,2
PI-NSGA-II,Troesch,1,253.1640932588,0.0000000000,2,2
PI-NSGA-II,Troesch,1,253.1640932588,0.0000000000,2,2
PI-NSGA-II,Troesch,1,253.1640932588,0.0000000000,2,2
PI-NSGA-II,Troesch,1,253.1640932588,0.0000000000,2,2
PI-NSGA-II,Troesch,1,253.1640932588,0.0000000000,2,2
PI-NSGA-II,Troesch,1,253.1640932588,0.0000000000,2,2
PI-NSGA-II,Troesch,1,253.1640932588,0.0000000000,2,2
PI-NSGA-II,Troesch,1,253.1640932588,0.0000000000,2,2
PI-NSGA-II,Troesch,1,253.1640932588,0.0000000000,2,2
PI-NSGA-II,Troesch,1,253.1640932588,0.0000000000,2,2
PI-NSGA-II,Troesch,1,253.1640932588,0.0000000000,2,2
PI-NSGA-II,Troesch,1,253.1640932588,0.0000000000,2,2
PI-NSGA-II,Troesch,1,253.1640932588,0.0000000000,2,2
PI-NSGA-II,Troesch,1,253.1640932588,0.0000000000,2,2
PI-NSGA-II,Troesch,1,253.1640932588,0.0000000000,2,2
PI-NSGA-II,Troesch,1,253.1640932588,0.0000000000,2,2
PI-NSGA-II,Troesch,1,253.1640932588,0.0000000000,2,2
PI-NSGA-II,Troesch,1,253.1640932588,0.0000000000,2,2
PI-NSGA-II,Troesch,1,253.1640932588,0.0000000000,2,2
PI-NSGA-II,Troesch,1,253.1640932588,0.0000000000,2,2
PI-NSGA-II,Troesch,1,253.1640932588,0.0000000000,2,2
PI-NSGA-II,Troesch,1,253.1640932588,0.0000000000,2,2
PI-NSGA-II,Troesch,1,253.1640932588,0.0000000000,2,2
PI-NSGA-II,Troesch,1,253.1640932588,0.0000000000,2,2
PI-NSGA-II,Troesch,1,253.1640932588,0.0000000000,2,2
PI-NSGA-II,Troesch,1,253.1640932588,0.0000000000,2,2
PI-NSGA-II,Troesch,1,253.1640932588,0.0000000000,2,2
PI-NSGA-II,Troesch,1,253.1640932588,0.0000000000,2,2
PI-NSGA-II,Troesch,1,253.1640932588,0.0000000000,2,2
PI-NSGA-II,Troesch,1,253.1640932588,0.0000000000,2,2
PI-NSGA-II,Troesch,1,253.1640932588,0.0000000000,2,2
PI-NSGA-II,Troesch,1,253.1640932588,0.0000000000,2,2
PI-NSGA-II,Troesch,1,253.1640932588,0.0000000000,2,2
PI-NSGA-II,Troesch,1,253.1640932588,0.0000000000,2,2
PI-NSGA-II,Troesch,1,253.1640932588,0.0000000000,2,2
PI-NSGA-II,Troesch,1,253.1640932588,0.0000000000,2,2
PI-NSGA-II,Troesch,1,253.1640932588,0.0000000000,2,2
PI-NSGA-II,Troesch,1,253.1640932588,0.0000000000,2,2
PI-NSGA-II,Troesch,1,253.1640932588,0.0000000000,2,2
