run,method,pde,pareto_size,best_mse_domain,best_mse_boundary,mean_mse_domain,mean_mse_boundary,hypervolume,runtime_s,solution_mse
0,PISR-NSGA-II,Laplace_1D,54,1.88913e-09,0,4.0209,0,0.916572,0.299054,1.04243e-11
0,RK4/FDM,Laplace_1D,1,6.54847e-32,0,6.54847e-32,0,0,3.127e-05,6.54847e-32
0,PISR-NSGA-II,Poisson_1D,2,0.015997,0,0.0912609,0,0.999986,189.532,3.44666e-06
0,RK4/FDM,Poisson_1D,1,1.96,0,1.96,0,0,2.0917e-05,1.96
0,PISR-NSGA-II,HarmonicOscillator_1D,8,0.0013834,0,0.00146525,0,1,35.4761,1.25013e-06
0,RK4/FDM,HarmonicOscillator_1D,1,6.49468e-20,0,6.49468e-20,0,0,1.9019e-05,6.49468e-20
0,PISR-NSGA-II,Airy_1D,1,2.59549e-05,0,9.26276e-06,0,1,29.9762,1.85774e-09
0,RK4/FDM,Airy_1D,1,2.25709e-20,0,2.25709e-20,0,0,9.3e-06,2.25709e-20
0,PISR-NSGA-II,Fisher_1D,150,1.87124e-06,0,2.89769,0,0.833264,3.04024,6.75849e-10
0,RK4/FDM,Fisher_1D,1,0,0,0,0,0,1.8359e-05,0
0,PISR-NSGA-II,Duffing_1D,11,0.0241073,0,0.00613812,0,0.999998,69.8531,0.0146881
0,RK4/FDM,Duffing_1D,1,0,0,0,0,0,2.5375e-05,0
0,PISR-NSGA-II,Thomas-Fermi_1D,3,54.7967,0,18.3018,0,0.996345,8.0009,0.25389
0,RK4/FDM,Thomas-Fermi_1D,1,0,0,0,0,0,5.7765e-05,0
0,PISR-NSGA-II,Airy_2D,13,0.0155543,0,0.202629,0,0.999983,171.858,0.000449145
0,RK4/FDM,Airy_2D,1,0.000168267,0,0.000168267,0,0,0.0508586,0.000168267
0,PISR-NSGA-II,Fisher_2D,2,0.00035486,0,0.00594586,0,0.999999,19.4561,8.02545e-05
0,RK4/FDM,Fisher_2D,1,0,0,0,0,0,0.0453677,0
0,PISR-NSGA-II,Duffing_2D,2,0.00391327,0,0.0766546,0,0.999991,158.084,0.000159926
0,RK4/FDM,Duffing_2D,1,0,0,0,0,0,0.155824,0
0,PISR-NSGA-II,Thomas-Fermi_2D,7,502.585,0,0.669406,0,0.999916,10.889,0.00013364
0,RK4/FDM,Thomas-Fermi_2D,1,0,0,0,0,0,0.144578,0
0,PISR-NSGA-II,Navier-Stokes_2D,113,0.0152917,0.071913,0.378075,0.0607029,0.999998,83.3703,0.0963054
0,PISR-NSGA-II,Navier-Stokes-Unsteady_2D,16,5.93484e-12,8.57355e-11,0.000244099,0.0182677,1,76.1468,0.312291
0,PISR-NSGA-II,Lane-Emden_1D,1,0.00919908,0,0.0029299,0,1,2.29138,0.00275326
0,RK4/FDM,Lane-Emden_1D,1,0,0,0,0,0,7.5826e-05,0
0,PISR-NSGA-II,Troesch_1D,3,0.321783,0,4.56308,0,0.999291,5.92919,0.000162079
0,RK4/FDM,Troesch_1D,1,0,0,0,0,0,5.0361e-05,0
0,PISR-NSGA-II,Ginzburg-Landau_1D,2,0.024509,0,0.00604432,0,0.999999,2.71259,2.9751e-05
0,RK4/FDM,Ginzburg-Landau_1D,1,0,0,0,0,0,2.2726e-05,0
0,PISR-NSGA-II,Painleve-I_1D,2,0.568223,0,0.0505763,0,0.999995,2.35409,0.000165949
0,RK4/FDM,Painleve-I_1D,1,0,0,0,0,0,1.9077e-05,0
