method,pde,pareto_size,best_mse_domain,best_mse_boundary,mean_mse_domain,mean_mse_boundary,best_bic,runtime_s,solution_mse
PISR-NSGA-II,Laplace_1D,56,0.0000000011,0.0000000000,4.7492046389,0.0000000000,-8208.2623341412,0.2438072580,0.0000000000
RK4/FDM,Laplace_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000164900,0.0000000000
PISR-NSGA-II,Poisson_1D,2,0.0159970181,0.0000000000,0.0887307773,0.0000000000,-1612.2009252020,145.9963264740,0.0000034467
RK4/FDM,Poisson_1D,1,1.9599999655,0.0000000000,1.9599999655,0.0000000000,1000000000000000000.0000000000,0.0000138720,1.9599999655
PISR-NSGA-II,HarmonicOscillator_1D,34,0.0011865851,0.0000000000,0.0047693548,0.0000000000,-2646.7385784226,30.6978830640,0.0000003530
RK4/FDM,HarmonicOscillator_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000095370,0.0000000000
PISR-NSGA-II,Airy_1D,8,0.0002783145,0.0000000000,0.0003438528,0.0000000000,-3232.7632747339,16.6876052370,0.0000001358
RK4/FDM,Airy_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000071500,0.0000000000
PISR-NSGA-II,Fisher_1D,8,0.0005108945,0.0000000000,0.0010051809,0.0000000000,-2983.8072445759,4.6469455840,0.0002892989
RK4/FDM,Fisher_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000327190,0.0000000000
PISR-NSGA-II,Duffing_1D,15,0.0645333166,0.0000000000,0.0087478779,0.0000000000,-1072.2636028801,28.9300600640,0.0004658810
RK4/FDM,Duffing_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000250230,0.0000000000
PISR-NSGA-II,Thomas-Fermi_1D,12,872.0499257476,0.0000000000,353.4213754580,0.0000000000,2744.2874579097,7.5428247590,0.2314770957
RK4/FDM,Thomas-Fermi_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000096130,0.0000000000
PISR-NSGA-II,Airy_2D,151,0.0517684726,0.0000000000,0.0366196032,0.0000000000,-1118.4834705384,100.7133633560,0.0002009178
RK4/FDM,Airy_2D,1,0.0001682673,0.0000000000,0.0001682673,0.0000000000,1000000000000000000.0000000000,0.0415401080,0.0001682673
PISR-NSGA-II,Fisher_2D,2,0.0004395794,0.0000000000,0.0031926974,0.0000000000,-3037.9536990689,12.4821953940,0.0000806622
RK4/FDM,Fisher_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0425132860,0.0000000000
PISR-NSGA-II,Duffing_2D,3,0.0094781042,0.0000000000,0.0562118945,0.0000000000,-1761.6534856203,127.7251495490,0.0001778313
RK4/FDM,Duffing_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.1557089130,0.0000000000
PISR-NSGA-II,Thomas-Fermi_2D,4,1313.8085813187,0.0000000000,13.4054348507,0.0000000000,2926.1973857700,8.1564753290,0.0002578281
RK4/FDM,Thomas-Fermi_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.1416079790,0.0000000000
PISR-NSGA-II,Navier-Stokes_2D,126,0.0754189371,0.0506932714,0.4734051725,0.0431688494,-768.3186445622,77.8541160780,0.0166715488
PISR-NSGA-II,Navier-Stokes-Unsteady_2D,9,0.0062718750,2751.6255401611,0.0010743620,278.0102251163,3233.8858703668,99.3911755750,0.2903700385
PISR-NSGA-II,Lane-Emden_1D,3,0.2504318415,0.0000000000,0.3096541841,0.0000000000,-517.8786067730,5.9160209660,0.0001569074
RK4/FDM,Lane-Emden_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000791910,0.0000000000
PISR-NSGA-II,Troesch_1D,8,0.3217828578,0.0000000000,2.1899960599,0.0000000000,-423.5940035359,4.8799692060,0.0019462100
RK4/FDM,Troesch_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000511770,0.0000000000
PISR-NSGA-II,Ginzburg-Landau_1D,5,0.0245090470,0.0000000000,0.0067547201,0.0000000000,-1453.5278628980,3.4450699300,0.0013852016
RK4/FDM,Ginzburg-Landau_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000189480,0.0000000000
PISR-NSGA-II,Painleve-I_1D,3,0.5682232534,0.0000000000,0.0431602776,0.0000000000,-208.1219606772,1.5640941690,0.0031118307
RK4/FDM,Painleve-I_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000156660,0.0000000000
