pde,method,labeled_points_used,mse_total,runtime_s
airy_1D,PISR-NSGA-II,0,2.35056e-08,338.913
airy_1D,PySR,1000,0.0012418692262968194,31.039676666259766
airy_2D,PISR-NSGA-II,0,0.201854,1125.59
duffing_1D,PISR-NSGA-II,0,0.347346,35.286
duffing_1D,PySR,1000,0.08168070174823334,31.52052617073059
duffing_2D,PISR-NSGA-II,0,0.342089,89.998
fisher_1D,PISR-NSGA-II,0,0.0105496,24.3571
fisher_1D,PySR,5000,1.200977132062143e-07,32.10904407501221
fisher_2D,PISR-NSGA-II,0,0.0226705,73.7568
fisher_2D,PySR,5000,0.0026224509736965758,54.7562141418457
ginzburg_landau_1D,PISR-NSGA-II,0,0.0281319,24.9611
ginzburg_landau_1D,PySR,5000,7.214605598043759e-14,25.32927131652832
ginzburg_landau_2D,PySR,5000,0.001810892132269913,56.95598268508911
lane_emden_1D,PISR-NSGA-II,0,1.83895e-08,43.9195
lane_emden_1D,PySR,1000,1.9793255647887954e-06,29.693540334701538
navier_stokes_2D,PISR-NSGA-II,0,0.647071,856.12
navier_stokes_unsteady_2D,PISR-NSGA-II,0,3.843974165,567.001
painleve_1D,PySR,1000,4.946633741295577e-08,29.733192920684814
painleve_i_1D,PISR-NSGA-II,0,0.0827191,20.6405
painleve_i_1D,PySR,,5.267206296819393e-34,25.184996843338013
thomas_fermi_1D,PISR-NSGA-II,0,810.742,42.3261
thomas_fermi_1D,PySR,1000,6.772013622763416e-13,32.91894221305847
thomas_fermi_2D,PISR-NSGA-II,0,26.2433,139.46
troesch_1D,PISR-NSGA-II,0,0.48951,50.8693
troesch_1D,PySR,1000,7.695390931862585e-13,29.117735862731934
