x,u_exact,u_approx
0.000000,1.000000,0.038324
0.010000,0.995012,0.037937
0.020000,0.990050,0.037552
0.030000,0.985112,0.037171
0.040000,0.980199,0.036792
0.050000,0.975310,0.036417
0.060000,0.970446,0.036044
0.070000,0.965605,0.035674
0.080000,0.960789,0.035307
0.090000,0.955997,0.034944
0.100000,0.951229,0.034583
0.110000,0.946485,0.034225
0.120000,0.941765,0.033870
0.130000,0.937067,0.033518
0.140000,0.932394,0.033169
0.150000,0.927743,0.032823
0.160000,0.923116,0.032480
0.170000,0.918512,0.032140
0.180000,0.913931,0.031803
0.190000,0.909373,0.031469
0.200000,0.904837,0.031138
0.210000,0.900325,0.030810
0.220000,0.895834,0.030485
0.230000,0.891366,0.030163
0.240000,0.886920,0.029844
0.250000,0.882497,0.029528
0.260000,0.878095,0.029216
0.270000,0.873716,0.028906
0.280000,0.869358,0.028600
0.290000,0.865022,0.028296
0.300000,0.860708,0.027996
0.310000,0.856415,0.027699
0.320000,0.852144,0.027405
0.330000,0.847894,0.027114
0.340000,0.843665,0.026826
0.350000,0.839457,0.026541
0.360000,0.835270,0.026259
0.370000,0.831104,0.025981
0.380000,0.826959,0.025706
0.390000,0.822835,0.025434
0.400000,0.818731,0.025165
0.410000,0.814647,0.024899
0.420000,0.810584,0.024636
0.430000,0.806541,0.024377
0.440000,0.802519,0.024121
0.450000,0.798516,0.023868
0.460000,0.794534,0.023618
0.470000,0.790571,0.023372
0.480000,0.786628,0.023128
0.490000,0.782705,0.022888
0.500000,0.778801,0.022652
0.510000,0.774916,0.022418
0.520000,0.771052,0.022188
0.530000,0.767206,0.021961
0.540000,0.763379,0.021738
0.550000,0.759572,0.021517
0.560000,0.755784,0.021300
0.570000,0.752014,0.021087
0.580000,0.748264,0.020876
0.590000,0.744532,0.020669
0.600000,0.740818,0.020466
0.610000,0.737123,0.020265
0.620000,0.733447,0.020068
0.630000,0.729789,0.019875
0.640000,0.726149,0.019685
0.650000,0.722527,0.019498
0.660000,0.718924,0.019314
0.670000,0.715338,0.019134
0.680000,0.711770,0.018958
0.690000,0.708220,0.018785
0.700000,0.704688,0.018615
0.710000,0.701173,0.018449
0.720000,0.697676,0.018286
0.730000,0.694197,0.018127
0.740000,0.690734,0.017971
0.750000,0.687289,0.017819
0.760000,0.683861,0.017670
0.770000,0.680451,0.017524
0.780000,0.677057,0.017383
0.790000,0.673680,0.017244
0.800000,0.670320,0.017109
0.810000,0.666977,0.016978
0.820000,0.663650,0.016851
0.830000,0.660340,0.016726
0.840000,0.657047,0.016606
0.850000,0.653770,0.016489
0.860000,0.650509,0.016376
0.870000,0.647265,0.016266
0.880000,0.644036,0.016160
0.890000,0.640824,0.016057
0.900000,0.637628,0.015958
0.910000,0.634448,0.015863
0.920000,0.631284,0.015772
0.930000,0.628135,0.015684
0.940000,0.625002,0.015599
0.950000,0.621885,0.015519
0.960000,0.618783,0.015442
0.970000,0.615697,0.015369
0.980000,0.612626,0.015300
0.990000,0.609571,0.015234
1.000000,0.606531,0.015172
