x,u_exact,u_approx
0,1,nan
0.01,0.99005,118.113
0.02,0.980199,59.0581
0.03,0.970446,39.3736
0.04,0.960789,29.5318
0.05,0.951229,23.627
0.06,0.941765,19.6909
0.07,0.932394,16.8796
0.08,0.923116,14.7713
0.09,0.913931,13.1318
0.1,0.904837,11.8203
0.11,0.895834,10.7475
0.12,0.88692,9.85358
0.13,0.878095,9.09736
0.14,0.869358,8.44929
0.15,0.860708,7.88776
0.16,0.852144,7.39653
0.17,0.843665,6.9632
0.18,0.83527,6.57811
0.19,0.826959,6.23366
0.2,0.818731,5.92374
0.21,0.810584,5.64343
0.22,0.802519,5.38868
0.23,0.794534,5.15616
0.24,0.786628,4.94309
0.25,0.778801,4.74715
0.26,0.771052,4.56634
0.27,0.763379,4.39899
0.28,0.755784,4.24367
0.29,0.748264,4.09911
0.3,0.740818,3.96426
0.31,0.733447,3.83816
0.32,0.726149,3.72
0.33,0.718924,3.60906
0.34,0.71177,3.50469
0.35,0.704688,3.40634
0.36,0.697676,3.31351
0.37,0.690734,3.22574
0.38,0.683861,3.14264
0.39,0.677057,3.06385
0.4,0.67032,2.98904
0.41,0.66365,2.91793
0.42,0.657047,2.85024
0.43,0.650509,2.78575
0.44,0.644036,2.72423
0.45,0.637628,2.66548
0.46,0.631284,2.60933
0.47,0.625002,2.5556
0.48,0.618783,2.50415
0.49,0.612626,2.45484
0.5,0.606531,2.40754
0.51,0.600496,2.36212
0.52,0.594521,2.31849
0.53,0.588605,2.27654
0.54,0.582748,2.23618
0.55,0.57695,2.19732
0.56,0.571209,2.15987
0.57,0.565525,2.12378
0.58,0.559898,2.08895
0.59,0.554327,2.05534
0.6,0.548812,2.02289
0.61,0.543351,1.99152
0.62,0.537944,1.9612
0.63,0.532592,1.93186
0.64,0.527292,1.90347
0.65,0.522046,1.87599
0.66,0.516851,1.84936
0.67,0.511709,1.82356
0.68,0.506617,1.79854
0.69,0.501576,1.77427
0.7,0.496585,1.75072
0.71,0.491644,1.72786
0.72,0.486752,1.70566
0.73,0.481909,1.6841
0.74,0.477114,1.66314
0.75,0.472367,1.64276
0.76,0.467666,1.62295
0.77,0.463013,1.60367
0.78,0.458406,1.58491
0.79,0.453845,1.56665
0.8,0.449329,1.54886
0.81,0.444858,1.53154
0.82,0.440432,1.51466
0.83,0.436049,1.49822
0.84,0.431711,1.48218
0.85,0.427415,1.46654
0.86,0.423162,1.45129
0.87,0.418952,1.43641
0.88,0.414783,1.42189
0.89,0.410656,1.40771
0.9,0.40657,1.39388
0.91,0.402524,1.38036
0.92,0.398519,1.36716
0.93,0.394554,1.35426
0.94,0.390628,1.34165
0.95,0.386741,1.32933
0.96,0.382893,1.31729
0.97,0.379083,1.30551
0.98,0.375311,1.29399
0.99,0.371577,1.28272
1,0.367879,1.2717
