x,y,u_exact,u_approx
0,0,1,0.700595
0,0.0333333,0.967216,0.700206
0,0.0666667,0.935507,0.699039
0,0.1,0.904837,0.697095
0,0.133333,0.875173,0.694377
0,0.166667,0.846482,0.690887
0,0.2,0.818731,0.68663
0,0.233333,0.79189,0.681609
0,0.266667,0.765928,0.675832
0,0.3,0.740818,0.669304
0,0.333333,0.716531,0.662032
0,0.366667,0.693041,0.654025
0,0.4,0.67032,0.645291
0,0.433333,0.648344,0.63584
0,0.466667,0.627089,0.625682
0,0.5,0.606531,0.61483
0,0.533333,0.586646,0.603294
0,0.566667,0.567414,0.591088
0,0.6,0.548812,0.578226
0,0.633333,0.530819,0.564721
0,0.666667,0.513417,0.550589
0,0.7,0.496585,0.535844
0,0.733333,0.480305,0.520505
0,0.766667,0.464559,0.504587
0,0.8,0.449329,0.488109
0,0.833333,0.434598,0.471089
0,0.866667,0.42035,0.453545
0,0.9,0.40657,0.435497
0,0.933333,0.393241,0.416965
0,0.966667,0.380349,0.39797
0,1,0.367879,0.378533
0.0333333,0,0.967216,0.677627
0.0333333,0.0333333,0.935507,0.676723
0.0333333,0.0666667,0.904837,0.67507
0.0333333,0.1,0.875173,0.67267
0.0333333,0.133333,0.846482,0.669527
0.0333333,0.166667,0.818731,0.665646
0.0333333,0.2,0.79189,0.661032
0.0333333,0.233333,0.765928,0.655691
0.0333333,0.266667,0.740818,0.64963
0.0333333,0.3,0.716531,0.642858
0.0333333,0.333333,0.693041,0.635382
0.0333333,0.366667,0.67032,0.627212
0.0333333,0.4,0.648344,0.618359
0.0333333,0.433333,0.627089,0.608833
0.0333333,0.466667,0.606531,0.598646
0.0333333,0.5,0.586646,0.58781
0.0333333,0.533333,0.567414,0.576338
0.0333333,0.566667,0.548812,0.564243
0.0333333,0.6,0.530819,0.551541
0.0333333,0.633333,0.513417,0.538246
0.0333333,0.666667,0.496585,0.524374
0.0333333,0.7,0.480305,0.509941
0.0333333,0.733333,0.464559,0.494964
0.0333333,0.766667,0.449329,0.479461
0.0333333,0.8,0.434598,0.463449
0.0333333,0.833333,0.42035,0.446946
0.0333333,0.866667,0.40657,0.429973
0.0333333,0.9,0.393241,0.412549
0.0333333,0.933333,0.380349,0.394692
0.0333333,0.966667,0.367879,0.376425
0.0333333,1,0.355819,0.357768
0.0666667,0,0.935507,0.655411
0.0666667,0.0333333,0.904837,0.654029
0.0666667,0.0666667,0.875173,0.651925
0.0666667,0.1,0.846482,0.649105
0.0666667,0.133333,0.818731,0.645574
0.0666667,0.166667,0.79189,0.641337
0.0666667,0.2,0.765928,0.636402
0.0666667,0.233333,0.740818,0.630776
0.0666667,0.266667,0.716531,0.624468
0.0666667,0.3,0.693041,0.617486
0.0666667,0.333333,0.67032,0.609841
0.0666667,0.366667,0.648344,0.601543
0.0666667,0.4,0.627089,0.592603
0.0666667,0.433333,0.606531,0.583032
0.0666667,0.466667,0.586646,0.572844
0.0666667,0.5,0.567414,0.562052
0.0666667,0.533333,0.548812,0.550669
0.0666667,0.566667,0.530819,0.538709
0.0666667,0.6,0.513417,0.526189
0.0666667,0.633333,0.496585,0.513122
0.0666667,0.666667,0.480305,0.499525
0.0666667,0.7,0.464559,0.485416
0.0666667,0.733333,0.449329,0.47081
0.0666667,0.766667,0.434598,0.455726
0.0666667,0.8,0.42035,0.440182
0.0666667,0.833333,0.40657,0.424196
0.0666667,0.866667,0.393241,0.407787
0.0666667,0.9,0.380349,0.390975
0.0666667,0.933333,0.367879,0.37378
0.0666667,0.966667,0.355819,0.356221
