x,u_exact,u_approx
0,1,1
0.01,0.99995,0.99995
0.02,0.9998,0.9998
0.03,0.99955,0.99955
0.04,0.999201,0.9992
0.05,0.998751,0.99875
0.06,0.998203,0.998201
0.07,0.997555,0.997551
0.08,0.996809,0.996802
0.09,0.995964,0.995953
0.1,0.995021,0.995004
0.11,0.99398,0.993956
0.12,0.992843,0.992809
0.13,0.991609,0.991562
0.14,0.990279,0.990216
0.15,0.988855,0.988771
0.16,0.987335,0.987227
0.17,0.985722,0.985585
0.18,0.984016,0.983844
0.19,0.982218,0.982004
0.2,0.980328,0.980067
0.21,0.978348,0.978031
0.22,0.976279,0.975897
0.23,0.974121,0.973666
0.24,0.971875,0.971338
0.25,0.969544,0.968912
0.26,0.967127,0.96639
0.27,0.964625,0.963771
0.28,0.962041,0.961055
0.29,0.959375,0.958244
0.3,0.956628,0.955336
0.31,0.953802,0.952334
0.32,0.950897,0.949235
0.33,0.947916,0.946042
0.34,0.944859,0.942755
0.35,0.941728,0.939373
0.36,0.938524,0.935897
0.37,0.935249,0.932327
0.38,0.931903,0.928665
0.39,0.928489,0.924909
0.4,0.925007,0.921061
0.41,0.92146,0.917121
0.42,0.917849,0.913089
0.43,0.914174,0.908966
0.44,0.910439,0.904752
0.45,0.906643,0.900447
0.46,0.902789,0.896052
0.47,0.898878,0.891568
0.48,0.894912,0.886995
0.49,0.890891,0.882333
0.5,0.886819,0.877583
0.51,0.882696,0.872745
0.52,0.878523,0.867819
0.53,0.874303,0.862807
0.54,0.870036,0.857709
0.55,0.865725,0.852525
0.56,0.86137,0.847255
0.57,0.856974,0.841901
0.58,0.852538,0.836463
0.59,0.848063,0.830941
0.6,0.843551,0.825336
0.61,0.839003,0.819648
0.62,0.834421,0.813878
0.63,0.829806,0.808028
0.64,0.82516,0.802096
0.65,0.820484,0.796084
0.66,0.815779,0.789992
0.67,0.811048,0.783822
0.68,0.806291,0.777573
0.69,0.80151,0.771246
0.7,0.796705,0.764842
0.71,0.79188,0.758362
0.72,0.787034,0.751806
0.73,0.78217,0.745174
0.74,0.777288,0.738469
0.75,0.77239,0.731689
0.76,0.767477,0.724836
0.77,0.76255,0.717911
0.78,0.757611,0.710914
0.79,0.75266,0.703845
0.8,0.7477,0.696707
0.81,0.742731,0.689498
0.82,0.737754,0.682221
0.83,0.73277,0.674876
0.84,0.727782,0.667463
0.85,0.722788,0.659983
0.86,0.717792,0.652437
0.87,0.712793,0.644827
0.88,0.707794,0.637151
0.89,0.702794,0.629412
0.9,0.697795,0.62161
0.91,0.692797,0.613746
0.92,0.687803,0.60582
0.93,0.682812,0.597834
0.94,0.677826,0.589788
0.95,0.672845,0.581683
0.96,0.667871,0.57352
0.97,0.662904,0.5653
0.98,0.657945,0.557023
0.99,0.652995,0.54869
1,0.648054,0.540302
