x,u_exact,u_approx
0,1,nan
0.01,1.00792,1.00264
0.02,1.01583,1.00511
0.03,1.02335,1.00742
0.04,1.03084,1.00956
0.05,1.03794,1.01153
0.06,1.045,1.01334
0.07,1.05167,1.01499
0.08,1.05828,1.01647
0.09,1.06451,1.0178
0.1,1.07066,1.01897
0.11,1.07644,1.01998
0.12,1.08213,1.02083
0.13,1.08745,1.02153
0.14,1.09266,1.02208
0.15,1.09751,1.02248
0.16,1.10222,1.02272
0.17,1.1066,1.02282
0.18,1.11081,1.02277
0.19,1.11471,1.02257
0.2,1.11841,1.02223
0.21,1.12182,1.02175
0.22,1.12501,1.02112
0.23,1.12791,1.02036
0.24,1.13058,1.01945
0.25,1.13298,1.01841
0.26,1.13512,1.01723
0.27,1.13702,1.01591
0.28,1.13863,1.01447
0.29,1.14001,1.01289
0.3,1.14109,1.01117
0.31,1.14196,1.00933
0.32,1.1425,1.00736
0.33,1.14285,1.00527
0.34,1.14285,1.00305
0.35,1.14269,1.0007
0.36,1.14216,0.998235
0.37,1.14148,0.995646
0.38,1.14041,0.992937
0.39,1.13922,0.990109
0.4,1.13761,0.987165
0.41,1.13591,0.984104
0.42,1.13377,0.98093
0.43,1.13156,0.977642
0.44,1.12889,0.974242
0.45,1.12617,0.970732
0.46,1.12299,0.967114
0.47,1.11977,0.963388
0.48,1.11607,0.959555
0.49,1.11236,0.955618
0.5,1.10815,0.951577
0.51,1.10394,0.947435
0.52,1.09924,0.943192
0.53,1.09453,0.938849
0.54,1.08936,0.934409
0.55,1.08416,0.929872
0.56,1.07853,0.925239
0.57,1.07285,0.920513
0.58,1.06677,0.915695
0.59,1.06062,0.910785
0.6,1.05409,0.905786
0.61,1.04748,0.900699
0.62,1.04053,0.895524
0.63,1.03347,0.890264
0.64,1.0261,0.88492
0.65,1.0186,0.879493
0.66,1.01082,0.873985
0.67,1.00291,0.868397
0.68,0.99473,0.862729
0.69,0.986409,0.856985
0.7,0.977847,0.851165
0.71,0.969132,0.84527
0.72,0.960199,0.839302
0.73,0.951103,0.833262
0.74,0.941813,0.827151
0.75,0.932351,0.820972
0.76,0.922716,0.814725
0.77,0.912901,0.808411
0.78,0.902935,0.802033
0.79,0.892783,0.795591
0.8,0.882499,0.789086
0.81,0.872023,0.782521
0.82,0.861435,0.775897
0.83,0.85065,0.769214
0.84,0.83977,0.762475
0.85,0.828691,0.75568
0.86,0.817532,0.748832
0.87,0.806172,0.74193
0.88,0.794748,0.734978
0.89,0.783122,0.727976
0.9,0.771445,0.720925
0.91,0.759567,0.713827
0.92,0.74765,0.706684
0.93,0.735533,0.699496
0.94,0.723388,0.692265
0.95,0.711045,0.684992
0.96,0.698685,0.67768
0.97,0.686129,0.670328
0.98,0.673566,0.662939
0.99,0.66081,0.655514
1,0.648054,0.648054
