x,y,u_exact,u_approx
0,0,1,1
0,0.0333333,0.999445,0.999925
0,0.0666667,0.997782,0.999699
0,0.1,0.995021,0.999323
0,0.133333,0.991176,0.998797
0,0.166667,0.98627,0.998121
0,0.2,0.980328,0.997295
0,0.233333,0.973382,0.996318
0,0.266667,0.965468,0.995192
0,0.3,0.956628,0.993916
0,0.333333,0.946905,0.992491
0,0.366667,0.936348,0.990916
0,0.4,0.925007,0.989193
0,0.433333,0.912936,0.98732
0,0.466667,0.900188,0.9853
0,0.5,0.886819,0.983131
0,0.533333,0.872886,0.980814
0,0.566667,0.858444,0.97835
0,0.6,0.843551,0.975738
0,0.633333,0.828261,0.97298
0,0.666667,0.812628,0.970076
0,0.7,0.796705,0.967026
0,0.733333,0.780544,0.96383
0,0.766667,0.764194,0.960489
0,0.8,0.7477,0.957004
0,0.833333,0.731108,0.953375
0,0.866667,0.71446,0.949603
0,0.9,0.697795,0.945688
0,0.933333,0.68115,0.941631
0,0.966667,0.664559,0.937432
0,1,0.648054,0.933092
0.0333333,0,0.999445,0.999369
0.0333333,0.0333333,0.997782,0.999144
0.0333333,0.0666667,0.995021,0.998768
0.0333333,0.1,0.991176,0.998242
0.0333333,0.133333,0.98627,0.997566
0.0333333,0.166667,0.980328,0.996741
0.0333333,0.2,0.973382,0.995765
0.0333333,0.233333,0.965468,0.994639
0.0333333,0.266667,0.956628,0.993364
0.0333333,0.3,0.946905,0.991939
0.0333333,0.333333,0.936348,0.990366
0.0333333,0.366667,0.925007,0.988643
0.0333333,0.4,0.912936,0.986772
0.0333333,0.433333,0.900188,0.984752
0.0333333,0.466667,0.886819,0.982585
0.0333333,0.5,0.872886,0.980269
0.0333333,0.533333,0.858444,0.977806
0.0333333,0.566667,0.843551,0.975196
0.0333333,0.6,0.828261,0.97244
0.0333333,0.633333,0.812628,0.969537
0.0333333,0.666667,0.796705,0.966488
0.0333333,0.7,0.780544,0.963295
0.0333333,0.733333,0.764194,0.959956
0.0333333,0.766667,0.7477,0.956473
0.0333333,0.8,0.731108,0.952846
0.0333333,0.833333,0.71446,0.949076
0.0333333,0.866667,0.697795,0.945163
0.0333333,0.9,0.68115,0.941108
0.0333333,0.933333,0.664559,0.936911
0.0333333,0.966667,0.648054,0.932574
0.0333333,1,0.631665,0.928096
0.0666667,0,0.997782,0.997479
0.0666667,0.0333333,0.995021,0.997104
0.0666667,0.0666667,0.991176,0.996579
0.0666667,0.1,0.98627,0.995904
0.0666667,0.133333,0.980328,0.995079
0.0666667,0.166667,0.973382,0.994105
0.0666667,0.2,0.965468,0.992981
0.0666667,0.233333,0.956628,0.991708
0.0666667,0.266667,0.946905,0.990286
0.0666667,0.3,0.936348,0.988715
0.0666667,0.333333,0.925007,0.986995
0.0666667,0.366667,0.912936,0.985127
0.0666667,0.4,0.900188,0.983111
0.0666667,0.433333,0.886819,0.980947
0.0666667,0.466667,0.872886,0.978635
0.0666667,0.5,0.858444,0.976176
0.0666667,0.533333,0.843551,0.973571
0.0666667,0.566667,0.828261,0.970819
0.0666667,0.6,0.812628,0.967921
0.0666667,0.633333,0.796705,0.964878
0.0666667,0.666667,0.780544,0.961689
0.0666667,0.7,0.764194,0.958356
0.0666667,0.733333,0.7477,0.954879
0.0666667,0.766667,0.731108,0.951258
0.0666667,0.8,0.71446,0.947494
0.0666667,0.833333,0.697795,0.943587
0.0666667,0.866667,0.68115,0.939539
0.0666667,0.9,0.664559,0.93535
0.0666667,0.933333,0.648054,0.931019
0.0666667,0.966667,0.631665,0.926549
0.0666667,1,0.615417,0.92194
0.1,0,0.995021,0.994331
0.1,0.0333333,0.991176,0.993807
0.1,0.0666667,0.98627,0.993134
0.1,0.1,0.980328,0.992312
0.1,0.133333,0.973382,0.991341
0.1,0.166667,0.965468,0.99022
0.1,0.2,0.956628,0.988951
0.1,0.233333,0.946905,0.987532
0.1,0.266667,0.936348,0.985966
0.1,0.3,0.925007,0.984251
0.1,0.333333,0.912936,0.982388
0.1,0.366667,0.900188,0.980377
0.1,0.4,0.886819,0.978219
0.1,0.433333,0.872886,0.975914
0.1,0.466667,0.858444,0.973462
0.1,0.5,0.843551,0.970864
0.1,0.533333,0.828261,0.968119
0.1,0.566667,0.812628,0.96523
0.1,0.6,0.796705,0.962195
0.1,0.633333,0.780544,0.959015
0.1,0.666667,0.764194,0.955691
0.1,0.7,0.7477,0.952223
0.1,0.733333,0.731108,0.948613
0.1,0.766667,0.71446,0.944859
0.1,0.8,0.697795,0.940964
0.1,0.833333,0.68115,0.936927
0.1,0.866667,0.664559,0.932749
0.1,0.9,0.648054,0.928431
0.1,0.933333,0.631665,0.923973
0.1,0.966667,0.615417,0.919376
0.1,1,0.599334,0.914641
0.133333,0,0.991176,0.989932
0.133333,0.0333333,0.98627,0.989262
0.133333,0.0666667,0.980328,0.988443
0.133333,0.1,0.973382,0.987475
0.133333,0.133333,0.965468,0.986359
0.133333,0.166667,0.956628,0.985094
0.133333,0.2,0.946905,0.983682
0.133333,0.233333,0.936348,0.982121
0.133333,0.266667,0.925007,0.980413
0.133333,0.3,0.912936,0.978557
0.133333,0.333333,0.900188,0.976554
0.133333,0.366667,0.886819,0.974405
0.133333,0.4,0.872886,0.972109
0.133333,0.433333,0.858444,0.969666
0.133333,0.466667,0.843551,0.967078
0.133333,0.5,0.828261,0.964344
0.133333,0.533333,0.812628,0.961466
0.133333,0.566667,0.796705,0.958443
0.133333,0.6,0.780544,0.955275
0.133333,0.633333,0.764194,0.951964
0.133333,0.666667,0.7477,0.94851
0.133333,0.7,0.731108,0.944914
0.133333,0.733333,0.71446,0.941175
