x,y,u_exact,u_approx
0,0,1,1
0,0.0333333,0.999445,0.999445
0,0.0666667,0.997782,0.997782
0,0.1,0.995021,0.995021
0,0.133333,0.991176,0.991176
0,0.166667,0.98627,0.98627
0,0.2,0.980328,0.980328
0,0.233333,0.973382,0.973382
0,0.266667,0.965468,0.965468
0,0.3,0.956628,0.956628
0,0.333333,0.946905,0.946905
0,0.366667,0.936348,0.936348
0,0.4,0.925007,0.925007
0,0.433333,0.912936,0.912936
0,0.466667,0.900188,0.900188
0,0.5,0.886819,0.886819
0,0.533333,0.872886,0.872886
0,0.566667,0.858444,0.858444
0,0.6,0.843551,0.843551
0,0.633333,0.828261,0.828261
0,0.666667,0.812628,0.812628
0,0.7,0.796705,0.796705
0,0.733333,0.780544,0.780544
0,0.766667,0.764194,0.764194
0,0.8,0.7477,0.7477
0,0.833333,0.731108,0.731108
0,0.866667,0.71446,0.71446
0,0.9,0.697795,0.697795
0,0.933333,0.68115,0.68115
0,0.966667,0.664559,0.664559
0,1,0.648054,0.648054
0.0333333,0,0.999445,0.999445
0.0333333,0.0333333,0.997782,0.997868
0.0333333,0.0666667,0.995021,0.995229
0.0333333,0.1,0.991176,0.991546
0.0333333,0.133333,0.98627,0.986843
0.0333333,0.166667,0.980328,0.981146
0.0333333,0.2,0.973382,0.974487
0.0333333,0.233333,0.965468,0.966899
0.0333333,0.266667,0.956628,0.95842
0.0333333,0.3,0.946905,0.949091
0.0333333,0.333333,0.936348,0.938954
0.0333333,0.366667,0.925007,0.928053
0.0333333,0.4,0.912936,0.916435
0.0333333,0.433333,0.900188,0.904145
0.0333333,0.466667,0.886819,0.891231
0.0333333,0.5,0.872886,0.877739
0.0333333,0.533333,0.858444,0.863713
0.0333333,0.566667,0.843551,0.849199
0.0333333,0.6,0.828261,0.834239
0.0333333,0.633333,0.812628,0.818873
0.0333333,0.666667,0.796705,0.80314
0.0333333,0.7,0.780544,0.787074
0.0333333,0.733333,0.764194,0.770708
0.0333333,0.766667,0.7477,0.75407
0.0333333,0.8,0.731108,0.737186
0.0333333,0.833333,0.71446,0.720078
0.0333333,0.866667,0.697795,0.702763
0.0333333,0.9,0.68115,0.685256
0.0333333,0.933333,0.664559,0.667567
0.0333333,0.966667,0.648054,0.649703
0.0333333,1,0.631665,0.631665
0.0666667,0,0.997782,0.997782
0.0666667,0.0333333,0.995021,0.995227
0.0666667,0.0666667,0.991176,0.991645
0.0666667,0.1,0.98627,0.987063
0.0666667,0.133333,0.980328,0.981514
0.0666667,0.166667,0.973382,0.97503
0.0666667,0.2,0.965468,0.967648
0.0666667,0.233333,0.956628,0.959405
0.0666667,0.266667,0.946905,0.950342
