x,u_exact,u_approx
0,0.5,0.519084
0.01,0.5025,0.5223
0.02,0.505,0.525494
0.03,0.507499,0.528666
0.04,0.509999,0.531814
0.05,0.512497,0.534939
0.06,0.514996,0.53804
0.07,0.517493,0.541118
0.08,0.519989,0.544171
0.09,0.522485,0.547199
0.1,0.524979,0.550203
0.11,0.527472,0.553182
0.12,0.529964,0.556136
0.13,0.532454,0.559064
0.14,0.534943,0.561967
0.15,0.53743,0.564844
0.16,0.539915,0.567695
0.17,0.542398,0.570519
0.18,0.544879,0.573317
0.19,0.547358,0.576089
0.2,0.549834,0.578834
0.21,0.552308,0.581553
0.22,0.554779,0.584244
0.23,0.557248,0.586909
0.24,0.559714,0.589546
0.25,0.562177,0.592156
0.26,0.564636,0.59474
0.27,0.567093,0.597296
0.28,0.569546,0.599825
0.29,0.571996,0.602326
0.3,0.574443,0.6048
0.31,0.576885,0.607247
0.32,0.579324,0.609667
0.33,0.581759,0.612059
0.34,0.584191,0.614424
0.35,0.586618,0.616762
0.36,0.58904,0.619073
0.37,0.591459,0.621357
0.38,0.593873,0.623613
0.39,0.596283,0.625843
0.4,0.598688,0.628045
0.41,0.601088,0.630221
0.42,0.603483,0.63237
0.43,0.605874,0.634492
0.44,0.608259,0.636588
0.45,0.610639,0.638658
0.46,0.613014,0.640701
0.47,0.615384,0.642718
0.48,0.617748,0.644709
0.49,0.620106,0.646674
0.5,0.622459,0.648613
0.51,0.624806,0.650527
0.52,0.627148,0.652415
0.53,0.629483,0.654278
0.54,0.631812,0.656116
0.55,0.634136,0.657928
0.56,0.636453,0.659717
0.57,0.638763,0.66148
0.58,0.641067,0.663219
0.59,0.643365,0.664934
0.6,0.645656,0.666625
0.61,0.647941,0.668292
0.62,0.650219,0.669935
0.63,0.652489,0.671555
0.64,0.654753,0.673152
0.65,0.65701,0.674726
0.66,0.65926,0.676277
0.67,0.661503,0.677805
0.68,0.663739,0.679311
0.69,0.665967,0.680795
0.7,0.668188,0.682257
0.71,0.670401,0.683697
0.72,0.672607,0.685116
0.73,0.674805,0.686513
0.74,0.676996,0.687889
0.75,0.679179,0.689245
0.76,0.681354,0.690579
0.77,0.683521,0.691894
0.78,0.68568,0.693188
0.79,0.687831,0.694462
0.8,0.689974,0.695717
0.81,0.69211,0.696952
0.82,0.694236,0.698168
0.83,0.696355,0.699365
0.84,0.698465,0.700543
0.85,0.700567,0.701702
0.86,0.702661,0.702843
0.87,0.704746,0.703966
0.88,0.706822,0.705071
0.89,0.70889,0.706159
0.9,0.71095,0.707229
0.91,0.713,0.708281
0.92,0.715042,0.709317
0.93,0.717075,0.710336
0.94,0.7191,0.711339
0.95,0.721115,0.712325
0.96,0.723122,0.713295
0.97,0.725119,0.714249
0.98,0.727108,0.715187
0.99,0.729088,0.71611
1,0.731059,0.717017
