x,y,u_exact,u_approx
0.000000,0.000000,0.500000,0.039774
0.000000,0.033333,0.508333,0.040299
0.000000,0.066667,0.516660,0.040861
0.000000,0.100000,0.524979,0.041460
0.000000,0.133333,0.533284,0.042095
0.000000,0.166667,0.541570,0.042767
0.000000,0.200000,0.549834,0.043476
0.000000,0.233333,0.558070,0.044223
0.000000,0.266667,0.566274,0.045007
0.000000,0.300000,0.574443,0.045829
0.000000,0.333333,0.582570,0.046689
0.000000,0.366667,0.590653,0.047587
0.000000,0.400000,0.598688,0.048523
0.000000,0.433333,0.606669,0.049497
0.000000,0.466667,0.614594,0.050510
0.000000,0.500000,0.622459,0.051561
0.000000,0.533333,0.630260,0.052651
0.000000,0.566667,0.637994,0.053780
0.000000,0.600000,0.645656,0.054948
0.000000,0.633333,0.653245,0.056155
0.000000,0.666667,0.660756,0.057402
0.000000,0.700000,0.668188,0.058688
0.000000,0.733333,0.675536,0.060014
0.000000,0.766667,0.682799,0.061379
0.000000,0.800000,0.689974,0.062785
0.000000,0.833333,0.697059,0.064231
0.000000,0.866667,0.704052,0.065717
0.000000,0.900000,0.710950,0.067243
0.000000,0.933333,0.717751,0.068810
0.000000,0.966667,0.724455,0.070417
0.000000,1.000000,0.731059,0.072066
0.033333,0.000000,0.508333,0.044095
0.033333,0.033333,0.516660,0.044647
0.033333,0.066667,0.524979,0.045235
0.033333,0.100000,0.533284,0.045860
0.033333,0.133333,0.541570,0.046522
0.033333,0.166667,0.549834,0.047221
0.033333,0.200000,0.558070,0.047957
0.033333,0.233333,0.566274,0.048731
0.033333,0.266667,0.574443,0.049542
0.033333,0.300000,0.582570,0.050390
0.033333,0.333333,0.590653,0.051277
0.033333,0.366667,0.598688,0.052201
0.033333,0.400000,0.606669,0.053164
0.033333,0.433333,0.614594,0.054165
0.033333,0.466667,0.622459,0.055204
0.033333,0.500000,0.630260,0.056282
0.033333,0.533333,0.637994,0.057399
0.033333,0.566667,0.645656,0.058554
0.033333,0.600000,0.653245,0.059749
0.033333,0.633333,0.660756,0.060983
0.033333,0.666667,0.668188,0.062257
0.033333,0.700000,0.675536,0.063570
0.033333,0.733333,0.682799,0.064922
0.033333,0.766667,0.689974,0.066315
0.033333,0.800000,0.697059,0.067747
0.033333,0.833333,0.704052,0.069220
0.033333,0.866667,0.710950,0.070732
0.033333,0.900000,0.717751,0.072286
0.033333,0.933333,0.724455,0.073879
0.033333,0.966667,0.731059,0.075513
0.033333,1.000000,0.737562,0.077188
0.066667,0.000000,0.516660,0.048446
0.066667,0.033333,0.524979,0.049025
0.066667,0.066667,0.533284,0.049639
0.066667,0.100000,0.541570,0.050291
0.066667,0.133333,0.549834,0.050979
0.066667,0.166667,0.558070,0.051705
0.066667,0.200000,0.566274,0.052468
0.066667,0.233333,0.574443,0.053268
0.066667,0.266667,0.582570,0.054105
0.066667,0.300000,0.590653,0.054981
0.066667,0.333333,0.598688,0.055894
0.066667,0.366667,0.606669,0.056845
0.066667,0.400000,0.614594,0.057834
0.066667,0.433333,0.622459,0.058862
0.066667,0.466667,0.630260,0.059928
0.066667,0.500000,0.637994,0.061033
0.066667,0.533333,0.645656,0.062176
0.066667,0.566667,0.653245,0.063359
0.066667,0.600000,0.660756,0.064581
0.066667,0.633333,0.668188,0.065842
0.066667,0.666667,0.675536,0.067142
0.066667,0.700000,0.682799,0.068482
0.066667,0.733333,0.689974,0.069861
0.066667,0.766667,0.697059,0.071280
0.066667,0.800000,0.704052,0.072739
0.066667,0.833333,0.710950,0.074239
0.066667,0.866667,0.717751,0.075778
0.066667,0.900000,0.724455,0.077358
0.066667,0.933333,0.731059,0.078979
0.066667,0.966667,0.737562,0.080640
0.066667,1.000000,0.743962,0.082341
0.100000,0.000000,0.524979,0.052827
0.100000,0.033333,0.533284,0.053432
0.100000,0.066667,0.541570,0.054074
0.100000,0.100000,0.549834,0.054752
0.100000,0.133333,0.558070,0.055467
0.100000,0.166667,0.566274,0.056219
0.100000,0.200000,0.574443,0.057008
0.100000,0.233333,0.582570,0.057835
0.100000,0.266667,0.590653,0.058699
0.100000,0.300000,0.598688,0.059601
0.100000,0.333333,0.606669,0.060541
0.100000,0.366667,0.614594,0.061519
0.100000,0.400000,0.622459,0.062535
0.100000,0.433333,0.630260,0.063590
0.100000,0.466667,0.637994,0.064682
0.100000,0.500000,0.645656,0.065814
0.100000,0.533333,0.653245,0.066984
0.100000,0.566667,0.660756,0.068194
0.100000,0.600000,0.668188,0.069442
0.100000,0.633333,0.675536,0.070730
0.100000,0.666667,0.682799,0.072057
0.100000,0.700000,0.689974,0.073424
0.100000,0.733333,0.697059,0.074830
0.100000,0.766667,0.704052,0.076276
0.100000,0.800000,0.710950,0.077762
0.100000,0.833333,0.717751,0.079288
0.100000,0.866667,0.724455,0.080854
0.100000,0.900000,0.731059,0.082461
0.100000,0.933333,0.737562,0.084108
0.100000,0.966667,0.743962,0.085796
0.100000,1.000000,0.750260,0.087525
0.133333,0.000000,0.533284,0.057239
0.133333,0.033333,0.541570,0.057870
0.133333,0.066667,0.549834,0.058538
0.133333,0.100000,0.558070,0.059243
0.133333,0.133333,0.566274,0.059984
0.133333,0.166667,0.574443,0.060763
0.133333,0.200000,0.582570,0.061579
0.133333,0.233333,0.590653,0.062433
0.133333,0.266667,0.598688,0.063323
0.133333,0.300000,0.606669,0.064252
0.133333,0.333333,0.614594,0.065219
0.133333,0.366667,0.622459,0.066223
0.133333,0.400000,0.630260,0.067266
0.133333,0.433333,0.637994,0.068348
0.133333,0.466667,0.645656,0.069467
0.133333,0.500000,0.653245,0.070626
0.133333,0.533333,0.660756,0.071823
0.133333,0.566667,0.668188,0.073059
0.133333,0.600000,0.675536,0.074334
0.133333,0.633333,0.682799,0.075649
0.133333,0.666667,0.689974,0.077003
0.133333,0.700000,0.697059,0.078396
0.133333,0.733333,0.704052,0.079829
0.133333,0.766667,0.710950,0.081302
0.133333,0.800000,0.717751,0.082815
0.133333,0.833333,0.724455,0.084368
0.133333,0.866667,0.731059,0.085961
0.133333,0.900000,0.737562,0.087595
0.133333,0.933333,0.743962,0.089269
0.133333,0.966667,0.750260,0.090984
0.133333,1.000000,0.756454,0.092739
0.166667,0.000000,0.541570,0.061681
0.166667,0.033333,0.549834,0.062339
0.166667,0.066667,0.558070,0.063034
0.166667,0.100000,0.566274,0.063765
0.166667,0.133333,0.574443,0.064533
0.166667,0.166667,0.582570,0.065338
0.166667,0.200000,0.590653,0.066181
0.166667,0.233333,0.598688,0.067061
0.166667,0.266667,0.606669,0.067979
0.166667,0.300000,0.614594,0.068934
0.166667,0.333333,0.622459,0.069927
0.166667,0.366667,0.630260,0.070959
0.166667,0.400000,0.637994,0.072028
0.166667,0.433333,0.645656,0.073137
0.166667,0.466667,0.653245,0.074283
0.166667,0.500000,0.660756,0.075468
0.166667,0.533333,0.668188,0.076692
0.166667,0.566667,0.675536,0.077955
0.166667,0.600000,0.682799,0.079257
0.166667,0.633333,0.689974,0.080599
0.166667,0.666667,0.697059,0.081980
0.166667,0.700000,0.704052,0.083400
0.166667,0.733333,0.710950,0.084860
0.166667,0.766667,0.717751,0.086360
0.166667,0.800000,0.724455,0.087900
0.166667,0.833333,0.731059,0.089479
0.166667,0.866667,0.737562,0.091099
0.166667,0.900000,0.743962,0.092760
0.166667,0.933333,0.750260,0.094461
0.166667,0.966667,0.756454,0.096202
0.166667,1.000000,0.762542,0.097985
0.200000,0.000000,0.549834,0.066155
0.200000,0.033333,0.558070,0.066839
0.200000,0.066667,0.566274,0.067560
0.200000,0.100000,0.574443,0.068318
0.200000,0.133333,0.582570,0.069113
0.200000,0.166667,0.590653,0.069944
0.200000,0.200000,0.598688,0.070814
0.200000,0.233333,0.606669,0.071720
0.200000,0.266667,0.614594,0.072665
0.200000,0.300000,0.622459,0.073647
0.200000,0.333333,0.630260,0.074667
0.200000,0.366667,0.637994,0.075725
0.200000,0.400000,0.645656,0.076822
0.200000,0.433333,0.653245,0.077956
0.200000,0.466667,0.660756,0.079130
0.200000,0.500000,0.668188,0.080342
0.200000,0.533333,0.675536,0.081593
0.200000,0.566667,0.682799,0.082883
0.200000,0.600000,0.689974,0.084212
0.200000,0.633333,0.697059,0.085580
0.200000,0.666667,0.704052,0.086988
0.200000,0.700000,0.710950,0.088435
0.200000,0.733333,0.717751,0.089922
0.200000,0.766667,0.724455,0.091448
0.200000,0.800000,0.731059,0.093015
0.200000,0.833333,0.737562,0.094622
0.200000,0.866667,0.743962,0.096269
0.200000,0.900000,0.750260,0.097956
0.200000,0.933333,0.756454,0.099684
0.200000,0.966667,0.762542,0.101452
0.200000,1.000000,0.768525,0.103261
0.233333,0.000000,0.558070,0.070659
0.233333,0.033333,0.566274,0.071370
0.233333,0.066667,0.574443,0.072118
0.233333,0.100000,0.582570,0.072902
0.233333,0.133333,0.590653,0.073723
0.233333,0.166667,0.598688,0.074582
0.233333,0.200000,0.606669,0.075478
0.233333,0.233333,0.614594,0.076411
0.233333,0.266667,0.622459,0.077382
0.233333,0.300000,0.630260,0.078391
0.233333,0.333333,0.637994,0.079438
0.233333,0.366667,0.645656,0.080523
0.233333,0.400000,0.653245,0.081646
0.233333,0.433333,0.660756,0.082808
0.233333,0.466667,0.668188,0.084008
0.233333,0.500000,0.675536,0.085247
0.233333,0.533333,0.682799,0.086525
0.233333,0.566667,0.689974,0.087841
0.233333,0.600000,0.697059,0.089197
0.233333,0.633333,0.704052,0.090593
0.233333,0.666667,0.710950,0.092027
0.233333,0.700000,0.717751,0.093501
0.233333,0.733333,0.724455,0.095015
0.233333,0.766667,0.731059,0.096569
0.233333,0.800000,0.737562,0.098162
0.233333,0.833333,0.743962,0.099796
0.233333,0.866667,0.750260,0.101470
0.233333,0.900000,0.756454,0.103184
0.233333,0.933333,0.762542,0.104939
0.233333,0.966667,0.768525,0.106734
0.233333,1.000000,0.774401,0.108570
0.266667,0.000000,0.566274,0.075196
0.266667,0.033333,0.574443,0.075933
0.266667,0.066667,0.582570,0.076707
0.266667,0.100000,0.590653,0.077518
0.266667,0.133333,0.598688,0.078366
0.266667,0.166667,0.606669,0.079251
0.266667,0.200000,0.614594,0.080174
0.266667,0.233333,0.622459,0.081134
0.266667,0.266667,0.630260,0.082132
0.266667,0.300000,0.637994,0.083167
0.266667,0.333333,0.645656,0.084241
0.266667,0.366667,0.653245,0.085353
0.266667,0.400000,0.660756,0.086503
0.266667,0.433333,0.668188,0.087691
0.266667,0.466667,0.675536,0.088918
0.266667,0.500000,0.682799,0.090184
0.266667,0.533333,0.689974,0.091489
0.266667,0.566667,0.697059,0.092832
0.266667,0.600000,0.704052,0.094215
0.266667,0.633333,0.710950,0.095637
0.266667,0.666667,0.717751,0.097099
0.266667,0.700000,0.724455,0.098600
0.266667,0.733333,0.731059,0.100140
0.266667,0.766667,0.737562,0.101721
0.266667,0.800000,0.743962,0.103342
0.266667,0.833333,0.750260,0.105002
0.266667,0.866667,0.756454,0.106703
0.266667,0.900000,0.762542,0.108444
0.266667,0.933333,0.768525,0.110226
0.266667,0.966667,0.774401,0.112048
0.266667,1.000000,0.780172,0.113911
0.300000,0.000000,0.574443,0.079764
0.300000,0.033333,0.582570,0.080528
0.300000,0.066667,0.590653,0.081329
0.300000,0.100000,0.598688,0.082166
0.300000,0.133333,0.606669,0.083041
0.300000,0.166667,0.614594,0.083953
0.300000,0.200000,0.622459,0.084902
0.300000,0.233333,0.630260,0.085889
0.300000,0.266667,0.637994,0.086913
0.300000,0.300000,0.645656,0.087976
0.300000,0.333333,0.653245,0.089076
0.300000,0.366667,0.660756,0.090215
0.300000,0.400000,0.668188,0.091391
0.300000,0.433333,0.675536,0.092607
0.300000,0.466667,0.682799,0.093861
0.300000,0.500000,0.689974,0.095153
0.300000,0.533333,0.697059,0.096485
0.300000,0.566667,0.704052,0.097855
0.300000,0.600000,0.710950,0.099265
0.300000,0.633333,0.717751,0.100714
0.300000,0.666667,0.724455,0.102202
0.300000,0.700000,0.731059,0.103730
0.300000,0.733333,0.737562,0.105298
0.300000,0.766667,0.743962,0.106906
0.300000,0.800000,0.750260,0.108553
0.300000,0.833333,0.756454,0.110241
0.300000,0.866667,0.762542,0.111968
0.300000,0.900000,0.768525,0.113737
0.300000,0.933333,0.774401,0.115545
0.300000,0.966667,0.780172,0.117394
0.300000,1.000000,0.785835,0.119284
0.333333,0.000000,0.582570,0.084365
0.333333,0.033333,0.590653,0.085156
0.333333,0.066667,0.598688,0.085983
0.333333,0.100000,0.606669,0.086847
0.333333,0.133333,0.614594,0.087748
0.333333,0.166667,0.622459,0.088687
0.333333,0.200000,0.630260,0.089662
0.333333,0.233333,0.637994,0.090676
