x,y,u_exact,u_approx
0,0,0.5,0.482952
0,0.0333333,0.508333,0.482952
0,0.0666667,0.51666,0.482952
0,0.1,0.524979,0.482952
0,0.133333,0.533284,0.482952
0,0.166667,0.54157,0.482952
0,0.2,0.549834,0.482952
0,0.233333,0.55807,0.482952
0,0.266667,0.566274,0.482952
0,0.3,0.574443,0.482952
0,0.333333,0.58257,0.482952
0,0.366667,0.590653,0.482952
0,0.4,0.598688,0.482952
0,0.433333,0.606669,0.482952
0,0.466667,0.614594,0.482952
0,0.5,0.622459,0.482952
0,0.533333,0.63026,0.482952
0,0.566667,0.637994,0.482952
0,0.6,0.645656,0.482952
0,0.633333,0.653245,0.482952
0,0.666667,0.660756,0.482952
0,0.7,0.668188,0.482952
0,0.733333,0.675536,0.482952
0,0.766667,0.682799,0.482952
0,0.8,0.689974,0.482952
0,0.833333,0.697059,0.482952
0,0.866667,0.704052,0.482952
0,0.9,0.71095,0.482952
0,0.933333,0.717751,0.482952
0,0.966667,0.724455,0.482952
0,1,0.731059,0.482952
0.0333333,0,0.508333,0.482952
0.0333333,0.0333333,0.51666,0.484063
0.0333333,0.0666667,0.524979,0.485174
0.0333333,0.1,0.533284,0.486286
0.0333333,0.133333,0.54157,0.487397
0.0333333,0.166667,0.549834,0.488508
0.0333333,0.2,0.55807,0.489619
0.0333333,0.233333,0.566274,0.49073
0.0333333,0.266667,0.574443,0.491841
0.0333333,0.3,0.58257,0.492952
0.0333333,0.333333,0.590653,0.494063
0.0333333,0.366667,0.598688,0.495174
0.0333333,0.4,0.606669,0.496286
0.0333333,0.433333,0.614594,0.497397
0.0333333,0.466667,0.622459,0.498508
0.0333333,0.5,0.63026,0.499619
0.0333333,0.533333,0.637994,0.50073
0.0333333,0.566667,0.645656,0.501841
0.0333333,0.6,0.653245,0.502952
0.0333333,0.633333,0.660756,0.504063
0.0333333,0.666667,0.668188,0.505174
0.0333333,0.7,0.675536,0.506286
0.0333333,0.733333,0.682799,0.507397
0.0333333,0.766667,0.689974,0.508508
0.0333333,0.8,0.697059,0.509619
