x,u_exact,u_approx
0,0,0
0.01,0.00999967,0.00735752
0.02,0.0199973,0.0147146
0.03,0.029991,0.022071
0.04,0.0399787,0.0294261
0.05,0.0499584,0.0367796
0.06,0.0599281,0.0441312
0.07,0.0698859,0.0514804
0.08,0.0798298,0.0588267
0.09,0.0897578,0.0661699
0.1,0.099668,0.0735095
0.11,0.109558,0.0808452
0.12,0.119427,0.0881764
0.13,0.129273,0.0955029
0.14,0.139092,0.102824
0.15,0.148885,0.11014
0.16,0.158649,0.11745
0.17,0.168381,0.124753
0.18,0.178081,0.13205
0.19,0.187746,0.139339
0.2,0.197375,0.146621
0.21,0.206966,0.153895
0.22,0.216518,0.161161
0.23,0.226028,0.168418
0.24,0.235496,0.175666
0.25,0.244919,0.182904
0.26,0.254296,0.190133
0.27,0.263625,0.197351
0.28,0.272905,0.204558
0.29,0.282135,0.211755
0.3,0.291313,0.21894
0.31,0.300437,0.226113
0.32,0.309507,0.233274
0.33,0.318521,0.240422
0.34,0.327477,0.247557
0.35,0.336376,0.254679
0.36,0.345214,0.261787
0.37,0.353992,0.268881
0.38,0.362707,0.27596
0.39,0.37136,0.283024
0.4,0.379949,0.290073
0.41,0.388473,0.297107
0.42,0.39693,0.304124
0.43,0.405321,0.311125
0.44,0.413644,0.318109
0.45,0.421899,0.325075
0.46,0.430084,0.332025
0.47,0.438199,0.338956
0.48,0.446244,0.345869
0.49,0.454216,0.352763
0.5,0.462117,0.359638
0.51,0.469945,0.366493
0.52,0.4777,0.373329
0.53,0.485381,0.380144
0.54,0.492988,0.386939
0.55,0.50052,0.393713
0.56,0.507977,0.400466
0.57,0.515359,0.407197
0.58,0.522665,0.413906
0.59,0.529896,0.420592
0.6,0.53705,0.427256
0.61,0.544127,0.433896
0.62,0.551128,0.440513
0.63,0.558052,0.447107
0.64,0.5649,0.453676
0.65,0.57167,0.46022
0.66,0.578363,0.46674
0.67,0.58498,0.473234
0.68,0.591519,0.479703
0.69,0.597982,0.486146
0.7,0.604368,0.492562
0.71,0.610677,0.498952
0.72,0.616909,0.505315
0.73,0.623065,0.51165
0.74,0.629145,0.517958
0.75,0.635149,0.524237
0.76,0.641077,0.530489
0.77,0.646929,0.536711
0.78,0.652707,0.542905
0.79,0.658409,0.549069
0.8,0.664037,0.555203
0.81,0.66959,0.561307
0.82,0.67507,0.567381
0.83,0.680476,0.573425
0.84,0.685809,0.579437
0.85,0.691069,0.585418
0.86,0.696258,0.591367
0.87,0.701374,0.597284
0.88,0.706419,0.603169
0.89,0.711394,0.609021
0.9,0.716298,0.61484
0.91,0.721132,0.620626
0.92,0.725897,0.626378
0.93,0.730594,0.632096
0.94,0.735222,0.637781
0.95,0.739783,0.64343
0.96,0.744277,0.649045
0.97,0.748704,0.654625
0.98,0.753066,0.660169
0.99,0.757362,0.665677
1,0.761594,0.67115
