x,u_exact,u_approx
0,0,nan
0.01,0.00999967,0.00885211
0.02,0.0199973,0.0176792
0.03,0.029991,0.0264814
0.04,0.0399787,0.0352586
0.05,0.0499584,0.0440108
0.06,0.0599281,0.052738
0.07,0.0698859,0.0614403
0.08,0.0798298,0.0701176
0.09,0.0897578,0.0787699
0.1,0.099668,0.0873973
0.11,0.109558,0.0959996
0.12,0.119427,0.104577
0.13,0.129273,0.113129
0.14,0.139092,0.121657
0.15,0.148885,0.130159
0.16,0.158649,0.138637
0.17,0.168381,0.147089
0.18,0.178081,0.155517
0.19,0.187746,0.16392
0.2,0.197375,0.172297
0.21,0.206966,0.18065
0.22,0.216518,0.188978
0.23,0.226028,0.19728
0.24,0.235496,0.205558
0.25,0.244919,0.213811
0.26,0.254296,0.222039
0.27,0.263625,0.230241
0.28,0.272905,0.238419
0.29,0.282135,0.246572
0.3,0.291313,0.2547
0.31,0.300437,0.262803
0.32,0.309507,0.270881
0.33,0.318521,0.278934
0.34,0.327477,0.286962
0.35,0.336376,0.294965
0.36,0.345214,0.302943
0.37,0.353992,0.310896
0.38,0.362707,0.318824
0.39,0.37136,0.326727
0.4,0.379949,0.334605
0.41,0.388473,0.342458
0.42,0.39693,0.350287
0.43,0.405321,0.35809
0.44,0.413644,0.365868
0.45,0.421899,0.373621
0.46,0.430084,0.38135
0.47,0.438199,0.389053
0.48,0.446244,0.396732
0.49,0.454216,0.404385
0.5,0.462117,0.412013
0.51,0.469945,0.419617
0.52,0.4777,0.427195
0.53,0.485381,0.434749
0.54,0.492988,0.442277
0.55,0.50052,0.449781
0.56,0.507977,0.457259
0.57,0.515359,0.464713
0.58,0.522665,0.472142
0.59,0.529896,0.479545
0.6,0.53705,0.486924
0.61,0.544127,0.494278
0.62,0.551128,0.501607
0.63,0.558052,0.50891
0.64,0.5649,0.516189
0.65,0.57167,0.523443
0.66,0.578363,0.530672
0.67,0.58498,0.537876
0.68,0.591519,0.545055
0.69,0.597982,0.552209
0.7,0.604368,0.559338
0.71,0.610677,0.566442
0.72,0.616909,0.573521
0.73,0.623065,0.580575
0.74,0.629145,0.587604
0.75,0.635149,0.594608
0.76,0.641077,0.601587
0.77,0.646929,0.608541
0.78,0.652707,0.61547
0.79,0.658409,0.622374
0.8,0.664037,0.629254
0.81,0.66959,0.636108
0.82,0.67507,0.642937
0.83,0.680476,0.649742
0.84,0.685809,0.656521
0.85,0.691069,0.663275
0.86,0.696258,0.670005
0.87,0.701374,0.676709
0.88,0.706419,0.683389
0.89,0.711394,0.690043
0.9,0.716298,0.696673
0.91,0.721132,0.703277
0.92,0.725897,0.709857
0.93,0.730594,0.716411
0.94,0.735222,0.722941
0.95,0.739783,0.729446
0.96,0.744277,0.735925
0.97,0.748704,0.74238
0.98,0.753066,0.74881
0.99,0.757362,0.755214
1,0.761594,0.761594
