x,u_exact,u_approx
0.0,0.0,0.0
0.01,0.00999967,0.00999966667999946
0.02,0.0199973,0.019997333759930933
0.03,0.029991,0.029991003238820143
0.04,0.0399787,0.03997868031116357
0.05,0.0499584,0.04995837495787998
0.06,0.0599281,0.0599281035291435
0.07,0.0698859,0.069885890316429
0.08,0.0798298,0.07982976911113136
0.09,0.0897578,0.0897577847471601
0.1,0.099668,0.09966799462495582
0.11,0.109558,0.10955847021442953
0.12,0.119427,0.11942729853438588
0.13,0.129273,0.12927258360605834
0.14,0.139092,0.13909244787845804
0.15,0.148885,0.14888503362331798
0.16,0.158649,0.1586485042974989
0.17,0.168381,0.1683810458708147
0.18,0.178081,0.1780808681173302
0.19,0.187746,0.18774620586828542
0.2,0.197375,0.197375320224904
0.21,0.206966,0.20696649972945258
0.22,0.216518,0.21651806149302882
0.23,0.226028,0.22602835227867096
0.24,0.235496,0.23549574953849794
0.25,0.244919,0.24491866240370913
0.26,0.254296,0.25429553262639115
0.27,0.263625,0.26362483547220333
0.28,0.272905,0.27290508056313273
0.29,0.282135,0.28213481266963414
0.3,0.291313,0.2913126124515909
0.31,0.300437,0.3004370971476541
0.32,0.309507,0.30950692121263845
0.33,0.318521,0.31852077690277086
0.34,0.327477,0.32747739480870536
0.35,0.336376,0.3363755443363322
0.36,0.345214,0.3452140341355209
0.37,0.353992,0.35399171247704597
0.38,0.362707,0.3627074675780511
0.39,0.37136,0.3713602278765077
0.4,0.379949,0.3799489622552249
0.41,0.388473,0.388472680216061
0.42,0.39693,0.39693043200507755
0.43,0.405321,0.405321308689463
0.44,0.413644,0.41364444218713514
0.45,0.421899,0.42189900525000795
0.46,0.430084,0.4300842114019795
0.47,0.438199,0.43819931483276775
0.48,0.446244,0.4462436102487796
0.49,0.454216,0.4542164326822591
0.5,0.462117,0.46211715726000974
0.51,0.469945,0.46994519893303766
0.52,0.4777,0.477700012168498
0.53,0.485381,0.48538109060537155
0.54,0.492988,0.49298796667532435
0.55,0.50052,0.5005202111902353
0.56,0.507977,0.5079774328978962
0.57,0.515359,0.5153592780074097
0.58,0.522665,0.5226654296858209
0.59,0.529896,0.5298956075275294
0.6,0.53705,0.5370495669980353
0.61,0.544127,0.5441270988535675
0.62,0.551128,0.5511280285381469
0.63,0.558052,0.5580522155596244
0.64,0.5649,0.5648995528462251
0.65,0.57167,0.5716699660851172
0.66,0.578363,0.5783634130445058
0.67,0.58498,0.5849798828807288
0.68,0.591519,0.5915193954318165
0.69,0.597982,0.5979820004989412
0.7,0.604368,0.6043677771171635
0.71,0.610677,0.6106768328168442
0.72,0.616909,0.616909302877065
0.73,0.623065,0.623065349572361
0.74,0.629145,0.6291451614140355
0.75,0.635149,0.6351489523872873
0.76,0.641077,0.6410769611853464
0.77,0.646929,0.6469294504417666
0.78,0.652707,0.65270670596199
0.79,0.658409,0.658409035955251
0.8,0.664037,0.664036770267849
0.81,0.66959,0.6695902596187708
0.82,0.67507,0.6750698748386078
0.83,0.680476,0.6804760061126619
0.84,0.685809,0.6858090622290945
0.85,0.691069,0.6910694698329306
0.86,0.696258,0.6962576726866814
0.87,0.701374,0.7013741309383125
0.88,0.706419,0.7064193203972352
0.89,0.711394,0.7113937318189626
0.9,0.716298,0.7162978701990245
0.91,0.721132,0.7211322540766999
0.92,0.725897,0.7258974148490807
0.93,0.730594,0.7305938960959438
0.94,0.735222,0.7352222529158692
0.95,0.739783,0.7397830512740042
0.96,0.744277,0.7442768673618373
0.97,0.748704,0.7487042869693087
0.98,0.753066,0.753065904869552
0.99,0.757362,0.7573623242165263
1.0,0.761594,0.7615941559557649
