x,y,u_exact,u_approx
0,0,0,0
0,0.0333333,0.0316788,0.0333333
0,0.0666667,0.06343,0.0666667
0,0.1,0.0953226,0.1
0,0.133333,0.12742,0.133333
0,0.166667,0.159775,0.166667
0,0.2,0.192432,0.2
0,0.233333,0.225419,0.233333
0,0.266667,0.258753,0.266667
0,0.3,0.292432,0.3
0,0.333333,0.326442,0.333333
0,0.366667,0.360753,0.366667
0,0.4,0.395323,0.4
0,0.433333,0.430097,0.433333
0,0.466667,0.465012,0.466667
0,0.5,0.5,0.5
0,0.533333,0.534988,0.533333
0,0.566667,0.569903,0.566667
0,0.6,0.604677,0.6
0,0.633333,0.639247,0.633333
0,0.666667,0.673558,0.666667
0,0.7,0.707568,0.7
0,0.733333,0.741247,0.733333
0,0.766667,0.774581,0.766667
0,0.8,0.807568,0.8
0,0.833333,0.840225,0.833333
0,0.866667,0.87258,0.866667
0,0.9,0.904677,0.9
0,0.933333,0.93657,0.933333
0,0.966667,0.968321,0.966667
0,1,1,1
0.0333333,0,0,0
0.0333333,0.0333333,0.0317757,0.0333333
0.0333333,0.0666667,0.0636195,0.0666667
0.0333333,0.1,0.0955964,0.1
0.0333333,0.133333,0.127766,0.133333
0.0333333,0.166667,0.160179,0.166667
0.0333333,0.2,0.192875,0.2
0.0333333,0.233333,0.225883,0.233333
0.0333333,0.266667,0.259216,0.266667
0.0333333,0.3,0.292875,0.3
0.0333333,0.333333,0.326845,0.333333
0.0333333,0.366667,0.361099,0.366667
0.0333333,0.4,0.395596,0.4
0.0333333,0.433333,0.430286,0.433333
0.0333333,0.466667,0.465109,0.466667
0.0333333,0.5,0.5,0.5
0.0333333,0.533333,0.534891,0.533333
0.0333333,0.566667,0.569714,0.566667
0.0333333,0.6,0.604404,0.6
0.0333333,0.633333,0.638901,0.633333
0.0333333,0.666667,0.673155,0.666667
0.0333333,0.7,0.707125,0.7
0.0333333,0.733333,0.740784,0.733333
0.0333333,0.766667,0.774117,0.766667
0.0333333,0.8,0.807125,0.8
0.0333333,0.833333,0.839821,0.833333
0.0333333,0.866667,0.872234,0.866667
0.0333333,0.9,0.904404,0.9
0.0333333,0.933333,0.936381,0.933333
0.0333333,0.966667,0.968224,0.966667
0.0333333,1,1,1
0.0666667,0,0,0
0.0666667,0.0333333,0.0318669,0.0333333
0.0666667,0.0666667,0.0637979,0.0666667
0.0666667,0.1,0.0958543,0.1
0.0666667,0.133333,0.128092,0.133333
0.0666667,0.166667,0.160558,0.166667
0.0666667,0.2,0.193292,0.2
0.0666667,0.233333,0.226319,0.233333
0.0666667,0.266667,0.259652,0.266667
0.0666667,0.3,0.293292,0.3
0.0666667,0.333333,0.327225,0.333333
0.0666667,0.366667,0.361425,0.366667
0.0666667,0.4,0.395854,0.4
0.0666667,0.433333,0.430465,0.433333
0.0666667,0.466667,0.4652,0.466667
0.0666667,0.5,0.5,0.5
0.0666667,0.533333,0.5348,0.533333
0.0666667,0.566667,0.569535,0.566667
0.0666667,0.6,0.604146,0.6
0.0666667,0.633333,0.638575,0.633333
0.0666667,0.666667,0.672775,0.666667
0.0666667,0.7,0.706708,0.7
0.0666667,0.733333,0.740348,0.733333
0.0666667,0.766667,0.773681,0.766667
0.0666667,0.8,0.806708,0.8
0.0666667,0.833333,0.839442,0.833333
0.0666667,0.866667,0.871908,0.866667
0.0666667,0.9,0.904146,0.9
0.0666667,0.933333,0.936202,0.933333
0.0666667,0.966667,0.968133,0.966667
0.0666667,1,1,1
0.1,0,0,0
0.1,0.0333333,0.0319528,0.0333333
0.1,0.0666667,0.0639659,0.0666667
0.1,0.1,0.096097,0.1
0.1,0.133333,0.128399,0.133333
0.1,0.166667,0.160916,0.166667
0.1,0.2,0.193685,0.2
0.1,0.233333,0.22673,0.233333
0.1,0.266667,0.260063,0.266667
0.1,0.3,0.293685,0.3
0.1,0.333333,0.327583,0.333333
0.1,0.366667,0.361732,0.366667
0.1,0.4,0.396097,0.4
0.1,0.433333,0.430633,0.433333
0.1,0.466667,0.465286,0.466667
0.1,0.5,0.5,0.5
0.1,0.533333,0.534714,0.533333
0.1,0.566667,0.569367,0.566667
0.1,0.6,0.603903,0.6
0.1,0.633333,0.638268,0.633333
0.1,0.666667,0.672417,0.666667
0.1,0.7,0.706315,0.7
0.1,0.733333,0.739937,0.733333
0.1,0.766667,0.77327,0.766667
0.1,0.8,0.806315,0.8
0.1,0.833333,0.839084,0.833333
0.1,0.866667,0.871601,0.866667
0.1,0.9,0.903903,0.9
0.1,0.933333,0.936034,0.933333
0.1,0.966667,0.968047,0.966667
0.1,1,1,1
0.133333,0,0,0
0.133333,0.0333333,0.0320336,0.0333333
0.133333,0.0666667,0.064124,0.0666667
0.133333,0.1,0.0963255,0.1
0.133333,0.133333,0.128688,0.133333
0.133333,0.166667,0.161253,0.166667
0.133333,0.2,0.194055,0.2
0.133333,0.233333,0.227116,0.233333
0.133333,0.266667,0.26045,0.266667
0.133333,0.3,0.294055,0.3
0.133333,0.333333,0.327919,0.333333
0.133333,0.366667,0.362021,0.366667
0.133333,0.4,0.396326,0.4
0.133333,0.433333,0.430791,0.433333
0.133333,0.466667,0.465367,0.466667
0.133333,0.5,0.5,0.5
0.133333,0.533333,0.534633,0.533333
0.133333,0.566667,0.569209,0.566667
0.133333,0.6,0.603674,0.6
0.133333,0.633333,0.637979,0.633333
0.133333,0.666667,0.672081,0.666667
0.133333,0.7,0.705945,0.7
0.133333,0.733333,0.73955,0.733333
0.133333,0.766667,0.772884,0.766667
0.133333,0.8,0.805945,0.8
0.133333,0.833333,0.838747,0.833333
0.133333,0.866667,0.871312,0.866667
0.133333,0.9,0.903674,0.9
0.133333,0.933333,0.935876,0.933333
0.133333,0.966667,0.967966,0.966667
0.133333,1,1,1
0.166667,0,0,0
0.166667,0.0333333,0.0321097,0.0333333
0.166667,0.0666667,0.0642729,0.0666667
0.166667,0.1,0.0965407,0.1
0.166667,0.133333,0.12896,0.133333
0.166667,0.166667,0.16157,0.166667
0.166667,0.2,0.194403,0.2
0.166667,0.233333,0.22748,0.233333
0.166667,0.266667,0.260814,0.266667
0.166667,0.3,0.294403,0.3
0.166667,0.333333,0.328236,0.333333
0.166667,0.366667,0.362293,0.366667
0.166667,0.4,0.396541,0.4
0.166667,0.433333,0.43094,0.433333
0.166667,0.466667,0.465443,0.466667
0.166667,0.5,0.5,0.5
0.166667,0.533333,0.534557,0.533333
0.166667,0.566667,0.56906,0.566667
0.166667,0.6,0.603459,0.6
0.166667,0.633333,0.637707,0.633333
0.166667,0.666667,0.671764,0.666667
0.166667,0.7,0.705597,0.7
0.166667,0.733333,0.739186,0.733333
0.166667,0.766667,0.77252,0.766667
0.166667,0.8,0.805597,0.8
0.166667,0.833333,0.83843,0.833333
0.166667,0.866667,0.87104,0.866667
0.166667,0.9,0.903459,0.9
0.166667,0.933333,0.935727,0.933333
0.166667,0.966667,0.96789,0.966667
0.166667,1,1,1
0.2,0,0,0
0.2,0.0333333,0.0321814,0.0333333
0.2,0.0666667,0.064413,0.0666667
0.2,0.1,0.0967432,0.1
0.2,0.133333,0.129216,0.133333
0.2,0.166667,0.161868,0.166667
0.2,0.2,0.19473,0.2
0.2,0.233333,0.227823,0.233333
0.2,0.266667,0.261156,0.266667
0.2,0.3,0.29473,0.3
0.2,0.333333,0.328535,0.333333
0.2,0.366667,0.362549,0.366667
0.2,0.4,0.396743,0.4
0.2,0.433333,0.43108,0.433333
0.2,0.466667,0.465515,0.466667
0.2,0.5,0.5,0.5
0.2,0.533333,0.534485,0.533333
0.2,0.566667,0.56892,0.566667
0.2,0.6,0.603257,0.6
0.2,0.633333,0.637451,0.633333
0.2,0.666667,0.671465,0.666667
0.2,0.7,0.70527,0.7
0.2,0.733333,0.738844,0.733333
0.2,0.766667,0.772177,0.766667
0.2,0.8,0.80527,0.8
0.2,0.833333,0.838132,0.833333
0.2,0.866667,0.870784,0.866667
0.2,0.9,0.903257,0.9
0.2,0.933333,0.935587,0.933333
0.2,0.966667,0.967819,0.966667
0.2,1,1,1
0.233333,0,0,0
