x,u_exact,u_approx
0.000000,0.000000,0.036752
0.010000,0.000050,0.035951
0.020000,0.000200,0.035153
0.030000,0.000450,0.034356
0.040000,0.000800,0.033562
0.050000,0.001250,0.032769
0.060000,0.001800,0.031978
0.070000,0.002450,0.031189
0.080000,0.003200,0.030402
0.090000,0.004050,0.029617
0.100000,0.005000,0.028834
0.110000,0.006050,0.028053
0.120000,0.007200,0.027274
0.130000,0.008450,0.026497
0.140000,0.009800,0.025722
0.150000,0.011250,0.024949
0.160000,0.012800,0.024178
0.170000,0.014450,0.023408
0.180000,0.016200,0.022641
0.190000,0.018050,0.021876
0.200000,0.020000,0.021113
0.210000,0.022050,0.020352
0.220000,0.024200,0.019592
0.230000,0.026450,0.018835
0.240000,0.028800,0.018080
0.250000,0.031250,0.017327
0.260000,0.033800,0.016576
0.270000,0.036450,0.015827
0.280000,0.039200,0.015080
0.290000,0.042050,0.014335
0.300000,0.045000,0.013592
0.310000,0.048050,0.012851
0.320000,0.051200,0.012112
0.330000,0.054450,0.011375
0.340000,0.057800,0.010640
0.350000,0.061250,0.009908
0.360000,0.064800,0.009177
0.370000,0.068450,0.008449
0.380000,0.072200,0.007722
0.390000,0.076050,0.006998
0.400000,0.080000,0.006276
0.410000,0.084050,0.005556
0.420000,0.088200,0.004838
0.430000,0.092450,0.004122
0.440000,0.096800,0.003408
0.450000,0.101250,0.002697
0.460000,0.105800,0.001987
0.470000,0.110450,0.001280
0.480000,0.115200,0.000575
0.490000,0.120050,-0.000128
0.500000,0.125000,-0.000829
0.510000,0.130050,-0.001527
0.520000,0.135200,-0.002224
0.530000,0.140450,-0.002918
0.540000,0.145800,-0.003610
0.550000,0.151250,-0.004300
0.560000,0.156800,-0.004988
0.570000,0.162450,-0.005674
0.580000,0.168200,-0.006357
0.590000,0.174050,-0.007038
0.600000,0.180000,-0.007717
0.610000,0.186050,-0.008394
0.620000,0.192200,-0.009068
0.630000,0.198450,-0.009740
0.640000,0.204800,-0.010410
0.650000,0.211250,-0.011078
0.660000,0.217800,-0.011743
0.670000,0.224450,-0.012407
0.680000,0.231200,-0.013067
0.690000,0.238050,-0.013726
0.700000,0.245000,-0.014383
0.710000,0.252050,-0.015037
0.720000,0.259200,-0.015688
0.730000,0.266450,-0.016338
0.740000,0.273800,-0.016985
0.750000,0.281250,-0.017630
0.760000,0.288800,-0.018272
0.770000,0.296450,-0.018913
0.780000,0.304200,-0.019551
0.790000,0.312050,-0.020186
0.800000,0.320000,-0.020819
0.810000,0.328050,-0.021450
0.820000,0.336200,-0.022079
0.830000,0.344450,-0.022705
0.840000,0.352800,-0.023328
0.850000,0.361250,-0.023950
0.860000,0.369800,-0.024569
0.870000,0.378450,-0.025185
0.880000,0.387200,-0.025799
0.890000,0.396050,-0.026411
0.900000,0.405000,-0.027020
0.910000,0.414050,-0.027627
0.920000,0.423200,-0.028232
0.930000,0.432450,-0.028834
0.940000,0.441800,-0.029433
0.950000,0.451250,-0.030030
0.960000,0.460800,-0.030625
0.970000,0.470450,-0.031217
0.980000,0.480200,-0.031807
0.990000,0.490050,-0.032394
1.000000,0.500000,-0.032979
