x,u_exact,u_approx
0,0,0
0.01,5e-05,3.45828e-07
0.02,0.0002,2.76662e-06
0.03,0.00045,9.33735e-06
0.04,0.0008,2.2133e-05
0.05,0.00125,4.32285e-05
0.06,0.0018,7.46988e-05
0.07,0.00245,0.000118619
0.08,0.0032,0.000177064
0.09,0.00405,0.000252109
0.1,0.005,0.000345828
0.11,0.00605,0.000460297
0.12,0.0072,0.000597591
0.13,0.00845,0.000759784
0.14,0.0098,0.000948952
0.15,0.01125,0.00116717
0.16,0.0128,0.00141651
0.17,0.01445,0.00169905
0.18,0.0162,0.00201687
0.19,0.01805,0.00237203
0.2,0.02,0.00276662
0.21,0.02205,0.00320271
0.22,0.0242,0.00368238
0.23,0.02645,0.00420769
0.24,0.0288,0.00478073
0.25,0.03125,0.00540356
0.26,0.0338,0.00607827
0.27,0.03645,0.00680693
0.28,0.0392,0.00759162
0.29,0.04205,0.0084344
0.3,0.045,0.00933735
0.31,0.04805,0.0103026
0.32,0.0512,0.0113321
0.33,0.05445,0.012428
0.34,0.0578,0.0135924
0.35,0.06125,0.0148274
0.36,0.0648,0.0161349
0.37,0.06845,0.0175172
0.38,0.0722,0.0189763
0.39,0.07605,0.0205142
0.4,0.08,0.022133
0.41,0.08405,0.0238348
0.42,0.0882,0.0256217
0.43,0.09245,0.0274957
0.44,0.0968,0.029459
0.45,0.10125,0.0315136
0.46,0.1058,0.0336615
0.47,0.11045,0.0359049
0.48,0.1152,0.0382458
0.49,0.12005,0.0406863
0.5,0.125,0.0432285
0.51,0.13005,0.0458744
0.52,0.1352,0.0486262
0.53,0.14045,0.0514858
0.54,0.1458,0.0544555
0.55,0.15125,0.0575371
0.56,0.1568,0.0607329
0.57,0.16245,0.0640449
0.58,0.1682,0.0674752
0.59,0.17405,0.0710258
0.6,0.18,0.0746988
0.61,0.18605,0.0784964
0.62,0.1922,0.0824205
0.63,0.19845,0.0864732
0.64,0.2048,0.0906567
0.65,0.21125,0.094973
0.66,0.2178,0.0994242
0.67,0.22445,0.104012
0.68,0.2312,0.108739
0.69,0.23805,0.113608
0.7,0.245,0.118619
0.71,0.25205,0.123776
0.72,0.2592,0.12908
0.73,0.26645,0.134533
0.74,0.2738,0.140138
0.75,0.28125,0.145896
0.76,0.2888,0.15181
0.77,0.29645,0.157882
0.78,0.3042,0.164113
0.79,0.31205,0.170507
0.8,0.32,0.177064
0.81,0.32805,0.183787
0.82,0.3362,0.190678
0.83,0.34445,0.19774
0.84,0.3528,0.204974
0.85,0.36125,0.212382
0.86,0.3698,0.219966
0.87,0.37845,0.227729
0.88,0.3872,0.235672
0.89,0.39605,0.243798
0.9,0.405,0.252109
0.91,0.41405,0.260606
0.92,0.4232,0.269292
0.93,0.43245,0.278169
0.94,0.4418,0.287239
0.95,0.45125,0.296504
0.96,0.4608,0.305966
0.97,0.47045,0.315628
0.98,0.4802,0.32549
0.99,0.49005,0.335557
1,0.5,0.345828
