x,u_exact,u_approx
0,0,0
0.01,0.0314108,0.0320066
0.02,0.0627905,0.0638609
0.03,0.0941083,0.0955464
0.04,0.125333,0.127046
0.05,0.156434,0.15834
0.06,0.187381,0.189411
0.07,0.218143,0.220239
0.08,0.24869,0.250802
0.09,0.278991,0.28108
0.1,0.309017,0.311051
0.11,0.338738,0.340694
0.12,0.368125,0.369984
0.13,0.397148,0.3989
0.14,0.425779,0.427418
0.15,0.45399,0.455514
0.16,0.481754,0.483164
0.17,0.509041,0.510346
0.18,0.535827,0.537033
0.19,0.562083,0.563204
0.2,0.587785,0.588832
0.21,0.612907,0.613895
0.22,0.637424,0.638369
0.23,0.661312,0.66223
0.24,0.684547,0.685455
0.25,0.707107,0.708021
0.26,0.728969,0.729905
0.27,0.750111,0.751085
0.28,0.770513,0.771539
0.29,0.790155,0.791246
0.3,0.809017,0.810186
0.31,0.827081,0.828338
0.32,0.844328,0.845683
0.33,0.860742,0.862203
0.34,0.876307,0.877879
0.35,0.891007,0.892694
0.36,0.904827,0.906633
0.37,0.917755,0.91968
0.38,0.929776,0.93182
0.39,0.940881,0.94304
0.4,0.951057,0.953328
0.41,0.960294,0.962671
0.42,0.968583,0.97106
0.43,0.975917,0.978484
0.44,0.982287,0.984935
0.45,0.987688,0.990407
0.46,0.992115,0.994892
0.47,0.995562,0.998386
0.48,0.998027,1.00088
0.49,0.999507,1.00238
0.5,1,1.00289
0.51,0.999507,1.00238
0.52,0.998027,1.00088
0.53,0.995562,0.998386
0.54,0.992115,0.994892
0.55,0.987688,0.990407
0.56,0.982287,0.984935
0.57,0.975917,0.978484
0.58,0.968583,0.97106
0.59,0.960294,0.962671
0.6,0.951057,0.953328
0.61,0.940881,0.94304
0.62,0.929776,0.93182
0.63,0.917755,0.91968
0.64,0.904827,0.906633
0.65,0.891007,0.892694
0.66,0.876307,0.877879
0.67,0.860742,0.862203
0.68,0.844328,0.845683
0.69,0.827081,0.828338
0.7,0.809017,0.810186
0.71,0.790155,0.791246
0.72,0.770513,0.771539
0.73,0.750111,0.751085
0.74,0.728969,0.729905
0.75,0.707107,0.708021
0.76,0.684547,0.685455
0.77,0.661312,0.66223
0.78,0.637424,0.638369
0.79,0.612907,0.613895
0.8,0.587785,0.588832
0.81,0.562083,0.563204
0.82,0.535827,0.537033
0.83,0.509041,0.510346
0.84,0.481754,0.483164
0.85,0.45399,0.455514
0.86,0.425779,0.427418
0.87,0.397148,0.3989
0.88,0.368125,0.369984
0.89,0.338738,0.340694
0.9,0.309017,0.311051
0.91,0.278991,0.28108
0.92,0.24869,0.250802
0.93,0.218143,0.220239
0.94,0.187381,0.189411
0.95,0.156434,0.15834
0.96,0.125333,0.127046
0.97,0.0941083,0.0955464
0.98,0.0627905,0.0638609
0.99,0.0314108,0.0320066
1,1.22465e-16,1.22465e-16
