x,u_exact,u_approx
0,2,1.02747
0.01,1.96078,0.030649
0.02,1.92308,0.0338313
0.03,1.88679,0.0370124
0.04,1.85185,0.0401916
0.05,1.81818,0.0433682
0.06,1.78571,0.0465417
0.07,1.75439,0.0497114
0.08,1.72414,0.0528766
0.09,1.69492,0.0560368
0.1,1.66667,0.0591913
0.11,1.63934,0.0623395
0.12,1.6129,0.0654809
0.13,1.5873,0.0686147
0.14,1.5625,0.0717405
0.15,1.53846,0.0748576
0.16,1.51515,0.0779654
0.17,1.49254,0.0810633
0.18,1.47059,0.0841509
0.19,1.44928,0.0872275
0.2,1.42857,0.0902925
0.21,1.40845,0.0933455
0.22,1.38889,0.0963858
0.23,1.36986,0.099413
0.24,1.35135,0.102427
0.25,1.33333,0.105426
0.26,1.31579,0.108411
0.27,1.2987,0.11138
0.28,1.28205,0.114334
0.29,1.26582,0.117272
0.3,1.25,0.120194
0.31,1.23457,0.123098
0.32,1.21951,0.125985
0.33,1.20482,0.128854
0.34,1.19048,0.131705
0.35,1.17647,0.134538
0.36,1.16279,0.137351
0.37,1.14943,0.140145
0.38,1.13636,0.142919
0.39,1.1236,0.145674
0.4,1.11111,0.148407
0.41,1.0989,0.151121
0.42,1.08696,0.153813
0.43,1.07527,0.156484
0.44,1.06383,0.159133
0.45,1.05263,0.161761
0.46,1.04167,0.164366
0.47,1.03093,0.166949
0.48,1.02041,0.16951
0.49,1.0101,0.172048
0.5,1,0.174562
0.51,0.990099,0.177054
0.52,0.980392,0.179523
0.53,0.970874,0.181968
0.54,0.961538,0.184389
0.55,0.952381,0.186787
0.56,0.943396,0.18916
0.57,0.934579,0.19151
0.58,0.925926,0.193836
0.59,0.917431,0.196137
0.6,0.909091,0.198414
0.61,0.900901,0.200667
0.62,0.892857,0.202895
0.63,0.884956,0.2051
0.64,0.877193,0.207279
0.65,0.869565,0.209434
0.66,0.862069,0.211565
0.67,0.854701,0.213671
0.68,0.847458,0.215752
0.69,0.840336,0.21781
0.7,0.833333,0.219842
0.71,0.826446,0.22185
0.72,0.819672,0.223834
0.73,0.813008,0.225794
0.74,0.806452,0.227729
0.75,0.8,0.22964
0.76,0.793651,0.231527
0.77,0.787402,0.23339
0.78,0.78125,0.235229
0.79,0.775194,0.237044
0.8,0.769231,0.238835
0.81,0.763359,0.240603
0.82,0.757576,0.242347
0.83,0.75188,0.244068
0.84,0.746269,0.245766
0.85,0.740741,0.24744
0.86,0.735294,0.249092
0.87,0.729927,0.25072
0.88,0.724638,0.252326
0.89,0.719424,0.25391
0.9,0.714286,0.255471
0.91,0.70922,0.25701
0.92,0.704225,0.258526
0.93,0.699301,0.260021
0.94,0.694444,0.261494
0.95,0.689655,0.262946
0.96,0.684932,0.264377
0.97,0.680272,0.265786
0.98,0.675676,0.267174
0.99,0.671141,0.268542
1,0.666667,0.269889
