x,y,u_exact,u_approx
0,0,2,0.850878
0,0.0333333,1.875,0.831599
0,0.0666667,1.76471,0.814101
0,0.1,1.66667,0.798175
0,0.133333,1.57895,0.783644
0,0.166667,1.5,0.770358
0,0.2,1.42857,0.758187
0,0.233333,1.36364,0.74702
0,0.266667,1.30435,0.73676
0,0.3,1.25,0.727322
0,0.333333,1.2,0.718633
0,0.366667,1.15385,0.710627
0,0.4,1.11111,0.703248
0,0.433333,1.07143,0.696443
0,0.466667,1.03448,0.690168
0,0.5,1,0.684382
0,0.533333,0.967742,0.679048
0,0.566667,0.9375,0.674133
0,0.6,0.909091,0.669608
0,0.633333,0.882353,0.665446
0,0.666667,0.857143,0.661622
0,0.7,0.833333,0.658114
0,0.733333,0.810811,0.654901
0,0.766667,0.789474,0.651964
0,0.8,0.769231,0.649286
0,0.833333,0.75,0.646849
0,0.866667,0.731707,0.64464
0,0.9,0.714286,0.642643
0,0.933333,0.697674,0.640846
0,0.966667,0.681818,0.639235
0,1,0.666667,0.637799
0.0333333,0,1.875,0.831283
0.0333333,0.0333333,1.76471,0.813209
0.0333333,0.0666667,1.66667,0.796773
0.0333333,0.1,1.57895,0.781786
0.0333333,0.133333,1.5,0.768091
0.0333333,0.166667,1.42857,0.75555
0.0333333,0.2,1.36364,0.744046
0.0333333,0.233333,1.30435,0.733478
0.0333333,0.266667,1.25,0.723757
0.0333333,0.3,1.2,0.714805
0.0333333,0.333333,1.15385,0.706556
0.0333333,0.366667,1.11111,0.698949
0.0333333,0.4,1.07143,0.691931
0.0333333,0.433333,1.03448,0.685455
0.0333333,0.466667,1,0.679478
0.0333333,0.5,0.967742,0.673964
0.0333333,0.533333,0.9375,0.668877
0.0333333,0.566667,0.909091,0.664189
0.0333333,0.6,0.882353,0.659869
0.0333333,0.633333,0.857143,0.655894
0.0333333,0.666667,0.833333,0.652241
0.0333333,0.7,0.810811,0.648888
0.0333333,0.733333,0.789474,0.645816
0.0333333,0.766667,0.769231,0.643006
0.0333333,0.8,0.75,0.640444
0.0333333,0.833333,0.731707,0.638112
0.0333333,0.866667,0.714286,0.635997
0.0333333,0.9,0.697674,0.634085
0.0333333,0.933333,0.681818,0.632364
0.0333333,0.966667,0.666667,0.630821
0.0333333,1,0.652174,0.629445
0.0666667,0,1.76471,0.812912
0.0666667,0.0333333,1.66667,0.795934
0.0666667,0.0666667,1.57895,0.780466
0.0666667,0.1,1.5,0.766339
0.0666667,0.133333,1.42857,0.753408
0.0666667,0.166667,1.36364,0.741551
0.0666667,0.2,1.30435,0.730661
0.0666667,0.233333,1.25,0.720645
0.0666667,0.266667,1.2,0.711421
0.0666667,0.3,1.15385,0.70292
0.0666667,0.333333,1.11111,0.695078
0.0666667,0.366667,1.07143,0.68784
0.0666667,0.4,1.03448,0.681158
0.0666667,0.433333,1,0.674987
0.0666667,0.466667,0.967742,0.669288
0.0666667,0.5,0.9375,0.664027
0.0666667,0.533333,0.909091,0.659171
0.0666667,0.566667,0.882353,0.654693
0.0666667,0.6,0.857143,0.650565
0.0666667,0.633333,0.833333,0.646765
0.0666667,0.666667,0.810811,0.643271
0.0666667,0.7,0.789474,0.640063
0.0666667,0.733333,0.769231,0.637123
0.0666667,0.766667,0.75,0.634433
0.0666667,0.8,0.731707,0.631979
0.0666667,0.833333,0.714286,0.629745
0.0666667,0.866667,0.697674,0.627719
0.0666667,0.9,0.681818,0.625887
0.0666667,0.933333,0.666667,0.624236
