x,y,u_exact,u_approx
0,0,2,2
0,0.0333333,1.875,1.875
0,0.0666667,1.76471,1.76471
0,0.1,1.66667,1.66667
0,0.133333,1.57895,1.57895
0,0.166667,1.5,1.5
0,0.2,1.42857,1.42857
0,0.233333,1.36364,1.36364
0,0.266667,1.30435,1.30435
0,0.3,1.25,1.25
0,0.333333,1.2,1.2
0,0.366667,1.15385,1.15385
0,0.4,1.11111,1.11111
0,0.433333,1.07143,1.07143
0,0.466667,1.03448,1.03448
0,0.5,1,1
0,0.533333,0.967742,0.967742
0,0.566667,0.9375,0.9375
0,0.6,0.909091,0.909091
0,0.633333,0.882353,0.882353
0,0.666667,0.857143,0.857143
0,0.7,0.833333,0.833333
0,0.733333,0.810811,0.810811
0,0.766667,0.789474,0.789474
0,0.8,0.769231,0.769231
0,0.833333,0.75,0.75
0,0.866667,0.731707,0.731707
0,0.9,0.714286,0.714286
0,0.933333,0.697674,0.697674
0,0.966667,0.681818,0.681818
0,1,0.666667,0.666667
0.0333333,0,1.875,1.875
0.0333333,0.0333333,1.76471,1.7726
0.0333333,0.0666667,1.66667,1.68145
0.0333333,0.1,1.57895,1.59823
0.0333333,0.133333,1.5,1.52112
0.0333333,0.166667,1.42857,1.44931
0.0333333,0.2,1.36364,1.38251
0.0333333,0.233333,1.30435,1.32053
0.0333333,0.266667,1.25,1.26316
0.0333333,0.3,1.2,1.21015
0.0333333,0.333333,1.15385,1.1612
0.0333333,0.366667,1.11111,1.11598
0.0333333,0.4,1.07143,1.07416
0.0333333,0.433333,1.03448,1.03545
0.0333333,0.466667,1,0.999554
0.0333333,0.5,0.967742,0.966201
0.0333333,0.533333,0.9375,0.935153
0.0333333,0.566667,0.909091,0.906192
0.0333333,0.6,0.882353,0.879124
0.0333333,0.633333,0.857143,0.853771
0.0333333,0.666667,0.833333,0.829975
0.0333333,0.7,0.810811,0.807595
0.0333333,0.733333,0.789474,0.786501
0.0333333,0.766667,0.769231,0.766578
0.0333333,0.8,0.75,0.747721
0.0333333,0.833333,0.731707,0.729834
0.0333333,0.866667,0.714286,0.712831
0.0333333,0.9,0.697674,0.696633
0.0333333,0.933333,0.681818,0.681168
0.0333333,0.966667,0.666667,0.666368
0.0333333,1,0.652174,0.652174
0.0666667,0,1.76471,1.76471
0.0666667,0.0333333,1.66667,1.68139
0.0666667,0.0666667,1.57895,1.60664
0.0666667,0.1,1.5,1.53646
0.0666667,0.133333,1.42857,1.46903
0.0666667,0.166667,1.36364,1.40405
0.0666667,0.2,1.30435,1.34188
0.0666667,0.233333,1.25,1.283
0.0666667,0.266667,1.2,1.22772
0.0666667,0.3,1.15385,1.17617
0.0666667,0.333333,1.11111,1.12833
0.0666667,0.366667,1.07143,1.08405
0.0666667,0.4,1.03448,1.0431
0.0666667,0.433333,1,1.00525
0.0666667,0.466667,0.967742,0.970234
0.0666667,0.5,0.9375,0.937809
0.0666667,0.533333,0.909091,0.907738
0.0666667,0.566667,0.882353,0.879798
0.0666667,0.6,0.857143,0.853787
0.0666667,0.633333,0.833333,0.829519
0.0666667,0.666667,0.810811,0.806823
0.0666667,0.7,0.789474,0.785546
0.0666667,0.733333,0.769231,0.765547
0.0666667,0.766667,0.75,0.746698
0.0666667,0.8,0.731707,0.728883
0.0666667,0.833333,0.714286,0.711995
0.0666667,0.866667,0.697674,0.695935
0.0666667,0.9,0.681818,0.680616
0.0666667,0.933333,0.666667,0.665953
0.0666667,0.966667,0.652174,0.65187
0.0666667,1,0.638298,0.638298
0.1,0,1.66667,1.66667
0.1,0.0333333,1.57895,1.59804
0.1,0.0666667,1.5,1.53627
0.1,0.1,1.42857,1.47698
0.1,0.133333,1.36364,1.41825
0.1,0.166667,1.30435,1.35992
0.1,0.2,1.25,1.30268
0.1,0.233333,1.2,1.24737
0.1,0.266667,1.15385,1.19469
0.1,0.3,1.11111,1.14508
0.1,0.333333,1.07143,1.09873
0.1,0.366667,1.03448,1.05565
0.1,0.4,1,1.01575
0.1,0.433333,0.967742,0.97885
0.1,0.466667,0.9375,0.944746
0.1,0.5,0.909091,0.913215
0.1,0.533333,0.882353,0.884036
0.1,0.566667,0.857143,0.856994
0.1,0.6,0.833333,0.831884
0.1,0.633333,0.810811,0.808517
0.1,0.666667,0.789474,0.786718
0.1,0.7,0.769231,0.766325
0.1,0.733333,0.75,0.747188
0.1,0.766667,0.731707,0.729172
0.1,0.8,0.714286,0.71215
0.1,0.833333,0.697674,0.696006
0.1,0.866667,0.681818,0.680635
0.1,0.9,0.666667,0.665936
0.1,0.933333,0.652174,0.65182
0.1,0.966667,0.638298,0.638201
0.1,1,0.625,0.625
0.133333,0,1.57895,1.57895
0.133333,0.0333333,1.5,1.52074
0.133333,0.0666667,1.42857,1.46855
0.133333,0.1,1.36364,1.41791
0.133333,0.133333,1.30435,1.36673
0.133333,0.166667,1.25,1.31476
0.133333,0.2,1.2,1.26268
0.133333,0.233333,1.15385,1.21146
0.133333,0.266667,1.11111,1.16199
0.133333,0.3,1.07143,1.11488
0.133333,0.333333,1.03448,1.07052
0.133333,0.366667,1,1.02906
0.133333,0.4,0.967742,0.990516
0.133333,0.433333,0.9375,0.954794
0.133333,0.466667,0.909091,0.921745
0.133333,0.5,0.882353,0.891187
0.133333,0.533333,0.857143,0.862923
0.133333,0.566667,0.833333,0.836752
0.133333,0.6,0.810811,0.812481
0.133333,0.633333,0.789474,0.789923
0.133333,0.666667,0.769231,0.768901
0.133333,0.7,0.75,0.749253
0.133333,0.733333,0.731707,0.730824
0.133333,0.766667,0.714286,0.713474
0.133333,0.8,0.697674,0.69707
0.133333,0.833333,0.681818,0.681489
0.133333,0.866667,0.666667,0.66662
0.133333,0.9,0.652174,0.652356
0.133333,0.933333,0.638298,0.638599
0.133333,0.966667,0.625,0.625257
0.133333,1,0.612245,0.612245
0.166667,0,1.5,1.5
0.166667,0.0333333,1.42857,1.44872
0.166667,0.0666667,1.36364,1.40319
0.166667,0.1,1.30435,1.35909
0.166667,0.133333,1.25,1.31422
0.166667,0.166667,1.2,1.26808
0.166667,0.2,1.15385,1.22116
0.166667,0.233333,1.11111,1.17435
0.166667,0.266667,1.07143,1.12855
0.166667,0.3,1.03448,1.08446
0.166667,0.333333,1,1.04257
0.166667,0.366667,0.967742,1.00316
0.166667,0.4,0.9375,0.966318
0.166667,0.433333,0.909091,0.932047
0.166667,0.466667,0.882353,0.900258
0.166667,0.5,0.857143,0.870813
0.166667,0.533333,0.833333,0.843549
