x,u_exact,u_approx
0,2,0.284961
0.01,1.96078,0.284975
0.02,1.92308,0.285018
0.03,1.88679,0.285089
0.04,1.85185,0.285189
0.05,1.81818,0.285317
0.06,1.78571,0.285474
0.07,1.75439,0.285659
0.08,1.72414,0.285873
0.09,1.69492,0.286115
0.1,1.66667,0.286386
0.11,1.63934,0.286685
0.12,1.6129,0.287012
0.13,1.5873,0.287369
0.14,1.5625,0.287753
0.15,1.53846,0.288166
0.16,1.51515,0.288608
0.17,1.49254,0.289078
0.18,1.47059,0.289577
0.19,1.44928,0.290104
0.2,1.42857,0.29066
0.21,1.40845,0.291244
0.22,1.38889,0.291856
0.23,1.36986,0.292497
0.24,1.35135,0.293166
0.25,1.33333,0.293864
0.26,1.31579,0.294591
0.27,1.2987,0.295345
0.28,1.28205,0.296128
0.29,1.26582,0.29694
0.3,1.25,0.29778
0.31,1.23457,0.298648
0.32,1.21951,0.299544
0.33,1.20482,0.300469
0.34,1.19048,0.301422
0.35,1.17647,0.302404
0.36,1.16279,0.303413
0.37,1.14943,0.304451
0.38,1.13636,0.305517
0.39,1.1236,0.306612
0.4,1.11111,0.307734
0.41,1.0989,0.308884
0.42,1.08696,0.310062
0.43,1.07527,0.311269
0.44,1.06383,0.312503
0.45,1.05263,0.313765
0.46,1.04167,0.315055
0.47,1.03093,0.316372
0.48,1.02041,0.317718
0.49,1.0101,0.319091
0.5,1,0.320491
0.51,0.990099,0.321919
0.52,0.980392,0.323374
0.53,0.970874,0.324857
0.54,0.961538,0.326366
0.55,0.952381,0.327903
0.56,0.943396,0.329467
0.57,0.934579,0.331058
0.58,0.925926,0.332675
0.59,0.917431,0.334319
0.6,0.909091,0.33599
0.61,0.900901,0.337687
0.62,0.892857,0.33941
0.63,0.884956,0.34116
0.64,0.877193,0.342935
0.65,0.869565,0.344736
0.66,0.862069,0.346563
0.67,0.854701,0.348416
0.68,0.847458,0.350293
0.69,0.840336,0.352196
0.7,0.833333,0.354124
0.71,0.826446,0.356076
0.72,0.819672,0.358054
0.73,0.813008,0.360055
0.74,0.806452,0.362081
0.75,0.8,0.36413
0.76,0.793651,0.366204
0.77,0.787402,0.3683
0.78,0.78125,0.37042
0.79,0.775194,0.372563
0.8,0.769231,0.374729
0.81,0.763359,0.376917
0.82,0.757576,0.379127
0.83,0.75188,0.381359
0.84,0.746269,0.383613
0.85,0.740741,0.385888
0.86,0.735294,0.388184
0.87,0.729927,0.3905
0.88,0.724638,0.392838
0.89,0.719424,0.395195
0.9,0.714286,0.397571
0.91,0.70922,0.399968
0.92,0.704225,0.402383
0.93,0.699301,0.404817
0.94,0.694444,0.407269
0.95,0.689655,0.409739
0.96,0.684932,0.412226
0.97,0.680272,0.414731
0.98,0.675676,0.417253
0.99,0.671141,0.41979
1,0.666667,0.422344
