x,y,u_exact,u_approx
0,0,2,1.3454
0,0.0333333,1.875,1.30277
0,0.0666667,1.76471,1.26275
0,0.1,1.66667,1.22511
0,0.133333,1.57895,1.18966
0,0.166667,1.5,1.1562
0,0.2,1.42857,1.12457
0,0.233333,1.36364,1.09462
0,0.266667,1.30435,1.06623
0,0.3,1.25,1.03927
0,0.333333,1.2,1.01365
0,0.366667,1.15385,0.989254
0,0.4,1.11111,0.966007
0,0.433333,1.07143,0.943828
0,0.466667,1.03448,0.922644
0,0.5,1,0.90239
0,0.533333,0.967742,0.883006
0,0.566667,0.9375,0.864438
0,0.6,0.909091,0.846634
0,0.633333,0.882353,0.829549
0,0.666667,0.857143,0.81314
0,0.7,0.833333,0.797368
0,0.733333,0.810811,0.782195
0,0.766667,0.789474,0.76759
0,0.8,0.769231,0.753519
0,0.833333,0.75,0.739956
0,0.866667,0.731707,0.726871
0,0.9,0.714286,0.714242
0,0.933333,0.697674,0.702044
0,0.966667,0.681818,0.690256
0,1,0.666667,0.678857
0.0333333,0,1.875,1.30277
0.0333333,0.0333333,1.76471,1.26275
0.0333333,0.0666667,1.66667,1.22511
0.0333333,0.1,1.57895,1.18966
0.0333333,0.133333,1.5,1.1562
0.0333333,0.166667,1.42857,1.12457
0.0333333,0.2,1.36364,1.09462
0.0333333,0.233333,1.30435,1.06623
0.0333333,0.266667,1.25,1.03927
0.0333333,0.3,1.2,1.01365
0.0333333,0.333333,1.15385,0.989254
0.0333333,0.366667,1.11111,0.966007
0.0333333,0.4,1.07143,0.943828
0.0333333,0.433333,1.03448,0.922644
0.0333333,0.466667,1,0.90239
0.0333333,0.5,0.967742,0.883006
0.0333333,0.533333,0.9375,0.864438
0.0333333,0.566667,0.909091,0.846634
0.0333333,0.6,0.882353,0.829549
0.0333333,0.633333,0.857143,0.81314
0.0333333,0.666667,0.833333,0.797368
0.0333333,0.7,0.810811,0.782195
0.0333333,0.733333,0.789474,0.76759
0.0333333,0.766667,0.769231,0.753519
0.0333333,0.8,0.75,0.739956
0.0333333,0.833333,0.731707,0.726871
0.0333333,0.866667,0.714286,0.714242
0.0333333,0.9,0.697674,0.702044
0.0333333,0.933333,0.681818,0.690256
0.0333333,0.966667,0.666667,0.678857
0.0333333,1,0.652174,0.667828
0.0666667,0,1.76471,1.26275
0.0666667,0.0333333,1.66667,1.22511
0.0666667,0.0666667,1.57895,1.18966
0.0666667,0.1,1.5,1.1562
0.0666667,0.133333,1.42857,1.12457
0.0666667,0.166667,1.36364,1.09462
0.0666667,0.2,1.30435,1.06623
0.0666667,0.233333,1.25,1.03927
0.0666667,0.266667,1.2,1.01365
0.0666667,0.3,1.15385,0.989254
0.0666667,0.333333,1.11111,0.966007
0.0666667,0.366667,1.07143,0.943828
0.0666667,0.4,1.03448,0.922644
0.0666667,0.433333,1,0.90239
0.0666667,0.466667,0.967742,0.883006
0.0666667,0.5,0.9375,0.864438
0.0666667,0.533333,0.909091,0.846634
0.0666667,0.566667,0.882353,0.829549
0.0666667,0.6,0.857143,0.81314
0.0666667,0.633333,0.833333,0.797368
0.0666667,0.666667,0.810811,0.782195
0.0666667,0.7,0.789474,0.76759
0.0666667,0.733333,0.769231,0.753519
0.0666667,0.766667,0.75,0.739956
0.0666667,0.8,0.731707,0.726871
0.0666667,0.833333,0.714286,0.714242
0.0666667,0.866667,0.697674,0.702044
0.0666667,0.9,0.681818,0.690256
0.0666667,0.933333,0.666667,0.678857
0.0666667,0.966667,0.652174,0.667828
0.0666667,1,0.638298,0.657152
0.1,0,1.66667,1.22511
0.1,0.0333333,1.57895,1.18966
0.1,0.0666667,1.5,1.1562
0.1,0.1,1.42857,1.12457
0.1,0.133333,1.36364,1.09462
0.1,0.166667,1.30435,1.06623
0.1,0.2,1.25,1.03927
0.1,0.233333,1.2,1.01365
0.1,0.266667,1.15385,0.989254
0.1,0.3,1.11111,0.966007
0.1,0.333333,1.07143,0.943828
0.1,0.366667,1.03448,0.922644
0.1,0.4,1,0.90239
0.1,0.433333,0.967742,0.883006
0.1,0.466667,0.9375,0.864438
0.1,0.5,0.909091,0.846634
0.1,0.533333,0.882353,0.829549
0.1,0.566667,0.857143,0.81314
0.1,0.6,0.833333,0.797368
