x,u_exact,u_approx
0.000000,0.000000,0.035244
0.010000,0.002995,0.035309
0.020000,0.005993,0.035379
0.030000,0.008996,0.035455
0.040000,0.012007,0.035537
0.050000,0.015029,0.035624
0.060000,0.018065,0.035718
0.070000,0.021117,0.035816
0.080000,0.024188,0.035921
0.090000,0.027280,0.036031
0.100000,0.030398,0.036147
0.110000,0.033542,0.036269
0.120000,0.036717,0.036396
0.130000,0.039925,0.036529
0.140000,0.043169,0.036668
0.150000,0.046451,0.036813
0.160000,0.049776,0.036963
0.170000,0.053145,0.037119
0.180000,0.056562,0.037281
0.190000,0.060030,0.037448
0.200000,0.063552,0.037621
0.210000,0.067131,0.037800
0.220000,0.070771,0.037985
0.230000,0.074474,0.038175
0.240000,0.078244,0.038372
0.250000,0.082085,0.038574
0.260000,0.086000,0.038781
0.270000,0.089992,0.038995
0.280000,0.094065,0.039214
0.290000,0.098222,0.039439
0.300000,0.102469,0.039670
0.310000,0.106807,0.039906
0.320000,0.111241,0.040149
0.330000,0.115776,0.040397
0.340000,0.120415,0.040651
0.350000,0.125162,0.040911
0.360000,0.130022,0.041176
0.370000,0.134999,0.041447
0.380000,0.140097,0.041724
0.390000,0.145322,0.042007
0.400000,0.150677,0.042296
0.410000,0.156168,0.042591
0.420000,0.161799,0.042891
0.430000,0.167576,0.043197
0.440000,0.173504,0.043509
0.450000,0.179588,0.043827
0.460000,0.185834,0.044151
0.470000,0.192247,0.044480
0.480000,0.198833,0.044815
0.490000,0.205598,0.045156
0.500000,0.212548,0.045503
0.510000,0.219689,0.045856
0.520000,0.227028,0.046215
0.530000,0.234572,0.046579
0.540000,0.242326,0.046950
0.550000,0.250299,0.047326
0.560000,0.258497,0.047708
0.570000,0.266928,0.048096
0.580000,0.275599,0.048489
0.590000,0.284517,0.048889
0.600000,0.293692,0.049295
0.610000,0.303132,0.049706
0.620000,0.312844,0.050123
0.630000,0.322838,0.050546
0.640000,0.333122,0.050975
0.650000,0.343706,0.051410
0.660000,0.354600,0.051851
0.670000,0.365813,0.052298
0.680000,0.377355,0.052750
0.690000,0.389236,0.053209
0.700000,0.401468,0.053673
0.710000,0.414061,0.054143
0.720000,0.427027,0.054619
0.730000,0.440378,0.055101
0.740000,0.454124,0.055589
0.750000,0.468280,0.056083
0.760000,0.482857,0.056583
0.770000,0.497868,0.057089
0.780000,0.513328,0.057600
0.790000,0.529250,0.058118
0.800000,0.545648,0.058641
0.810000,0.562537,0.059171
0.820000,0.579932,0.059706
0.830000,0.597850,0.060247
0.840000,0.616305,0.060794
0.850000,0.635315,0.061347
0.860000,0.654898,0.061907
0.870000,0.675069,0.062471
0.880000,0.695848,0.063042
0.890000,0.717254,0.063619
0.900000,0.739305,0.064202
0.910000,0.762021,0.064791
0.920000,0.785424,0.065386
0.930000,0.809533,0.065986
0.940000,0.834371,0.066593
0.950000,0.859960,0.067206
0.960000,0.886323,0.067824
0.970000,0.913483,0.068449
0.980000,0.941466,0.069079
0.990000,0.970296,0.069716
1.000000,1.000000,0.070358
