x,u_exact,u_approx
0,0,0
0.01,0.0029951,6.62364e-05
0.02,0.00599289,0.000132473
0.03,0.00899607,0.000198709
0.04,0.0120074,0.000264946
0.05,0.0150294,0.000331182
0.06,0.0180651,0.000397419
0.07,0.0211169,0.000463655
0.08,0.0241878,0.000529892
0.09,0.0272805,0.000596128
0.1,0.0303977,0.000662364
0.11,0.0335423,0.000728601
0.12,0.036717,0.000794837
0.13,0.0399248,0.000861074
0.14,0.0431686,0.00092731
0.15,0.0464512,0.000993547
0.16,0.0497756,0.00105978
0.17,0.0531448,0.00112602
0.18,0.0565618,0.00119226
0.19,0.0600298,0.00125849
0.2,0.0635518,0.00132473
0.21,0.0671309,0.00139097
0.22,0.0707705,0.0014572
0.23,0.0744739,0.00152344
0.24,0.0782442,0.00158967
0.25,0.0820849,0.00165591
0.26,0.0859996,0.00172215
0.27,0.0899916,0.00178838
0.28,0.0940647,0.00185462
0.29,0.0982224,0.00192086
0.3,0.102469,0.00198709
0.31,0.106807,0.00205333
0.32,0.111241,0.00211957
0.33,0.115776,0.0021858
0.34,0.120415,0.00225204
0.35,0.125162,0.00231828
0.36,0.130022,0.00238451
0.37,0.134999,0.00245075
0.38,0.140097,0.00251699
0.39,0.145322,0.00258322
0.4,0.150677,0.00264946
0.41,0.156168,0.00271569
0.42,0.161799,0.00278193
0.43,0.167576,0.00284817
0.44,0.173504,0.0029144
0.45,0.179588,0.00298064
0.46,0.185834,0.00304688
0.47,0.192247,0.00311311
0.48,0.198833,0.00317935
0.49,0.205598,0.00324559
0.5,0.212548,0.00331182
0.51,0.219689,0.00337806
0.52,0.227028,0.0034443
0.53,0.234572,0.00351053
0.54,0.242326,0.00357677
0.55,0.250299,0.003643
0.56,0.258497,0.00370924
0.57,0.266928,0.00377548
0.58,0.275599,0.00384171
0.59,0.284517,0.00390795
0.6,0.293692,0.00397419
0.61,0.303132,0.00404042
0.62,0.312844,0.00410666
0.63,0.322838,0.0041729
0.64,0.333122,0.00423913
0.65,0.343706,0.00430537
0.66,0.3546,0.00437161
0.67,0.365813,0.00443784
0.68,0.377355,0.00450408
0.69,0.389236,0.00457031
0.7,0.401468,0.00463655
0.71,0.414061,0.00470279
0.72,0.427027,0.00476902
0.73,0.440378,0.00483526
0.74,0.454124,0.0049015
0.75,0.46828,0.00496773
0.76,0.482857,0.00503397
0.77,0.497868,0.00510021
0.78,0.513328,0.00516644
0.79,0.52925,0.00523268
0.8,0.545648,0.00529892
0.81,0.562537,0.00536515
0.82,0.579932,0.00543139
0.83,0.59785,0.00549763
0.84,0.616305,0.00556386
0.85,0.635315,0.0056301
0.86,0.654898,0.00569633
0.87,0.675069,0.00576257
0.88,0.695848,0.00582881
0.89,0.717254,0.00589504
0.9,0.739305,0.00596128
0.91,0.762021,0.00602752
0.92,0.785424,0.00609375
0.93,0.809533,0.00615999
0.94,0.834371,0.00622623
0.95,0.85996,0.00629246
0.96,0.886323,0.0063587
0.97,0.913483,0.00642494
0.98,0.941466,0.00649117
0.99,0.970296,0.00655741
1,1,0.00662364
