x,u_exact,u_approx
0,0,0
0.01,0.0029951,9.89422e-05
0.02,0.00599289,0.000391622
0.03,0.00899607,0.000872004
0.04,0.0120074,0.0015343
0.05,0.0150294,0.00237295
0.06,0.0180651,0.00338264
0.07,0.0211169,0.00455828
0.08,0.0241878,0.00589499
0.09,0.0272805,0.00738812
0.1,0.0303977,0.00903324
0.11,0.0335423,0.0108261
0.12,0.036717,0.0127627
0.13,0.0399248,0.0148392
0.14,0.0431686,0.017052
0.15,0.0464512,0.0193977
0.16,0.0497756,0.0218731
0.17,0.0531448,0.0244751
0.18,0.0565618,0.0272009
0.19,0.0600298,0.0300479
0.2,0.0635518,0.0330137
0.21,0.0671309,0.0360959
0.22,0.0707705,0.0392926
0.23,0.0744739,0.0426018
0.24,0.0782442,0.046022
0.25,0.0820849,0.0495515
0.26,0.0859996,0.0531893
0.27,0.0899916,0.0569341
0.28,0.0940647,0.0607852
0.29,0.0982224,0.0647418
0.3,0.102469,0.0688034
0.31,0.106807,0.07297
0.32,0.111241,0.0772413
0.33,0.115776,0.0816176
0.34,0.120415,0.0860993
0.35,0.125162,0.0906871
0.36,0.130022,0.0953817
0.37,0.134999,0.100184
0.38,0.140097,0.105097
0.39,0.145322,0.11012
0.4,0.150677,0.115256
0.41,0.156168,0.120507
0.42,0.161799,0.125876
0.43,0.167576,0.131365
0.44,0.173504,0.136977
0.45,0.179588,0.142716
0.46,0.185834,0.148585
0.47,0.192247,0.154589
0.48,0.198833,0.160732
0.49,0.205598,0.167018
0.5,0.212548,0.173453
0.51,0.219689,0.180042
0.52,0.227028,0.186791
0.53,0.234572,0.193707
0.54,0.242326,0.200796
0.55,0.250299,0.208066
0.56,0.258497,0.215525
0.57,0.266928,0.22318
0.58,0.275599,0.231041
0.59,0.284517,0.239117
0.6,0.293692,0.247419
0.61,0.303132,0.255956
0.62,0.312844,0.264741
0.63,0.322838,0.273784
0.64,0.333122,0.2831
0.65,0.343706,0.292702
0.66,0.3546,0.302603
0.67,0.365813,0.312819
0.68,0.377355,0.323366
0.69,0.389236,0.334261
0.7,0.401468,0.345521
0.71,0.414061,0.357166
0.72,0.427027,0.369216
0.73,0.440378,0.381691
0.74,0.454124,0.394615
0.75,0.46828,0.408009
0.76,0.482857,0.421901
0.77,0.497868,0.436314
0.78,0.513328,0.451278
0.79,0.52925,0.466821
0.8,0.545648,0.482974
0.81,0.562537,0.49977
0.82,0.579932,0.517242
0.83,0.59785,0.535427
0.84,0.616305,0.554363
0.85,0.635315,0.57409
0.86,0.654898,0.594651
0.87,0.675069,0.616089
0.88,0.695848,0.638452
0.89,0.717254,0.66179
0.9,0.739305,0.686154
0.91,0.762021,0.7116
0.92,0.785424,0.738186
0.93,0.809533,0.765973
0.94,0.834371,0.795026
0.95,0.85996,0.825413
0.96,0.886323,0.857204
0.97,0.913483,0.890477
0.98,0.941466,0.925311
0.99,0.970296,0.961789
1,1,1
