method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0141452974,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0001944910,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0184492962,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0124241987,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0015591018,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0025460364,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0011950603,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0077750589,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0157512063,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0149802820,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000136694,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0234019211,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0268282430,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0048906063,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0008028499,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0036922300,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0230663564,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0153444209,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0087064920,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0005601479,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0118895771,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0001346253,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0008393663,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0025974221,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0024959719,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0064403022,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0038686827,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0084471260,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0036773488,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0002918666,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0033233276,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0042489619,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0101321631,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0010852050,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0013666454,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0810822141,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0044194848,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0003479179,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0024109876,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0026244047,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0929114468,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0068778686,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0019672251,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0006205842,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0017539552,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0060946958,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0110978718,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0031937382,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0143403554,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0383444400,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0057348739,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0101619170,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0018749087,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0108318875,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0002077445,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0073932098,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0033705141,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0001556171,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0204259091,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0175510345,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.8371684029,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.8371684029,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.8371684029,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.8371684029,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.8371684029,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.8371684029,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.8371684029,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.8371684029,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.8371684029,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.8371684029,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.8371684029,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.8371684029,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.8371684029,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.8371684029,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.8371684029,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.8371684029,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.8371684029,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.8371684029,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.8371684029,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.8371684029,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.8371684029,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.8371684029,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.8371684029,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.8371684029,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.8371684029,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.8371684029,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.8371684029,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.8371684029,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.8371684029,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.8371684029,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.8371684029,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.8371684029,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.8371684029,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.8371684029,0.0000000000,14,1
