gen,best_mse_domain,best_mse_boundary,best_total_mse,best_val_mse
0,0.0894909,0.479006,0.568497,0.592741
1,0.0131803,0.071408,0.0845884,0.031446
2,0.000178218,0.0666553,0.0668335,0.0314092
3,1.11721e-11,0.0188582,0.0188582,0.0313701
4,1.12003e-11,0.00908976,0.00908976,0.0313297
5,1.12003e-11,0.00846149,0.00846149,0.0312887
6,1.12003e-11,0.00845321,0.00845321,0.0312477
7,1.12003e-11,0.00845493,0.00845493,0.0312071
8,1.12003e-11,0.00845533,0.00845533,0.031167
9,1.1168e-11,0.0084554,0.0084554,0.0311278
10,1.11704e-11,0.00138016,0.00138016,0.0236866
11,1.11704e-11,0.00123384,0.00123384,0.0236866
12,1.11704e-11,0.0010219,0.0010219,0.0236866
13,1.11704e-11,1.79269e-05,1.79269e-05,0.0236866
14,1.11704e-11,1.44261e-05,1.44262e-05,0.0236866
15,1.11704e-11,1.18339e-05,1.18339e-05,0.0236866
16,1.11704e-11,9.86863e-06,9.86864e-06,0.0236866
17,1.11704e-11,4.65941e-07,4.65952e-07,0.0236866
18,1.11704e-11,4.65257e-07,4.65268e-07,0.0236866
19,1.11704e-11,4.63548e-07,4.63559e-07,0.0236866
20,1.11704e-11,4.63707e-07,4.63718e-07,0.0236866
21,1.11704e-11,4.63723e-07,4.63734e-07,0.0236866
22,1.11704e-11,4.63739e-07,4.6375e-07,0.0236866
23,1.11704e-11,4.62212e-07,4.62223e-07,0.0236866
24,1.11704e-11,4.62217e-07,4.62228e-07,0.0236866
25,1.09605e-11,4.62223e-07,4.62234e-07,0.0236866
26,1.09605e-11,4.62229e-07,4.6224e-07,0.0236866
27,1.09605e-11,4.61061e-07,4.61072e-07,0.0236866
28,1.09605e-11,4.60895e-07,4.60906e-07,0.0236866
29,1.09605e-11,4.60895e-07,4.60906e-07,0.0236866
30,1.09605e-11,4.60895e-07,4.60906e-07,0.0236866
31,1.09605e-11,4.60896e-07,4.60906e-07,0.0236866
32,1.09605e-11,4.60896e-07,4.60907e-07,0.0236866
33,1.09605e-11,4.60896e-07,4.60907e-07,0.0236866
34,1.09605e-11,4.60896e-07,4.60907e-07,0.0236866
35,1.09605e-11,4.60896e-07,4.60907e-07,0.0236866
36,1.09605e-11,4.6087e-07,4.60881e-07,0.0236866
37,1.09605e-11,4.6087e-07,4.60881e-07,0.0236866
38,1.09605e-11,4.6087e-07,4.60881e-07,0.0236866
39,1.09605e-11,4.6087e-07,4.60881e-07,0.0236866
40,1.09605e-11,4.60871e-07,4.60882e-07,0.0236866
41,1.09605e-11,4.60871e-07,4.60882e-07,0.0236866
42,1.09605e-11,4.60871e-07,4.60882e-07,0.0236866
43,1.09605e-11,4.60871e-07,4.60882e-07,0.0236866
44,1.09605e-11,4.60871e-07,4.60882e-07,0.0236866
45,1.09605e-11,4.60871e-07,4.60882e-07,0.0236866
46,1.09605e-11,4.60871e-07,4.60882e-07,0.0236866
47,1.09605e-11,4.60871e-07,4.60882e-07,0.0236866
48,1.09605e-11,4.60871e-07,4.60882e-07,0.0236866
49,1.09605e-11,4.60871e-07,4.60882e-07,0.0236866
50,1.10737e-11,4.60871e-07,4.60882e-07,0.0234559
51,1.10737e-11,4.60871e-07,4.60882e-07,0.0215715
52,1.10737e-11,4.60858e-07,4.60869e-07,0.0215385
53,1.10737e-11,4.60858e-07,4.60869e-07,0.0215087
54,1.10737e-11,4.60858e-07,4.60869e-07,0.0214819
55,1.10737e-11,4.60858e-07,4.60869e-07,0.0214489
56,1.10737e-11,4.61086e-07,4.61097e-07,0.0214362
57,1.10737e-11,4.61087e-07,4.61098e-07,0.0214167
58,1.10737e-11,4.61165e-07,4.61176e-07,0.0213991
59,1.10737e-11,4.61166e-07,4.61177e-07,0.0213833
60,1.10737e-11,4.61174e-07,4.61185e-07,0.0213691
61,1.10737e-11,4.61175e-07,4.61186e-07,0.0212834
62,1.10737e-11,4.61176e-07,4.61187e-07,0.0212793
63,1.10737e-11,4.61177e-07,4.61188e-07,0.0212755
64,1.10737e-11,4.6094e-07,4.60952e-07,0.0212755
65,1.10737e-11,4.60941e-07,4.60952e-07,0.0212755
66,1.10737e-11,4.60925e-07,4.60936e-07,0.0212755
67,1.10737e-11,4.60882e-07,4.60893e-07,0.0212751
68,1.10737e-11,4.60882e-07,4.60893e-07,0.0212718
69,1.10737e-11,4.60882e-07,4.60893e-07,0.0212688
70,1.10737e-11,4.60881e-07,4.60892e-07,0.0212688
71,1.10737e-11,4.60881e-07,4.60892e-07,0.0212688
72,1.10737e-11,4.60881e-07,4.60892e-07,0.0212688
73,1.10737e-11,4.60881e-07,4.60892e-07,0.0212688
74,1.10737e-11,4.60883e-07,4.60894e-07,0.0212688
75,1.13688e-11,4.60883e-07,4.60894e-07,0.0211441
76,1.13688e-11,4.60883e-07,4.60894e-07,0.0206212
77,1.13688e-11,4.60883e-07,4.60894e-07,0.0205869
78,1.13688e-11,4.60883e-07,4.60894e-07,0.0205869
79,1.13688e-11,4.60883e-07,4.60894e-07,0.0205552
80,1.13688e-11,4.60883e-07,4.60895e-07,0.0202315
81,1.13688e-11,4.60864e-07,4.60875e-07,0.0201849
82,1.13688e-11,4.6085e-07,4.60861e-07,0.0201849
83,1.13688e-11,4.6085e-07,4.60861e-07,0.0201784
84,1.13688e-11,4.6085e-07,4.60861e-07,0.0201784
85,1.13688e-11,4.6085e-07,4.60861e-07,0.0201784
86,1.13688e-11,4.6085e-07,4.60861e-07,0.0201784
87,1.13688e-11,4.6085e-07,4.60861e-07,0.0201784
88,1.13688e-11,4.6085e-07,4.60861e-07,0.0201784
89,1.13688e-11,4.60849e-07,4.6086e-07,0.0201784
90,1.13688e-11,4.60849e-07,4.6086e-07,0.0201784
91,1.13688e-11,4.60849e-07,4.6086e-07,0.0201784
92,1.13688e-11,4.60849e-07,4.6086e-07,0.0201784
93,1.13688e-11,4.60849e-07,4.6086e-07,0.0201784
94,1.13688e-11,4.60849e-07,4.6086e-07,0.0201784
95,1.13688e-11,4.60849e-07,4.6086e-07,0.0201784
96,1.13688e-11,4.60849e-07,4.6086e-07,0.0201078
97,1.13688e-11,4.60849e-07,4.6086e-07,0.0201078
98,1.13688e-11,4.74187e-07,4.74199e-07,0.0201078
99,1.13688e-11,4.73977e-07,4.73988e-07,0.0201078
100,1.08925e-11,4.59417e-07,4.59428e-07,0.0190455
101,1.08924e-11,4.58678e-07,4.58689e-07,0.018272
102,1.08924e-11,4.57743e-07,4.57753e-07,0.018272
103,1.08924e-11,4.57747e-07,4.57757e-07,0.018272
104,1.08924e-11,4.54882e-07,4.54893e-07,0.018272
105,1.08924e-11,4.48842e-07,4.48853e-07,0.018272
106,1.08924e-11,4.48626e-07,4.48637e-07,0.018272
107,1.08924e-11,4.48667e-07,4.48678e-07,0.018272
108,1.08924e-11,4.4623e-07,4.4624e-07,0.018272
109,1.08924e-11,4.46274e-07,4.46285e-07,0.018272
110,1.08924e-11,4.46737e-07,4.46748e-07,0.018272
111,7.08372e-12,4.46782e-07,4.46789e-07,0.018272
112,7.08356e-12,4.45319e-07,4.45326e-07,0.0177452
113,7.08341e-12,4.4536e-07,4.45367e-07,0.0177452
114,2.71099e-12,4.44367e-07,4.4437e-07,0.0177452
115,1.89867e-12,4.44387e-07,4.44389e-07,0.0177452
116,1.89865e-12,4.44408e-07,4.4441e-07,0.0177452
117,1.89863e-12,4.4443e-07,4.44432e-07,0.0177452
118,2.71086e-12,4.44453e-07,4.44456e-07,0.0175046
119,2.71082e-12,4.44478e-07,4.44481e-07,0.0175046
120,2.71048e-12,4.44786e-07,4.44789e-07,0.0175046
121,2.71044e-12,4.4482e-07,4.44823e-07,0.0175046
122,2.71041e-12,4.44855e-07,4.44858e-07,0.0175046
123,2.71038e-12,4.4489e-07,4.44893e-07,0.0175046
124,2.71034e-12,4.44926e-07,4.44929e-07,0.0175046
125,2.04169e-12,4.46188e-07,4.4619e-07,0.0175046
126,2.04169e-12,4.4623e-07,4.46232e-07,0.0175046
127,2.4291e-12,4.46272e-07,4.46275e-07,0.016955
128,2.42907e-12,4.46315e-07,4.46317e-07,0.016955
129,2.42287e-12,4.46357e-07,4.4636e-07,0.016955
130,2.42249e-12,4.4532e-07,4.45323e-07,0.016955
131,2.42245e-12,4.45361e-07,4.45363e-07,0.016955
132,2.42241e-12,4.45401e-07,4.45404e-07,0.016955
133,2.42238e-12,4.45442e-07,4.45445e-07,0.016955
134,2.14534e-12,4.45483e-07,4.45486e-07,0.016955
135,1.73466e-12,4.45525e-07,4.45526e-07,0.016955
136,1.73464e-12,4.45566e-07,4.45568e-07,0.016955
137,9.62598e-13,4.45517e-07,4.45518e-07,0.016955
138,1.7346e-12,4.44274e-07,4.44276e-07,0.016955
139,6.53914e-13,4.44264e-07,4.44265e-07,0.016955
140,1.73436e-12,4.44286e-07,4.44288e-07,0.016955
141,1.34067e-12,4.44299e-07,4.443e-07,0.016955
142,1.34065e-12,4.44313e-07,4.44314e-07,0.016955
143,1.34064e-12,4.44328e-07,4.4433e-07,0.016955
144,1.06362e-12,4.44345e-07,4.44346e-07,0.016955
145,1.06361e-12,4.44329e-07,4.4433e-07,0.016955
146,1.0636e-12,4.44308e-07,4.4431e-07,0.016955
147,1.06359e-12,4.44291e-07,4.44292e-07,0.016955
148,1.06358e-12,4.44276e-07,4.44277e-07,0.016955
149,1.06357e-12,4.44264e-07,4.44265e-07,0.016955
150,1.10217e-12,4.44274e-07,4.44275e-07,0.016955
151,1.10216e-12,4.44287e-07,4.44288e-07,0.0162923
152,1.10215e-12,4.44301e-07,4.44302e-07,0.0162914
153,1.10214e-12,4.44317e-07,4.44318e-07,0.0159772
154,1.10212e-12,4.44335e-07,4.44336e-07,0.0159237
155,1.10211e-12,4.44354e-07,4.44355e-07,0.0158981
156,3.71403e-13,4.44374e-07,4.44374e-07,0.0158735
157,3.71403e-13,4.44396e-07,4.44396e-07,0.0158503
158,3.71403e-13,4.11115e-07,4.11115e-07,0.0158293
159,3.71403e-13,4.1104e-07,4.11041e-07,0.0158108
160,3.71403e-13,4.09815e-07,4.09816e-07,0.0157945
161,3.71403e-13,4.03547e-07,4.03547e-07,0.0157069
162,3.71403e-13,4.03614e-07,4.03614e-07,0.0157032
163,3.71403e-13,4.03684e-07,4.03684e-07,0.0157
164,3.71403e-13,4.03758e-07,4.03758e-07,0.0156972
165,3.71403e-13,4.02815e-07,4.02815e-07,0.0156947
166,3.71403e-13,4.02817e-07,4.02817e-07,0.0156925
167,2.44894e-13,4.02821e-07,4.02822e-07,0.0156905
168,2.44894e-13,4.02828e-07,4.02828e-07,0.0156888
169,2.44894e-13,4.02837e-07,4.02837e-07,0.0156873
170,2.44894e-13,4.03062e-07,4.03062e-07,0.015686
171,2.44894e-13,4.03098e-07,4.03099e-07,0.0156785
172,2.44894e-13,4.03138e-07,4.03138e-07,0.0156782
173,2.44894e-13,4.0318e-07,4.0318e-07,0.0156779
174,2.44894e-13,4.03225e-07,4.03225e-07,0.0156777
175,1.04115e-12,4.02978e-07,4.02979e-07,0.0156775
176,1.04114e-12,4.02983e-07,4.02984e-07,0.0156775
177,1.04113e-12,4.03024e-07,4.03025e-07,0.0156775
178,1.04112e-12,4.03069e-07,4.0307e-07,0.0156775
179,1.04111e-12,4.0312e-07,4.03121e-07,0.0156775
180,1.04099e-12,4.03973e-07,4.03974e-07,0.0156775
181,1.04098e-12,4.04092e-07,4.04093e-07,0.0156775
182,1.04097e-12,4.04218e-07,4.0422e-07,0.0156775
183,1.04096e-12,4.04353e-07,4.04354e-07,0.0156775
184,1.04095e-12,4.04494e-07,4.04495e-07,0.0156775
185,8.8778e-13,4.03957e-07,4.03957e-07,0.0156775
186,8.8778e-13,4.04075e-07,4.04076e-07,0.0156775
187,8.8778e-13,4.042e-07,4.04201e-07,0.0156775
188,8.8778e-13,4.04333e-07,4.04334e-07,0.0156775
189,8.8778e-13,4.04474e-07,4.04475e-07,0.0156775
190,8.8778e-13,4.06436e-07,4.06437e-07,0.0156775
191,8.8778e-13,4.03076e-07,4.03077e-07,0.0156775
192,8.8778e-13,4.0304e-07,4.0304e-07,0.0156775
193,8.8778e-13,4.03005e-07,4.03006e-07,0.0156775
194,8.8778e-13,4.02973e-07,4.02974e-07,0.0156775
195,8.8778e-13,4.02944e-07,4.02945e-07,0.0156775
