method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PISR-EMOA/D,ThomasFermi,1,44.4210035344,0.0005957140,5,1
PISR-EMOA/D,ThomasFermi,1,50.9420106743,0.0054842789,5,1
PISR-EMOA/D,ThomasFermi,1,44.9017862743,0.0015465710,5,1
PISR-EMOA/D,ThomasFermi,1,46.7136511604,0.0029492546,5,1
PISR-EMOA/D,ThomasFermi,1,50.8021127229,0.0050327721,5,1
PISR-EMOA/D,ThomasFermi,1,61.4068256339,0.0177712558,5,1
PISR-EMOA/D,ThomasFermi,1,48.1192696926,0.0045613533,5,1
PISR-EMOA/D,ThomasFermi,1,45.8682131175,0.0006462292,5,1
PISR-EMOA/D,ThomasFermi,1,50.2345692138,0.0037008497,5,1
PISR-EMOA/D,ThomasFermi,1,59.7902278635,0.0114590481,5,1
PISR-EMOA/D,ThomasFermi,1,51.7256270243,0.0092253464,5,1
PISR-EMOA/D,ThomasFermi,1,60.9214115483,0.0271896814,5,1
PISR-EMOA/D,ThomasFermi,1,46.6940979896,0.0003120005,5,1
PISR-EMOA/D,ThomasFermi,1,49.3612976526,0.0028956047,5,1
PISR-EMOA/D,ThomasFermi,1,54.4896022264,0.0101806794,5,1
PISR-EMOA/D,ThomasFermi,1,50.1826988865,0.0040509275,5,1
PISR-EMOA/D,ThomasFermi,1,52.0094437889,0.0088731469,5,1
PISR-EMOA/D,ThomasFermi,1,47.2938333517,0.0041063443,5,1
PISR-EMOA/D,ThomasFermi,1,47.5212233011,0.0007065065,5,1
PISR-EMOA/D,ThomasFermi,1,35.6156920498,0.0186517002,5,1
PISR-EMOA/D,ThomasFermi,1,52.2165612331,0.0142874923,5,1
PISR-EMOA/D,ThomasFermi,1,47.6917133682,0.0007245839,5,1
PISR-EMOA/D,ThomasFermi,1,55.9537140008,0.0087876865,5,1
PISR-EMOA/D,ThomasFermi,1,46.1376897964,0.0003411138,5,1
PISR-EMOA/D,ThomasFermi,1,47.4016907561,0.0026087316,5,1
PISR-EMOA/D,ThomasFermi,1,44.6873416965,0.0004751318,5,1
PISR-EMOA/D,ThomasFermi,1,42.4888819063,0.0039229684,5,1
PISR-EMOA/D,ThomasFermi,1,48.5059294719,0.0017112776,5,1
PISR-EMOA/D,ThomasFermi,1,60.4128577541,0.0256779601,5,1
PISR-EMOA/D,ThomasFermi,1,48.2898944654,0.0008235223,5,1
PISR-EMOA/D,ThomasFermi,1,43.7136330143,0.0006413464,5,1
PISR-EMOA/D,ThomasFermi,1,49.7714041510,0.0021077322,5,1
PISR-EMOA/D,ThomasFermi,1,43.2268332622,0.0011380952,5,1
PISR-EMOA/D,ThomasFermi,1,51.8932578330,0.0037993860,5,1
PISR-EMOA/D,ThomasFermi,1,51.9211218624,0.0085565118,5,1
PISR-EMOA/D,ThomasFermi,1,48.7023403638,0.0024486909,5,1
PISR-EMOA/D,ThomasFermi,1,47.8006911614,0.0016320032,5,1
PISR-EMOA/D,ThomasFermi,1,43.4214722302,0.0007308987,5,1
PISR-EMOA/D,ThomasFermi,1,47.7161277101,0.0012265133,5,1
PISR-EMOA/D,ThomasFermi,1,54.0909857038,0.0090430563,5,1
PISR-EMOA/D,ThomasFermi,1,51.9583422162,0.0039610603,5,1
PISR-EMOA/D,ThomasFermi,1,47.8291608741,0.0028498695,5,1
PISR-EMOA/D,ThomasFermi,1,43.1712390325,0.0017361034,5,1
PISR-EMOA/D,ThomasFermi,1,48.0065939719,0.0019584390,5,1
PISR-EMOA/D,ThomasFermi,1,58.3761876913,0.0124513542,5,1
PISR-EMOA/D,ThomasFermi,1,44.4862058418,0.0010782491,5,1
PISR-EMOA/D,ThomasFermi,1,60.1032675036,0.0192407384,5,1
PISR-EMOA/D,ThomasFermi,1,48.4727856614,0.0063785067,5,1
PISR-EMOA/D,ThomasFermi,1,44.6826594770,0.0014739379,5,1
PISR-EMOA/D,ThomasFermi,1,56.2459398486,0.0148657537,5,1
PISR-EMOA/D,ThomasFermi,1,49.0812221885,0.0024075387,5,1
PISR-EMOA/D,ThomasFermi,1,50.0403102759,0.0235785944,5,1
PISR-EMOA/D,ThomasFermi,1,50.2039159621,0.0077973539,5,1
PISR-EMOA/D,ThomasFermi,1,51.6109984366,0.0059182819,5,1
PISR-EMOA/D,ThomasFermi,1,48.1431130899,0.0027375709,5,1
PISR-EMOA/D,ThomasFermi,1,54.2224670765,0.0192316360,5,1
PISR-EMOA/D,ThomasFermi,1,55.1421308891,0.0081795473,5,1
PISR-EMOA/D,ThomasFermi,1,48.8514242688,0.0020569045,5,1
PISR-EMOA/D,ThomasFermi,1,45.0357489294,0.0000931689,5,1
PISR-EMOA/D,ThomasFermi,1,50.0222375242,0.0022553796,5,1
PISR-EMOA/D,ThomasFermi,1,45.9546673125,0.0000000000,5,1
PISR-EMOA/D,ThomasFermi,1,45.9546673125,0.0000000000,5,1
PISR-EMOA/D,ThomasFermi,1,45.9546673125,0.0000000000,5,1
PISR-EMOA/D,ThomasFermi,1,45.9546673125,0.0000000000,5,1
PISR-EMOA/D,ThomasFermi,1,45.9546673125,0.0000000000,5,1
PISR-EMOA/D,ThomasFermi,1,45.9546673125,0.0000000000,5,1
PISR-EMOA/D,ThomasFermi,1,45.9546673125,0.0000000000,5,1
PISR-EMOA/D,ThomasFermi,1,45.9546673125,0.0000000000,5,1
PISR-EMOA/D,ThomasFermi,1,45.9546673125,0.0000000000,5,1
PISR-EMOA/D,ThomasFermi,1,45.9546673125,0.0000000000,5,1
PISR-EMOA/D,ThomasFermi,1,45.9546673125,0.0000000000,5,1
PISR-EMOA/D,ThomasFermi,1,45.9546673125,0.0000000000,5,1
PISR-EMOA/D,ThomasFermi,1,45.9546673125,0.0000000000,5,1
PISR-EMOA/D,ThomasFermi,1,45.9546673125,0.0000000000,5,1
PISR-EMOA/D,ThomasFermi,1,45.9546673125,0.0000000000,5,1
PISR-EMOA/D,ThomasFermi,1,45.9546673125,0.0000000000,5,1
PISR-EMOA/D,ThomasFermi,1,45.9546673125,0.0000000000,5,1
PISR-EMOA/D,ThomasFermi,1,45.9546673125,0.0000000000,5,1
PISR-EMOA/D,ThomasFermi,1,45.9546673125,0.0000000000,5,1
PISR-EMOA/D,ThomasFermi,1,45.9546673125,0.0000000000,5,1
PISR-EMOA/D,ThomasFermi,1,45.9546673125,0.0000000000,5,1
PISR-EMOA/D,ThomasFermi,1,45.9546673125,0.0000000000,5,1
PISR-EMOA/D,ThomasFermi,1,45.9546673125,0.0000000000,5,1
PISR-EMOA/D,ThomasFermi,1,45.9546673125,0.0000000000,5,1
PISR-EMOA/D,ThomasFermi,1,45.9546673125,0.0000000000,5,1
PISR-EMOA/D,ThomasFermi,1,45.9546673125,0.0000000000,5,1
PISR-EMOA/D,ThomasFermi,1,45.9546673125,0.0000000000,5,1
PISR-EMOA/D,ThomasFermi,1,45.9546673125,0.0000000000,5,1
PISR-EMOA/D,ThomasFermi,1,45.9546673125,0.0000000000,5,1
PISR-EMOA/D,ThomasFermi,1,45.9546673125,0.0000000000,5,1
PISR-EMOA/D,ThomasFermi,1,45.9546673125,0.0000000000,5,1
PISR-EMOA/D,ThomasFermi,1,45.9546673125,0.0000000000,5,1
PISR-EMOA/D,ThomasFermi,1,45.9546673125,0.0000000000,5,1
PISR-EMOA/D,ThomasFermi,1,45.9546673125,0.0000000000,5,1
PISR-EMOA/D,ThomasFermi,1,45.9546673125,0.0000000000,5,1
PISR-EMOA/D,ThomasFermi,1,45.9546673125,0.0000000000,5,1
PISR-EMOA/D,ThomasFermi,1,45.9546673125,0.0000000000,5,1
PISR-EMOA/D,ThomasFermi,1,45.9546673125,0.0000000000,5,1
PISR-EMOA/D,ThomasFermi,1,45.9546673125,0.0000000000,5,1
PISR-EMOA/D,ThomasFermi,1,45.9546673125,0.0000000000,5,1
PISR-EMOA/D,ThomasFermi,1,45.9546673125,0.0000000000,5,1
PISR-EMOA/D,ThomasFermi,1,8.5002107645,0.4862512102,5,1
PISR-EMOA/D,ThomasFermi,1,8.0154056883,0.5098443282,5,1
PISR-EMOA/D,ThomasFermi,1,5.4088686989,0.7755352738,3,1
PISR-EMOA/D,ThomasFermi,1,0.0000000000,2.2222222222,1,1
PISR-EMOA/D,ThomasFermi,1,0.0000000000,2.2222222222,1,1
PISR-EMOA/D,ThomasFermi,1,12.2844395599,0.5580547355,2,1
PISR-EMOA/D,ThomasFermi,1,15.2192864838,0.5018081697,2,1
PISR-EMOA/D,ThomasFermi,1,12.1024919674,0.5614114661,2,1
PISR-EMOA/D,ThomasFermi,1,0.0001908680,2.1565490460,2,1
PISR-EMOA/D,ThomasFermi,1,0.0000000000,2.2222222222,1,1
PISR-EMOA/D,ThomasFermi,1,0.0000000000,2.2222222222,1,1
PISR-EMOA/D,ThomasFermi,1,0.0000000000,2.2222222222,1,1
PISR-EMOA/D,ThomasFermi,1,0.0000000000,2.2222222222,1,1
PISR-EMOA/D,ThomasFermi,1,0.1114175188,1.7113449705,17,1
PISR-EMOA/D,ThomasFermi,1,2.8940188871,0.9600038794,8,1
PISR-EMOA/D,ThomasFermi,1,0.3398936801,2.0555555556,1,1
PISR-EMOA/D,ThomasFermi,1,12.4228565154,0.5555555556,2,1
PISR-EMOA/D,ThomasFermi,1,0.3398936801,2.0555555556,1,1
PISR-EMOA/D,ThomasFermi,1,4.1503729400,0.8533368574,2,1
PISR-EMOA/D,ThomasFermi,1,12.1024919674,0.5614114661,2,1
PISR-EMOA/D,ThomasFermi,1,0.0000000000,2.2222222222,1,1
PISR-EMOA/D,ThomasFermi,1,0.0000000000,2.2222222222,1,1
PISR-EMOA/D,ThomasFermi,1,7.3486518414,0.6883642663,3,1
PISR-EMOA/D,ThomasFermi,1,1.3428979826,1.1788388022,9,1
PISR-EMOA/D,ThomasFermi,1,0.0000000000,2.2222222222,1,1
PISR-EMOA/D,ThomasFermi,1,12.2844395599,0.5580547355,2,1
PISR-EMOA/D,ThomasFermi,1,12.4063253579,0.5558515963,4,1
PISR-EMOA/D,ThomasFermi,1,5.0814105726,0.7937486933,2,1
PISR-EMOA/D,ThomasFermi,1,11.3948721448,0.5752817288,2,1
PISR-EMOA/D,ThomasFermi,1,12.4228565154,0.5555555556,2,1
PISR-EMOA/D,ThomasFermi,1,0.0000000000,2.2222222222,1,1
PISR-EMOA/D,ThomasFermi,1,5.4877293670,0.7713301314,3,1
PISR-EMOA/D,ThomasFermi,1,0.0000000000,2.2222222222,1,1
PISR-EMOA/D,ThomasFermi,1,0.0381130089,1.8558551221,9,1
PISR-EMOA/D,ThomasFermi,1,7.4018307601,0.6863730143,4,1
PISR-EMOA/D,ThomasFermi,1,0.0000000000,2.2222222222,1,1
PISR-EMOA/D,ThomasFermi,1,15.2192864838,0.5018081697,2,1
PISR-EMOA/D,ThomasFermi,1,0.0000000000,2.2222222222,1,1
PISR-EMOA/D,ThomasFermi,1,0.0000000000,2.2222222222,1,1
PISR-EMOA/D,ThomasFermi,1,45.9546673125,0.0000000000,5,1
PISR-EMOA/D,ThomasFermi,1,7.4018307601,0.6863730143,4,1
PISR-EMOA/D,ThomasFermi,1,0.0000000000,2.2222222222,1,1
PISR-EMOA/D,ThomasFermi,1,0.0000046231,2.2030955898,4,1
PISR-EMOA/D,ThomasFermi,1,14.6055567399,0.2548358443,5,1
PISR-EMOA/D,ThomasFermi,1,12.1024919674,0.5614114661,2,1
PISR-EMOA/D,ThomasFermi,1,0.1162856934,1.7046581235,17,1
PISR-EMOA/D,ThomasFermi,1,45.4236144198,0.0000308831,6,1
PISR-EMOA/D,ThomasFermi,1,12.1024919674,0.5614114661,2,1
PISR-EMOA/D,ThomasFermi,1,2.9114536581,0.9582617540,8,1
PISR-EMOA/D,ThomasFermi,1,4.6984031479,0.7077827319,5,1
PISR-EMOA/D,ThomasFermi,1,16.2993464838,0.2354705985,5,1
PISR-EMOA/D,ThomasFermi,1,7.0091614024,0.5705440061,5,1
PISR-EMOA/D,ThomasFermi,1,0.0000000000,2.2222222222,1,1
PISR-EMOA/D,ThomasFermi,1,12.1024919674,0.5614114661,2,1
PISR-EMOA/D,ThomasFermi,1,5.4877293670,0.7713301314,3,1
PISR-EMOA/D,ThomasFermi,1,12.1024919674,0.5614114661,2,1
PISR-EMOA/D,ThomasFermi,1,3.2874390108,0.9223654935,4,1
PISR-EMOA/D,ThomasFermi,1,0.0000000000,2.2222222222,1,1
PISR-EMOA/D,ThomasFermi,1,5.1680903715,0.7888051958,3,1
PISR-EMOA/D,ThomasFermi,1,0.0000000000,2.2222222222,1,1
PISR-EMOA/D,ThomasFermi,1,0.3465884077,1.5044441476,5,1
PISR-EMOA/D,ThomasFermi,1,0.1170268247,1.7036600660,17,1
PISR-EMOA/D,ThomasFermi,1,16.8574103790,0.2018566750,5,1
PISR-EMOA/D,ThomasFermi,1,28.6696863564,0.4445844653,1,1
PISR-EMOA/D,ThomasFermi,1,0.0000000000,2.2222222222,1,1
PISR-EMOA/D,ThomasFermi,1,0.2468394213,1.5733139426,5,1
PISR-EMOA/D,ThomasFermi,1,12.2844395599,0.5580547355,2,1
PISR-EMOA/D,ThomasFermi,1,41.5505310079,0.0024997398,5,1
PISR-EMOA/D,ThomasFermi,1,0.3398936801,2.0555555556,1,1
PISR-EMOA/D,ThomasFermi,1,21.8025808722,0.1381776494,5,1
PISR-EMOA/D,ThomasFermi,1,12.4034345674,0.5559034428,4,1
PISR-EMOA/D,ThomasFermi,1,12.4228565154,0.5555555556,2,1
PISR-EMOA/D,ThomasFermi,1,12.2844395599,0.5580547355,2,1
PISR-EMOA/D,ThomasFermi,1,0.0000000000,2.2222222222,1,1
PISR-EMOA/D,ThomasFermi,1,0.0000000000,2.2222222222,1,1
PISR-EMOA/D,ThomasFermi,1,0.0000000000,2.2222222222,1,1
PISR-EMOA/D,ThomasFermi,1,15.2192864838,0.5018081697,2,1
PISR-EMOA/D,ThomasFermi,1,1.0771309606,1.2456543781,9,1
PISR-EMOA/D,ThomasFermi,1,0.0000000000,2.2222222222,1,1
PISR-EMOA/D,ThomasFermi,1,0.3398936801,2.0555555556,1,1
PISR-EMOA/D,ThomasFermi,1,0.0000000000,2.2222222222,1,1
PISR-EMOA/D,ThomasFermi,1,7.3486518414,0.6883642663,3,1
PISR-EMOA/D,ThomasFermi,1,12.4228565154,0.5555555556,2,1
PISR-EMOA/D,ThomasFermi,1,5.4088686989,0.7755352738,3,1
PISR-EMOA/D,ThomasFermi,1,12.2844395599,0.5580547355,2,1
PISR-EMOA/D,ThomasFermi,1,38.9371408475,0.0089038794,5,1
PISR-EMOA/D,ThomasFermi,1,7.4018307601,0.6863730143,4,1
PISR-EMOA/D,ThomasFermi,1,0.0000000000,2.2222222222,1,1
PISR-EMOA/D,ThomasFermi,1,0.0000000000,2.2222222222,1,1
PISR-EMOA/D,ThomasFermi,1,12.3575870757,0.5567282365,3,1
PISR-EMOA/D,ThomasFermi,1,0.6185007949,1.3765456623,3,1
PISR-EMOA/D,ThomasFermi,1,15.2192864838,0.5018081697,2,1
PISR-EMOA/D,ThomasFermi,1,21.0584793028,0.1461838117,5,1
PISR-EMOA/D,ThomasFermi,1,0.0000000000,2.2222222222,1,1
PISR-EMOA/D,ThomasFermi,1,3.7454309376,0.8837356172,6,1
PISR-EMOA/D,ThomasFermi,1,0.0000000000,2.2222222222,1,1
PISR-EMOA/D,ThomasFermi,1,0.3398936801,2.0555555556,1,1
PISR-EMOA/D,ThomasFermi,1,0.0974763330,1.7318459077,17,1
PISR-EMOA/D,ThomasFermi,1,0.0000000000,2.2222222222,1,1
PISR-EMOA/D,ThomasFermi,1,0.3398936801,2.0555555556,1,1
PISR-EMOA/D,ThomasFermi,1,12.1024919674,0.5614114661,2,1
PISR-EMOA/D,ThomasFermi,1,0.0001908680,2.1565490460,2,1
PISR-EMOA/D,ThomasFermi,1,5.4877293670,0.7713301314,3,1
PISR-EMOA/D,ThomasFermi,1,20.0547421562,0.1853932162,5,1
PISR-EMOA/D,ThomasFermi,1,0.3398936801,2.0555555556,1,1
PISR-EMOA/D,ThomasFermi,1,0.3398936801,2.0555555556,1,1
PISR-EMOA/D,ThomasFermi,1,34.2263378367,0.0333384649,5,1
PISR-EMOA/D,ThomasFermi,1,12.2844395599,0.5580547355,2,1
PISR-EMOA/D,ThomasFermi,1,12.2844395599,0.5580547355,2,1
PISR-EMOA/D,ThomasFermi,1,0.0000000000,2.2222222222,1,1
PISR-EMOA/D,ThomasFermi,1,0.3398936801,2.0555555556,1,1
PISR-EMOA/D,ThomasFermi,1,9.1087527753,0.4731715047,5,1
PISR-EMOA/D,ThomasFermi,1,12.4228565154,0.5555555556,2,1
PISR-EMOA/D,ThomasFermi,1,0.0000000000,2.2222222222,1,1
PISR-EMOA/D,ThomasFermi,1,4.9476590496,0.8022320858,2,1
