x,y,u_exact,u_approx
0,0,1,0.761594
0,0.0333333,0.999445,0.761594
0,0.0666667,0.997782,0.761594
0,0.1,0.995021,0.761594
0,0.133333,0.991176,0.761594
0,0.166667,0.98627,0.761594
0,0.2,0.980328,0.761594
0,0.233333,0.973382,0.761594
0,0.266667,0.965468,0.761594
0,0.3,0.956628,0.761594
0,0.333333,0.946905,0.761594
0,0.366667,0.936348,0.761594
0,0.4,0.925007,0.761594
0,0.433333,0.912936,0.761594
0,0.466667,0.900188,0.761594
0,0.5,0.886819,0.761594
0,0.533333,0.872886,0.761594
0,0.566667,0.858444,0.761594
0,0.6,0.843551,0.761594
0,0.633333,0.828261,0.761594
0,0.666667,0.812628,0.761594
0,0.7,0.796705,0.761594
0,0.733333,0.780544,0.761594
0,0.766667,0.764194,0.761594
0,0.8,0.7477,0.761594
0,0.833333,0.731108,0.761594
0,0.866667,0.71446,0.761594
0,0.9,0.697795,0.761594
0,0.933333,0.68115,0.761594
0,0.966667,0.664559,0.761594
0,1,0.648054,0.761594
0.0333333,0,0.999445,0.760939
0.0333333,0.0333333,0.997782,0.760939
0.0333333,0.0666667,0.995021,0.760939
0.0333333,0.1,0.991176,0.760939
0.0333333,0.133333,0.98627,0.760939
0.0333333,0.166667,0.980328,0.760939
0.0333333,0.2,0.973382,0.760939
0.0333333,0.233333,0.965468,0.760939
0.0333333,0.266667,0.956628,0.760939
0.0333333,0.3,0.946905,0.760939
0.0333333,0.333333,0.936348,0.760939
0.0333333,0.366667,0.925007,0.760939
0.0333333,0.4,0.912936,0.760939
0.0333333,0.433333,0.900188,0.760939
0.0333333,0.466667,0.886819,0.760939
0.0333333,0.5,0.872886,0.760939
0.0333333,0.533333,0.858444,0.760939
0.0333333,0.566667,0.843551,0.760939
0.0333333,0.6,0.828261,0.760939
0.0333333,0.633333,0.812628,0.760939
0.0333333,0.666667,0.796705,0.760939
0.0333333,0.7,0.780544,0.760939
0.0333333,0.733333,0.764194,0.760939
0.0333333,0.766667,0.7477,0.760939
0.0333333,0.8,0.731108,0.760939
0.0333333,0.833333,0.71446,0.760939
0.0333333,0.866667,0.697795,0.760939
0.0333333,0.9,0.68115,0.760939
0.0333333,0.933333,0.664559,0.760939
0.0333333,0.966667,0.648054,0.760939
0.0333333,1,0.631665,0.760939
0.0666667,0,0.997782,0.758983
0.0666667,0.0333333,0.995021,0.758983
0.0666667,0.0666667,0.991176,0.758983
0.0666667,0.1,0.98627,0.758983
0.0666667,0.133333,0.980328,0.758983
0.0666667,0.166667,0.973382,0.758983
0.0666667,0.2,0.965468,0.758983
0.0666667,0.233333,0.956628,0.758983
0.0666667,0.266667,0.946905,0.758983
0.0666667,0.3,0.936348,0.758983
0.0666667,0.333333,0.925007,0.758983
0.0666667,0.366667,0.912936,0.758983
0.0666667,0.4,0.900188,0.758983
0.0666667,0.433333,0.886819,0.758983
0.0666667,0.466667,0.872886,0.758983
0.0666667,0.5,0.858444,0.758983
