x,u_exact,u_approx
0,0,0
0.01,0.01,0.01
0.02,0.02,0.02
0.03,0.03,0.03
0.04,0.04,0.0399999
0.05,0.05,0.0499999
0.06,0.06,0.0599998
0.07,0.07,0.0699998
0.08,0.08,0.0799997
0.09,0.09,0.0899996
0.1,0.1,0.0999996
0.11,0.11,0.109999
0.12,0.12,0.119999
0.13,0.13,0.129999
0.14,0.14,0.139999
0.15,0.15,0.149999
0.16,0.16,0.159999
0.17,0.17,0.169999
0.18,0.18,0.179999
0.19,0.19,0.189999
0.2,0.2,0.199999
0.21,0.21,0.209998
0.22,0.22,0.219998
0.23,0.23,0.229998
0.24,0.24,0.239998
0.25,0.25,0.249998
0.26,0.26,0.259998
0.27,0.27,0.269998
0.28,0.28,0.279998
0.29,0.29,0.289997
0.3,0.3,0.299997
0.31,0.31,0.309997
0.32,0.32,0.319997
0.33,0.33,0.329997
0.34,0.34,0.339997
0.35,0.35,0.349997
0.36,0.36,0.359997
0.37,0.37,0.369997
0.38,0.38,0.379996
0.39,0.39,0.389996
0.4,0.4,0.399996
0.41,0.41,0.409996
0.42,0.42,0.419996
0.43,0.43,0.429996
0.44,0.44,0.439996
0.45,0.45,0.449996
0.46,0.46,0.459996
0.47,0.47,0.469996
0.48,0.48,0.479996
0.49,0.49,0.489996
0.5,0.5,0.499996
0.51,0.51,0.509996
0.52,0.52,0.519996
0.53,0.53,0.529996
0.54,0.54,0.539996
0.55,0.55,0.549996
0.56,0.56,0.559996
0.57,0.57,0.569996
0.58,0.58,0.579996
0.59,0.59,0.589996
0.6,0.6,0.599996
0.61,0.61,0.609996
0.62,0.62,0.619996
0.63,0.63,0.629996
0.64,0.64,0.639996
0.65,0.65,0.649996
0.66,0.66,0.659996
0.67,0.67,0.669996
0.68,0.68,0.679996
0.69,0.69,0.689996
0.7,0.7,0.699996
0.71,0.71,0.709996
0.72,0.72,0.719996
0.73,0.73,0.729996
0.74,0.74,0.739996
0.75,0.75,0.749996
0.76,0.76,0.759997
0.77,0.77,0.769997
0.78,0.78,0.779997
0.79,0.79,0.789997
0.8,0.8,0.799997
0.81,0.81,0.809997
0.82,0.82,0.819997
0.83,0.83,0.829997
0.84,0.84,0.839997
0.85,0.85,0.849998
0.86,0.86,0.859998
0.87,0.87,0.869998
0.88,0.88,0.879998
0.89,0.89,0.889998
0.9,0.9,0.899998
0.91,0.91,0.909998
0.92,0.92,0.919999
0.93,0.93,0.929999
0.94,0.94,0.939999
0.95,0.95,0.949999
0.96,0.96,0.959999
0.97,0.97,0.969999
0.98,0.98,0.98
0.99,0.99,0.99
1,1,1
