x,u_exact,u_approx
0,0,0
0.01,5e-05,0.00367898
0.02,0.0002,0.00735906
0.03,0.00045,0.0110413
0.04,0.0008,0.0147269
0.05,0.00125,0.018417
0.06,0.0018,0.0221125
0.07,0.00245,0.0258147
0.08,0.0032,0.0295245
0.09,0.00405,0.0332432
0.1,0.005,0.0369719
0.11,0.00605,0.0407116
0.12,0.0072,0.0444634
0.13,0.00845,0.0482284
0.14,0.0098,0.0520078
0.15,0.01125,0.0558027
0.16,0.0128,0.0596141
0.17,0.01445,0.0634432
0.18,0.0162,0.067291
0.19,0.01805,0.0711587
0.2,0.02,0.0750473
0.21,0.02205,0.078958
0.22,0.0242,0.0828919
0.23,0.02645,0.08685
0.24,0.0288,0.0908335
0.25,0.03125,0.0948435
0.26,0.0338,0.098881
0.27,0.03645,0.102947
0.28,0.0392,0.107043
0.29,0.04205,0.11117
0.3,0.045,0.115329
0.31,0.04805,0.11952
0.32,0.0512,0.123746
0.33,0.05445,0.128007
0.34,0.0578,0.132305
0.35,0.06125,0.136639
0.36,0.0648,0.141013
0.37,0.06845,0.145425
0.38,0.0722,0.149879
0.39,0.07605,0.154374
0.4,0.08,0.158912
0.41,0.08405,0.163493
0.42,0.0882,0.16812
0.43,0.09245,0.172792
0.44,0.0968,0.177512
0.45,0.10125,0.182279
0.46,0.1058,0.187096
0.47,0.11045,0.191963
0.48,0.1152,0.196881
0.49,0.12005,0.201851
0.5,0.125,0.206874
0.51,0.13005,0.211952
0.52,0.1352,0.217085
0.53,0.14045,0.222274
0.54,0.1458,0.22752
0.55,0.15125,0.232825
0.56,0.1568,0.238188
0.57,0.16245,0.243612
0.58,0.1682,0.249097
0.59,0.17405,0.254644
0.6,0.18,0.260254
0.61,0.18605,0.265928
0.62,0.1922,0.271667
0.63,0.19845,0.277472
0.64,0.2048,0.283343
0.65,0.21125,0.289282
0.66,0.2178,0.295289
0.67,0.22445,0.301365
0.68,0.2312,0.307511
0.69,0.23805,0.313729
0.7,0.245,0.320018
0.71,0.25205,0.326379
0.72,0.2592,0.332814
0.73,0.26645,0.339322
0.74,0.2738,0.345906
0.75,0.28125,0.352565
0.76,0.2888,0.3593
0.77,0.29645,0.366111
0.78,0.3042,0.373001
0.79,0.31205,0.379968
0.8,0.32,0.387015
0.81,0.32805,0.39414
0.82,0.3362,0.401346
0.83,0.34445,0.408632
0.84,0.3528,0.416
0.85,0.36125,0.423448
0.86,0.3698,0.430979
0.87,0.37845,0.438593
0.88,0.3872,0.446289
0.89,0.39605,0.454069
0.9,0.405,0.461932
0.91,0.41405,0.46988
0.92,0.4232,0.477912
0.93,0.43245,0.486029
0.94,0.4418,0.49423
0.95,0.45125,0.502517
0.96,0.4608,0.51089
0.97,0.47045,0.519348
0.98,0.4802,0.527893
0.99,0.49005,0.536523
1,0.5,0.545239
