method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PISR-EMOA/D,Painleve-I,1,0.0086410085,0.0587510491,5,1
PISR-EMOA/D,Painleve-I,1,0.6496531397,0.0000000000,5,1
PISR-EMOA/D,Painleve-I,1,2.1775761407,0.0342157512,2,1
PISR-EMOA/D,Painleve-I,1,0.0101097613,0.0368578095,6,1
PISR-EMOA/D,Painleve-I,1,0.1616974166,0.0150198846,4,1
PISR-EMOA/D,Painleve-I,1,0.4022858503,0.0625227683,1,1
PISR-EMOA/D,Painleve-I,1,2.1138808303,0.0583012167,2,1
PISR-EMOA/D,Painleve-I,1,0.4027027265,0.0625015686,1,1
PISR-EMOA/D,Painleve-I,1,0.6496531397,0.0000000000,5,1
PISR-EMOA/D,Painleve-I,1,0.4044452584,0.0625049559,1,1
PISR-EMOA/D,Painleve-I,1,2.1138808303,0.0583012167,2,1
PISR-EMOA/D,Painleve-I,1,2.1138808303,0.0583012167,2,1
PISR-EMOA/D,Painleve-I,1,0.4010793934,0.0625170550,2,1
PISR-EMOA/D,Painleve-I,1,0.1595581622,0.0149810885,4,1
PISR-EMOA/D,Painleve-I,1,0.1592041472,0.0151764407,4,1
PISR-EMOA/D,Painleve-I,1,0.3368613486,0.1250000000,1,1
PISR-EMOA/D,Painleve-I,1,0.4097494137,0.0627599704,1,1
PISR-EMOA/D,Painleve-I,1,0.4731413849,0.0001292144,4,1
PISR-EMOA/D,Painleve-I,1,0.4653253313,0.0002253551,4,1
PISR-EMOA/D,Painleve-I,1,0.0205291866,0.0010232931,5,1
PISR-EMOA/D,Painleve-I,1,0.4807865273,0.0000439881,3,1
PISR-EMOA/D,Painleve-I,1,0.2965010531,0.0002086655,5,1
PISR-EMOA/D,Painleve-I,1,0.4756211077,0.0000905901,3,1
PISR-EMOA/D,Painleve-I,1,0.0101097613,0.0368578095,6,1
PISR-EMOA/D,Painleve-I,1,0.4059243431,0.0625206417,1,1
PISR-EMOA/D,Painleve-I,1,2.1775761407,0.0342157512,2,1
PISR-EMOA/D,Painleve-I,1,2.1138808303,0.0583012167,2,1
PISR-EMOA/D,Painleve-I,1,0.6496531397,0.0000000000,5,1
PISR-EMOA/D,Painleve-I,1,0.4844188281,0.0001156578,3,1
PISR-EMOA/D,Painleve-I,1,0.1611340001,0.0149003850,4,1
PISR-EMOA/D,Painleve-I,1,0.4109773468,0.0629287928,1,1
PISR-EMOA/D,Painleve-I,1,0.4046512318,0.0625487569,1,1
