method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PISR-NSGA-II,Poisson,1,844.0494270603,0.0000000000,3,1
PISR-NSGA-II,Poisson,1,844.0494270603,0.0000000000,3,1
PISR-NSGA-II,Poisson,1,0.3947775763,0.0000000000,8,1
PISR-NSGA-II,Poisson,1,844.0494270603,0.0000000000,3,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,1.1642873360,0.0000000000,5,1
PISR-NSGA-II,Poisson,1,844.0494270603,0.0000000000,3,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,844.0494270603,0.0000000000,3,1
PISR-NSGA-II,Poisson,1,844.0494270603,0.0000000000,3,1
PISR-NSGA-II,Poisson,1,844.0494270603,0.0000000000,3,1
PISR-NSGA-II,Poisson,1,844.0494270603,0.0000000000,3,1
PISR-NSGA-II,Poisson,1,844.0494270603,0.0000000000,3,1
PISR-NSGA-II,Poisson,1,844.0494270603,0.0000000000,3,1
PISR-NSGA-II,Poisson,1,844.0494270603,0.0000000000,3,1
PISR-NSGA-II,Poisson,1,844.0494270603,0.0000000000,3,1
PISR-NSGA-II,Poisson,1,844.0494270603,0.0000000000,3,1
PISR-NSGA-II,Poisson,1,844.0494270603,0.0000000000,3,1
PISR-NSGA-II,Poisson,1,844.0494270603,0.0000000000,3,1
PISR-NSGA-II,Poisson,1,844.0494270603,0.0000000000,3,1
PISR-NSGA-II,Poisson,1,844.0494270603,0.0000000000,3,1
PISR-NSGA-II,Poisson,1,844.0494270603,0.0000000000,3,1
PISR-NSGA-II,Poisson,1,844.0494270603,0.0000000000,3,1
PISR-NSGA-II,Poisson,1,844.0494270603,0.0000000000,3,1
PISR-NSGA-II,Poisson,1,844.0494270603,0.0000000000,3,1
PISR-NSGA-II,Poisson,1,844.0494270603,0.0000000000,3,1
PISR-NSGA-II,Poisson,1,844.0494270603,0.0000000000,3,1
PISR-NSGA-II,Poisson,1,844.0494270603,0.0000000000,3,1
PISR-NSGA-II,Poisson,1,844.0494270603,0.0000000000,3,1
PISR-NSGA-II,Poisson,1,844.0494270603,0.0000000000,3,1
PISR-NSGA-II,Poisson,1,844.0494270603,0.0000000000,3,1
PISR-NSGA-II,Poisson,1,844.0494270603,0.0000000000,3,1
PISR-NSGA-II,Poisson,1,844.0494270603,0.0000000000,3,1
PISR-NSGA-II,Poisson,1,844.0494270603,0.0000000000,3,1
PISR-NSGA-II,Poisson,1,844.0494270603,0.0000000000,3,1
PISR-NSGA-II,Poisson,1,844.0494270603,0.0000000000,3,1
PISR-NSGA-II,Poisson,1,844.0494270603,0.0000000000,3,1
PISR-NSGA-II,Poisson,1,844.0494270603,0.0000000000,3,1
PISR-NSGA-II,Poisson,1,844.0494270603,0.0000000000,3,1
PISR-NSGA-II,Poisson,1,844.0494270603,0.0000000000,3,1
PISR-NSGA-II,Poisson,1,844.0494270603,0.0000000000,3,1
PISR-NSGA-II,Poisson,1,844.0494270603,0.0000000000,3,1
PISR-NSGA-II,Poisson,1,844.0494270603,0.0000000000,3,1
PISR-NSGA-II,Poisson,1,844.0494270603,0.0000000000,3,1
PISR-NSGA-II,Poisson,1,844.0494270603,0.0000000000,3,1
PISR-NSGA-II,Poisson,1,844.0494270603,0.0000000000,3,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
PISR-NSGA-II,Poisson,1,56.7993785067,0.0000000000,4,1
