method,pde,dim,gen,mse_domain,mse_boundary,tree_size,rank
PISR-NSGA-II,Thomas-Fermi,2,-1,21.6606368783,0.0000000000,9,20
PISR-NSGA-II,Thomas-Fermi,2,-1,23.7008956628,0.0000000000,8,11
PISR-NSGA-II,Thomas-Fermi,2,-1,21.6606368783,0.0000000000,9,20
PISR-NSGA-II,Thomas-Fermi,2,-1,20.8393973554,0.0000000000,8,1
PISR-NSGA-II,Thomas-Fermi,2,-1,22.1542960815,0.0000000000,8,5
PISR-NSGA-II,Thomas-Fermi,2,-1,21.4847670199,0.0000000000,7,20
PISR-NSGA-II,Thomas-Fermi,2,-1,21.2975848935,0.0000000000,5,1
PISR-NSGA-II,Thomas-Fermi,2,-1,22.9662792867,0.0000000000,3,2
PISR-NSGA-II,Thomas-Fermi,2,-1,22.3127176724,0.0000000000,8,6
PISR-NSGA-II,Thomas-Fermi,2,-1,21.4242705301,0.0000000000,3,1
PISR-NSGA-II,Thomas-Fermi,2,-1,22.2631278004,0.0000000000,9,6
PISR-NSGA-II,Thomas-Fermi,2,-1,21.4242705301,0.0000000000,3,1
PISR-NSGA-II,Thomas-Fermi,2,-1,23.7354193552,0.0000000000,8,12
PISR-NSGA-II,Thomas-Fermi,2,-1,22.2631278004,0.0000000000,9,6
PISR-NSGA-II,Thomas-Fermi,2,-1,22.5449344672,0.0000000000,5,2
PISR-NSGA-II,Thomas-Fermi,2,-1,22.5019989515,0.0000000000,8,7
PISR-NSGA-II,Thomas-Fermi,2,-1,21.4242705301,0.0000000000,3,1
PISR-NSGA-II,Thomas-Fermi,2,-1,22.1473517525,0.0000000000,10,5
PISR-NSGA-II,Thomas-Fermi,2,-1,22.9662792867,0.0000000000,3,2
PISR-NSGA-II,Thomas-Fermi,2,-1,21.6606368783,0.0000000000,9,20
PISR-NSGA-II,Thomas-Fermi,2,-1,23.5549598266,0.0000000000,10,12
PISR-NSGA-II,Thomas-Fermi,2,-1,21.2975848935,0.0000000000,5,1
PISR-NSGA-II,Thomas-Fermi,2,-1,21.8244124025,0.0000000000,9,4
PISR-NSGA-II,Thomas-Fermi,2,-1,21.2975848935,0.0000000000,5,1
PISR-NSGA-II,Thomas-Fermi,2,-1,21.6606368783,0.0000000000,9,20
PISR-NSGA-II,Thomas-Fermi,2,-1,21.8244124025,0.0000000000,9,4
PISR-NSGA-II,Thomas-Fermi,2,-1,24.1586320129,0.0000000000,10,14
PISR-NSGA-II,Thomas-Fermi,2,-1,22.2631278004,0.0000000000,9,6
PISR-NSGA-II,Thomas-Fermi,2,-1,22.9662792867,0.0000000000,3,2
PISR-NSGA-II,Thomas-Fermi,2,-1,21.8244124025,0.0000000000,9,4
PISR-NSGA-II,Thomas-Fermi,2,-1,21.6606368783,0.0000000000,9,20
PISR-NSGA-II,Thomas-Fermi,2,-1,22.9662792867,0.0000000000,3,2
PISR-NSGA-II,Thomas-Fermi,2,-1,22.1473517525,0.0000000000,10,5
PISR-NSGA-II,Thomas-Fermi,2,-1,22.5449344672,0.0000000000,5,2
PISR-NSGA-II,Thomas-Fermi,2,-1,21.4847670199,0.0000000000,7,20
PISR-NSGA-II,Thomas-Fermi,2,-1,23.7969136512,0.0000000000,8,13
PISR-NSGA-II,Thomas-Fermi,2,-1,10000.0000000000,0.0000000000,16,18
PISR-NSGA-II,Thomas-Fermi,2,-1,21.8244124025,0.0000000000,9,4
PISR-NSGA-II,Thomas-Fermi,2,-1,22.6650865795,0.0000000000,8,9
PISR-NSGA-II,Thomas-Fermi,2,-1,21.8244124025,0.0000000000,9,4
PISR-NSGA-II,Thomas-Fermi,2,-1,21.6606368783,0.0000000000,9,20
PISR-NSGA-II,Thomas-Fermi,2,-1,21.6642915787,0.0000000000,9,3
PISR-NSGA-II,Thomas-Fermi,2,-1,22.9662792867,0.0000000000,3,2
PISR-NSGA-II,Thomas-Fermi,2,-1,22.2631278004,0.0000000000,9,6
PISR-NSGA-II,Thomas-Fermi,2,-1,22.5449344672,0.0000000000,5,2
PISR-NSGA-II,Thomas-Fermi,2,-1,21.3031346829,0.0000000000,10,3
PISR-NSGA-II,Thomas-Fermi,2,-1,21.6606368783,0.0000000000,9,20
PISR-NSGA-II,Thomas-Fermi,2,-1,21.6852559963,0.0000000000,8,3
PISR-NSGA-II,Thomas-Fermi,2,-1,1396.2131688359,0.0000000000,16,18
PISR-NSGA-II,Thomas-Fermi,2,-1,23.1535186238,0.0000000000,8,10
PISR-NSGA-II,Thomas-Fermi,2,-1,21.8244124025,0.0000000000,9,4
PISR-NSGA-II,Thomas-Fermi,2,-1,22.9662792867,0.0000000000,3,2
PISR-NSGA-II,Thomas-Fermi,2,-1,21.4847670199,0.0000000000,7,20
PISR-NSGA-II,Thomas-Fermi,2,-1,21.1055239025,0.0000000000,1,20
PISR-NSGA-II,Thomas-Fermi,2,-1,22.5449344672,0.0000000000,5,2
PISR-NSGA-II,Thomas-Fermi,2,-1,26.1531728076,0.0000000000,8,14
PISR-NSGA-II,Thomas-Fermi,2,-1,22.9662792867,0.0000000000,3,2
PISR-NSGA-II,Thomas-Fermi,2,-1,22.9662792867,0.0000000000,3,2
