method,pde,pareto_size,best_mse_domain,best_mse_boundary,mean_mse_domain,mean_mse_boundary,best_bic,runtime_s,solution_mse
PISR-NSGA-II,Laplace_1D,50,0.0000000010,0.0000000000,4.3231209107,0.0000000000,-8238.8343179237,0.3106481180,0.0000000000
RK4/FDM,Laplace_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000088360,0.0000000000
PISR-NSGA-II,Poisson_1D,2,1.4067449428,0.0000000000,0.5815477597,0.0000000000,184.4431101175,65.3181237590,0.0004366830
RK4/FDM,Poisson_1D,1,1.9599999655,0.0000000000,1.9599999655,0.0000000000,1000000000000000000.0000000000,0.0000238460,1.9599999655
PISR-NSGA-II,HarmonicOscillator_1D,5,0.0013834009,0.0000000000,0.0019515447,0.0000000000,-2603.3268328321,21.7901154890,0.0000012501
RK4/FDM,HarmonicOscillator_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000093680,0.0000000000
PISR-NSGA-II,Airy_1D,7,0.0002783145,0.0000000000,0.0002394755,0.0000000000,-3244.7462038281,29.3998546310,0.0000001358
RK4/FDM,Airy_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000086530,0.0000000000
PISR-NSGA-II,Fisher_1D,2,0.0002182009,0.0000000000,0.0000564906,0.0000000000,-3336.0889418387,3.1808261030,0.0000001051
RK4/FDM,Fisher_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000152940,0.0000000000
PISR-NSGA-II,Duffing_1D,10,0.0648898622,0.0000000000,0.0247014990,0.0000000000,-1052.0852976590,38.1003459500,0.0135647002
RK4/FDM,Duffing_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000357520,0.0000000000
PISR-NSGA-II,Thomas-Fermi_1D,2,17.0744301935,0.0000000000,22.9433349912,0.0000000000,1158.9986718252,4.3592027000,0.0007840369
RK4/FDM,Thomas-Fermi_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000410330,0.0000000000
PISR-NSGA-II,Airy_2D,89,0.0155542523,0.0000000000,0.0713743171,0.0000000000,-1605.4538406699,118.2335113390,0.0004491453
RK4/FDM,Airy_2D,1,0.0001682673,0.0000000000,0.0001682673,0.0000000000,1000000000000000000.0000000000,0.0431642760,0.0001682673
PISR-NSGA-II,Fisher_2D,2,0.0004144356,0.0000000000,0.0067102898,0.0000000000,-3055.5225104249,11.4538847850,0.0000802583
RK4/FDM,Fisher_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0428399980,0.0000000000
PISR-NSGA-II,Duffing_2D,40,0.0452586662,0.0000000000,0.0427924051,0.0000000000,-1112.3236883714,287.8031782280,0.0001532859
RK4/FDM,Duffing_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.1529959330,0.0000000000
PISR-NSGA-II,Thomas-Fermi_2D,9,502.5788291779,0.0000000000,19.3837486290,0.0000000000,2547.8156461174,12.9083331750,0.0001338728
RK4/FDM,Thomas-Fermi_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.2014866030,0.0000000000
PISR-NSGA-II,Navier-Stokes_2D,125,0.0107590668,0.0718189076,0.2196403585,0.0834142045,-925.7073404522,107.8269023620,0.0233304813
PISR-NSGA-II,Navier-Stokes-Unsteady_2D,146,0.0000007188,0.0000931719,0.0055136122,0.2125513530,-3631.4623118510,65.3665375400,0.3230090995
PISR-NSGA-II,Lane-Emden_1D,3,0.0275116909,0.0000000000,0.0319950480,0.0000000000,-1401.3089084238,8.0604717130,0.0015328189
RK4/FDM,Lane-Emden_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000711150,0.0000000000
PISR-NSGA-II,Troesch_1D,1,1.5179300004,0.0000000000,0.4669311387,0.0000000000,208.8792777741,6.8762949730,0.0014814256
RK4/FDM,Troesch_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000702440,0.0000000000
PISR-NSGA-II,Ginzburg-Landau_1D,3,0.0376384891,0.0000000000,0.0500873595,0.0000000000,-1293.9168483967,3.0395298660,0.0003091145
RK4/FDM,Ginzburg-Landau_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000194840,0.0000000000
PISR-NSGA-II,Painleve-I_1D,1,0.0707473707,0.0000000000,0.0392682469,0.0000000000,-1023.5071750125,2.6561622210,0.0019905591
RK4/FDM,Painleve-I_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000000000000000000.0000000000,0.0000157390,0.0000000000
