x,u_exact,u_approx
0.0,1.0,1.0
0.01,0.99005,0.9900498337491681
0.02,0.980199,0.9801986733067553
0.03,0.970446,0.9704455335485082
0.04,0.960789,0.9607894391523232
0.05,0.951229,0.951229424500714
0.06,0.941765,0.9417645335842487
0.07,0.932394,0.9323938199059483
0.08,0.923116,0.9231163463866358
0.09,0.913931,0.9139311852712282
0.1,0.904837,0.9048374180359595
0.11,0.895834,0.8958341352965282
0.12,0.88692,0.8869204367171575
0.13,0.878095,0.8780954309205613
0.14,0.869358,0.8693582353988059
0.15,0.860708,0.8607079764250578
0.16,0.852144,0.8521437889662113
0.17,0.843665,0.8436648165963837
0.18,0.83527,0.835270211411272
0.19,0.826959,0.8269591339433623
0.2,0.818731,0.8187307530779818
0.21,0.810584,0.8105842459701871
0.22,0.802519,0.8025187979624785
0.23,0.794534,0.794533602503334
0.24,0.786628,0.7866278610665535
0.25,0.778801,0.7788007830714049
0.26,0.771052,0.7710515858035663
0.27,0.763379,0.7633794943368531
0.28,0.755784,0.7557837414557255
0.29,0.748264,0.7482635675785653
0.3,0.740818,0.7408182206817179
0.31,0.733447,0.7334469562242892
0.32,0.726149,0.7261490370736909
0.33,0.718924,0.7189237334319262
0.34,0.71177,0.7117703227626097
0.35,0.704688,0.7046880897187134
0.36,0.697676,0.697676326071031
0.37,0.690734,0.6907343306373547
0.38,0.683861,0.6838614092123558
0.39,0.677057,0.6770568744981647
0.4,0.67032,0.6703200460356393
0.41,0.66365,0.6636502501363194
0.42,0.657047,0.6570468198150567
0.43,0.650509,0.6505090947233165
0.44,0.644036,0.6440364210831414
0.45,0.637628,0.6376281516217733
0.46,0.631284,0.631283645506926
0.47,0.625002,0.6250022682827008
0.48,0.618783,0.6187833918061408
0.49,0.612626,0.6126263941844161
0.5,0.606531,0.6065306597126334
0.51,0.600496,0.6004955788122659
0.52,0.594521,0.5945205479701944
0.53,0.588605,0.5886049696783552
0.54,0.582748,0.5827482523739896
0.55,0.57695,0.5769498103804866
0.56,0.571209,0.5712090638488149
0.57,0.565525,0.5655254386995371
0.58,0.559898,0.559898366565402
0.59,0.554327,0.5543272847345071
0.6,0.548812,0.5488116360940264
0.61,0.543351,0.5433508690744998
0.62,0.537944,0.5379444375946745
0.63,0.532592,0.5325918010068972
0.64,0.527292,0.5272924240430485
0.65,0.522046,0.522045776761016
0.66,0.516851,0.5168513344916992
0.67,0.511709,0.5117085777865424
0.68,0.506617,0.5066169923655895
0.69,0.501576,0.5015760690660556
0.7,0.496585,0.4965853037914095
0.71,0.491644,0.4916441974609651
0.72,0.486752,0.4867522559599717
0.73,0.481909,0.48190899009020244
0.74,0.477114,0.4771139155210344
0.75,0.472367,0.4723665527410147
0.76,0.467666,0.46766642700990924
0.77,0.463013,0.46301306831122807
0.78,0.458406,0.4584060113052235
0.79,0.453845,0.45384479528235583
0.8,0.449329,0.44932896411722156
0.81,0.444858,0.4448580662229411
0.82,0.440432,0.4404316545059993
0.83,0.436049,0.4360492863215356
0.84,0.431711,0.43171052342907973
0.85,0.427415,0.4274149319487267
0.86,0.423162,0.4231620823177488
0.87,0.418952,0.418951549247639
0.88,0.414783,0.4147829116815814
0.89,0.410656,0.4106557527523455
0.9,0.40657,0.4065696597405991
0.91,0.402524,0.40252422403363597
0.92,0.398519,0.39851904108451414
0.93,0.394554,0.3945537103716011
0.94,0.390628,0.39062783535852114
0.95,0.386741,0.38674102345450123
0.96,0.382893,0.38289288597511206
0.97,0.379083,0.37908303810339883
0.98,0.375311,0.37531109885139957
0.99,0.371577,0.3715766910220457
1.0,0.367879,0.36787944117144233
