x,u_exact,u_approx
0.0,1.0,0.9917422270647754
0.01,1.00792,1.0353664348128726
0.02,1.01583,1.0668648842519997
0.03,1.02335,1.0892288467321785
0.04,1.03084,1.1047119988438208
0.05,1.03794,1.1150122999844443
0.06,1.045,1.1214090221972757
0.07,1.05167,1.124865990921824
0.08,1.05828,1.1261093684386483
0.09,1.06451,1.1256862573189723
0.1,1.07066,1.1240088533206551
0.11,1.07644,1.1213877109763737
0.12,1.08213,1.1180568064876661
0.13,1.08745,1.114192420561367
0.14,1.09266,1.1099273650791506
0.15,1.09751,1.105361701726911
0.16,1.10222,1.1005708176034812
0.17,1.1066,1.0956115095298813
0.18,1.11081,1.090526568077643
0.19,1.11471,1.08534823125842
0.2,1.11841,1.080100786596033
0.21,1.12182,1.074802531574472
0.22,1.12501,1.0694672506747829
0.23,1.12791,1.0641053282012947
0.24,1.13058,1.0587245867049662
0.25,1.13298,1.0533309186666602
0.26,1.13512,1.04792876241871
0.27,1.13702,1.042521460712811
0.28,1.13863,1.0371115308715464
0.29,1.14001,1.0317008683253874
0.3,1.14109,1.0262908999611862
0.31,1.14196,1.0208826996576426
0.32,1.1425,1.0154770753318543
0.33,1.14285,1.010074634521732
0.34,1.14285,1.0046758337969768
0.35,1.14269,0.9992810159862008
0.36,1.14216,0.9938904382245035
0.37,1.14148,0.9885042930850387
0.38,1.14041,0.9831227244999018
0.39,1.13922,0.9777458397552172
0.4,1.13761,0.9723737185284512
0.41,1.13591,0.9670064196972877
0.42,1.13377,0.9616439864695547
0.43,1.13156,0.9562864502482036
0.44,1.12889,0.9509338335432539
0.45,1.12617,0.9455861521657022
0.46,1.12299,0.940243416880455
0.47,1.11977,0.9349056346516653
0.48,1.11607,0.9295728095810185
0.49,1.11236,0.9242449436146198
0.5,1.10815,0.9189220370755914
0.51,1.10394,0.9136040890653431
0.52,1.09924,0.9082910977658919
0.53,1.09453,0.9029830606676222
0.54,1.08936,0.8976799747409058
0.55,1.08416,0.8923818365653847
0.56,1.07853,0.8870886424273832
0.57,1.07285,0.881800388393295
0.58,1.06677,0.876517070364874
0.59,1.06062,0.8712386841208931
0.6,1.05409,0.8659652253485242
0.61,1.04748,0.8606966896669852
0.62,1.04053,0.8554330726453505
0.63,1.03347,0.850174369815978
0.64,1.0261,0.8449205766846047
0.65,1.0186,0.8396716887379707
0.66,1.01082,0.8344277014495598
0.67,1.00291,0.8291886102839146
0.68,0.99473,0.8239544106998952
0.69,0.986409,0.8187250981531262
0.7,0.977847,0.8135006680978465
0.71,0.969132,0.8082811159882938
0.72,0.960199,0.8030664372797548
0.73,0.951103,0.7978566274293587
0.74,0.941813,0.7926516818966557
0.75,0.932351,0.787451596144067
0.76,0.922716,0.7822563656372231
0.77,0.912901,0.7770659858452114
0.78,0.902935,0.7718804522407696
0.79,0.892783,0.7666997603004163
0.8,0.882499,0.761523905504562
0.81,0.872023,0.7563528833375901
0.82,0.861435,0.751186689287911
0.83,0.85065,0.7460253188480047
0.84,0.83977,0.7408687675144526
0.85,0.828691,0.7357170307879644
0.86,0.817532,0.7305701041733873
0.87,0.806172,0.7254279831797292
0.88,0.794748,0.7202906633201336
0.89,0.783122,0.7151581401119074
0.9,0.771445,0.7100304090765452
0.91,0.759567,0.7049074657396998
0.92,0.74765,0.6997893056311936
0.93,0.735533,0.6946759242850132
0.94,0.723388,0.6895673172393106
0.95,0.711045,0.6844634800363947
0.96,0.698685,0.6793644082227319
0.97,0.686129,0.6742700973489469
0.98,0.673566,0.6691805429698091
0.99,0.66081,0.664095740644251
1.0,0.648054,0.6590156859353475
